Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
apol1242	Apolista	Arawakan	South America	14	4	4	100
cent1972	Central Kurdish	Indo-European	Eurasia	15	2	2	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	3	3	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	1	1	100
mehi1240	Mehináku	Arawakan	South America	4	2	2	100
omii1238	Omi	Central Sudanic	Africa	18	4	4	100
tain1254	Taino	Arawakan	North America	4	1	1	100
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	40	36	90
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	52	46	88.46
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	42	37	88.1
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	48	41	85.42
kash1277	Kashmiri	Indo-European	Eurasia	184	52	44	84.62
poya1241	Poyanáwa	Pano-Tacanan	South America	50	13	11	84.62
shek1245	Sheko	Dizoid	Africa	90	45	38	84.44
bili1260	Bilin	Afro-Asiatic	Africa	157	51	43	84.31
melo1242	Melo	Ta-Ne-Omotic	Africa	163	49	41	83.67
giiw1236	Giiwo	Afro-Asiatic	Africa	70	24	20	83.33
russ1263	Russian	Indo-European	Eurasia	193	52	43	82.69
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	52	43	82.69
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	51	42	82.35
latv1249	Latvian	Indo-European	Eurasia	184	51	42	82.35
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	50	41	82
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	49	40	81.63
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	49	40	81.63
lamb1269	Lambadi	Indo-European	Eurasia	155	49	40	81.63
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	38	31	81.58
burj1242	Burji	Afro-Asiatic	Africa	187	52	42	80.77
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	41	33	80.49
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	46	37	80.43
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	51	41	80.39
male1284	Male (Ethiopia)	Ta-Ne-Omotic	Africa	182	51	41	80.39
awad1243	Awadhi	Indo-European	Eurasia	173	50	40	80
buru1296	Burushaski		Eurasia	159	50	40	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
nkor1239	Nkoroo	Ijoid	Africa	54	20	16	80
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	50	40	80
yora1241	Yora	Pano-Tacanan	South America	129	44	35	79.55
east2545	Eastern Pomo	Pomoan	North America	163	48	38	79.17
koro1313	Koromira	South Bougainville	Papunesia	127	43	34	79.07
siri1274	Siriano	Tucanoan	South America	122	43	34	79.07
beel1236	Beele	Afro-Asiatic	Africa	52	19	15	78.95
benc1235	Bench	Ta-Ne-Omotic	Africa	82	38	30	78.95
czec1258	Czech	Indo-European	Eurasia	191	52	41	78.85
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	52	41	78.85
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	47	37	78.72
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	42	33	78.57
argo1244	Argobba	Afro-Asiatic	Africa	184	51	40	78.43
bagv1239	Bagvalal	Nakh-Daghestanian	Eurasia	170	51	40	78.43
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	51	40	78.43
mara1378	Marathi	Indo-European	Eurasia	190	51	40	78.43
saur1249	Sauria Paharia	Dravidian	Eurasia	179	51	40	78.43
shol1240	Sholaga	Dravidian	Eurasia	172	51	40	78.43
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	46	36	78.26
awtu1239	Awtuw	Sepik	Papunesia	138	41	32	78.05
mari1414	Maria (India)	Dravidian	Eurasia	119	41	32	78.05
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	50	39	78
cusc1236	Cusco Quechua	Quechuan	South America	167	50	39	78
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	50	39	78
khva1239	Khwarshi-Inkhoqwari	Nakh-Daghestanian	Eurasia	169	50	39	78
sida1246	Sidamo	Afro-Asiatic	Africa	104	50	39	78
beto1236	Betoi-Jirara		South America	130	45	35	77.78
darl1243	Paakantyi	Pama-Nyungan	Australia	45	18	14	77.78
muth1236	Muthuvan	Dravidian	Eurasia	143	45	35	77.78
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	27	21	77.78
west2386	Western Panjabi	Indo-European	Eurasia	150	45	35	77.78
otta1242	Ottawa	Algic	North America	190	49	38	77.55
pano1255	Panobo	Pano-Tacanan	South America	163	49	38	77.55
seve1240	Severn Ojibwa	Algic	North America	176	49	38	77.55
amha1245	Amharic	Afro-Asiatic	Africa	101	44	34	77.27
esee1247	Ese	Koiarian	Papunesia	75	22	17	77.27
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	48	37	77.08
even1260	Even	Tungusic	Eurasia	141	48	37	77.08
soma1255	Somali	Afro-Asiatic	Africa	97	48	37	77.08
yems1235	Yemsa	Ta-Ne-Omotic	Africa	182	48	37	77.08
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	52	40	76.92
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	52	40	76.92
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	39	30	76.92
nepa1254	Nepali	Indo-European	Eurasia	162	52	40	76.92
poli1260	Polish	Indo-European	Eurasia	195	52	40	76.92
rend1243	Rendille	Afro-Asiatic	Africa	44	26	20	76.92
sand1273	Sandawe		Africa	76	39	30	76.92
daha1245	Dahalo	Afro-Asiatic	Africa	46	30	23	76.67
dara1250	Darai	Indo-European	Eurasia	178	51	39	76.47
desa1247	Desano	Tucanoan	South America	180	51	39	76.47
hunz1247	Hunzib	Nakh-Daghestanian	Eurasia	170	51	39	76.47
komi1269	Komi-Permyak	Uralic	Eurasia	181	51	39	76.47
konk1267	Konkan Marathi	Indo-European	Eurasia	180	51	39	76.47
thar1283	Tharaka	Atlantic-Congo	Africa	101	34	26	76.47
ukra1253	Ukrainian	Indo-European	Eurasia	171	51	39	76.47
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	46	35	76.09
quil1240	Quileute	Chimakuan	North America	165	46	35	76.09
lakk1252	Lak	Nakh-Daghestanian	Eurasia	158	50	38	76
mikm1235	Mi'kmaq	Algic	North America	179	50	38	76
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	50	38	76
giry1241	Giryama	Atlantic-Congo	Africa	83	29	22	75.86
cogu1240	Cogui	Chibchan	South America	141	45	34	75.56
korr1238	Korra Koraga	Dravidian	Eurasia	133	45	34	75.56
tuvi1240	Tuvinian	Turkic	Eurasia	154	45	34	75.56
bund1253	Bundeli	Indo-European	Eurasia	173	49	37	75.51
dand1238	Dandami Maria	Dravidian	Eurasia	161	49	37	75.51
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	49	37	75.51
arch1244	Archi	Nakh-Daghestanian	Eurasia	148	48	36	75
bana1288	Banao Itneg	Austronesian	Papunesia	24	4	3	75
gaaa1245	Gaa	Atlantic-Congo	Africa	79	24	18	75
hadi1240	Hadiyya	Afro-Asiatic	Africa	189	52	39	75
hind1269	Hindi	Indo-European	Eurasia	187	52	39	75
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	52	39	75
inga1252	Colombian Inga	Quechuan	South America	69	20	15	75
kamb1316	Kambaata	Afro-Asiatic	Africa	132	52	39	75
kota1263	Kota (India)	Dravidian	Eurasia	158	48	36	75
lith1251	Lithuanian	Indo-European	Eurasia	191	52	39	75
naas1242	Naasioi	South Bougainville	Papunesia	53	20	15	75
nort2951	Northwest Maidu	Maiduan	North America	142	44	33	75
oriy1255	Odia	Indo-European	Eurasia	193	52	39	75
paez1247	Páez		South America	45	12	9	75
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	44	33	75
