Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	125	103	82.4
sout2896	Eastern Atadei	Austronesian	Papunesia	116	113	93	82.3
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	110	90	81.82
haru1245	Haruai	Piawi	Papunesia	178	164	134	81.71
bolg1251	Bolgo	Atlantic-Congo	Africa	78	75	61	81.33
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	147	119	80.95
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	84	68	80.95
pawa1255	Pawaia		Papunesia	110	108	87	80.56
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	162	130	80.25
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	95	76	80
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	80	64	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	68	54	79.41
kurt1248	Kurtokha	Sino-Tibetan	Eurasia	98	97	77	79.38
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	96	76	79.17
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	143	113	79.02
misi1243	Misima-Paneati	Austronesian	Papunesia	144	132	104	78.79
nucl1632	Sentani	Sentanic	Papunesia	143	132	104	78.79
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	155	122	78.71
siam1242	Siamou		Africa	134	122	96	78.69
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	44	78.57
nati1244	Nati	Austronesian	Papunesia	127	121	95	78.51
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	93	73	78.49
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	158	124	78.48
naru1238	Narungga	Pama-Nyungan	Australia	106	102	80	78.43
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	143	112	78.32
apma1241	Ap Ma	Keram	Papunesia	126	124	97	78.23
bobo1255	Bobongko	Austronesian	Papunesia	73	73	57	78.08
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	155	121	78.06
poya1241	Poyanáwa	Pano-Tacanan	South America	50	50	39	78
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	127	99	77.95
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	95	74	77.89
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	139	108	77.7
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	170	132	77.65
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	147	114	77.55
cata1286	Catawba	Siouan	North America	125	120	93	77.5
yale1246	Yale		Papunesia	173	163	126	77.3
weri1253	Weri	Goilalan	Papunesia	165	158	122	77.22
azha1235	Azha	Sino-Tibetan	Eurasia	151	136	105	77.21
moun1252	Mountain Koiali	Koiarian	Papunesia	168	153	118	77.12
fuyu1242	Fuyug	Goilalan	Papunesia	180	166	128	77.11
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	157	121	77.07
bimi1240	Bimin	Nuclear Trans New Guinea	Papunesia	172	164	126	76.83
mais1250	Maisin	Austronesian	Papunesia	176	168	129	76.79
ubir1237	Ubir	Austronesian	Papunesia	149	137	105	76.64
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	166	127	76.51
mapo1242	Mapos Buang	Austronesian	Papunesia	173	166	127	76.51
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	157	120	76.43
mang1404	Mangga Buang	Austronesian	Papunesia	125	123	94	76.42
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	135	103	76.3
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	97	74	76.29
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	156	119	76.28
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	101	77	76.24
sout2782	South Fali	Atlantic-Congo	Africa	177	164	125	76.22
nkor1239	Nkoroo	Ijoid	Africa	54	46	35	76.09
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	125	95	76
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	150	114	76
nucl1630	Barai	Koiarian	Papunesia	168	154	117	75.97
ngul1236	Nguluwan	Austronesian	Papunesia	56	54	41	75.93
chic1270	Chickasaw	Muskogean	North America	150	141	107	75.89
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	170	129	75.88
daak1235	Da'a Kaili	Austronesian	Papunesia	123	116	88	75.86
maku1277	Maku'a	Austronesian	Papunesia	29	29	22	75.86
apma1240	Apma	Austronesian	Papunesia	194	178	135	75.84
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	103	78	75.73
nucl1593	Kwomtari	Kwomtari-Nai	Papunesia	175	160	121	75.62
hote1245	Hote	Austronesian	Papunesia	162	147	111	75.51
alor1247	Alorese	Austronesian	Papunesia	168	159	120	75.47
chas1234	Chashan	Sino-Tibetan	Eurasia	169	159	120	75.47
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	40	75.47
akei1237	Akei	Austronesian	Papunesia	122	114	86	75.44
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	57	43	75.44
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	49	75.38
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	52	75.36
koit1244	Koitabu	Koiarian	Papunesia	168	162	122	75.31
samb1305	Samba Leko	Atlantic-Congo	Africa	172	162	122	75.31
aghu1255	Aghu	Nuclear Trans New Guinea	Papunesia	175	166	125	75.3
matu1261	Matukar	Austronesian	Papunesia	194	178	134	75.28
