Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
ndob1238	Ndobo	Atlantic-Congo	Africa	85	67	62	92.54
tswa1255	Tswa	Atlantic-Congo	Africa	162	124	114	91.94
ilaa1246	Ila	Atlantic-Congo	Africa	124	107	97	90.65
tien1242	Tiene	Atlantic-Congo	Africa	126	93	83	89.25
hehe1240	Hehe	Atlantic-Congo	Africa	144	112	99	88.39
bebe1248	Bebele	Atlantic-Congo	Africa	184	130	114	87.69
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	95	83	87.37
thar1283	Tharaka	Atlantic-Congo	Africa	101	86	75	87.21
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	83	72	86.75
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	113	98	86.73
tswa1253	Tswana	Atlantic-Congo	Africa	178	135	117	86.67
noma1260	Nomaande	Atlantic-Congo	Africa	118	89	77	86.52
luya1241	Luyi	Atlantic-Congo	Africa	172	126	109	86.51
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	118	102	86.44
yasa1242	Yasa	Atlantic-Congo	Africa	101	73	63	86.3
lang1320	Langi	Atlantic-Congo	Africa	174	124	107	86.29
molo1266	Moloko	Afro-Asiatic	Africa	109	80	69	86.25
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	29	25	86.21
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	108	93	86.11
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	92	79	85.87
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	30	85.71
here1253	Herero	Atlantic-Congo	Africa	187	132	113	85.61
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	111	95	85.59
yaoo1241	Yao	Atlantic-Congo	Africa	137	97	83	85.57
liki1240	Balobo	Atlantic-Congo	Africa	99	76	65	85.53
tune1261	Tunen	Atlantic-Congo	Africa	98	76	65	85.53
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	124	106	85.48
yinc1238	Yinchia	Austroasiatic	Eurasia	65	48	41	85.42
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	123	105	85.37
maka1304	Makaa	Atlantic-Congo	Africa	159	115	98	85.22
baba1266	Babanki	Atlantic-Congo	Africa	159	121	103	85.12
haaa1252	Ha	Atlantic-Congo	Africa	187	133	113	84.96
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	133	113	84.96
biaf1240	Biafada	Atlantic-Congo	Africa	123	92	78	84.78
lund1266	Lunda	Atlantic-Congo	Africa	150	105	89	84.76
kala1384	Kalanga	Atlantic-Congo	Africa	164	118	100	84.75
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	98	83	84.69
homa1239	Homa	Atlantic-Congo	Africa	14	13	11	84.62
koti1238	Koti	Atlantic-Congo	Africa	182	130	110	84.62
elip1238	Elip	Atlantic-Congo	Africa	111	84	71	84.52
soli1239	Soli	Atlantic-Congo	Africa	101	77	65	84.42
mwan1247	Mwani	Atlantic-Congo	Africa	157	109	92	84.4
bank1256	Bankon	Atlantic-Congo	Africa	78	64	54	84.38
sham1280	Shambala	Atlantic-Congo	Africa	118	83	70	84.34
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	102	86	84.31
lumb1249	Lumbu	Atlantic-Congo	Africa	146	102	86	84.31
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	70	59	84.29
loba1239	Lobala	Atlantic-Congo	Africa	98	76	64	84.21
