Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
anut1237	Anuta	Austronesian	Papunesia	153	141	122	86.52
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	104	89	85.58
dehu1237	Dehu	Austronesian	Papunesia	150	133	111	83.46
leme1238	Lemerig	Austronesian	Papunesia	164	145	121	83.45
ajie1238	Ajië	Austronesian	Papunesia	149	137	114	83.21
nali1244	Nalik	Austronesian	Papunesia	174	159	132	83.02
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	44	83.02
xara1244	Xârâcùù	Austronesian	Papunesia	189	168	139	82.74
piji1239	Pijin	Indo-European	Papunesia	154	139	115	82.73
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	171	141	82.46
mlab1235	Mlabri	Austroasiatic	Eurasia	182	165	136	82.42
emae1237	Emae	Austronesian	Papunesia	156	142	117	82.39
hawa1245	Hawaiian	Austronesian	Papunesia	181	164	135	82.32
taku1257	Takuu	Austronesian	Papunesia	168	151	124	82.12
cebu1242	Cebuano	Austronesian	Papunesia	84	78	64	82.05
haro1237	Haroi	Austronesian	Eurasia	95	89	73	82.02
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	150	123	82
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	166	136	81.93
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	99	81	81.82
mamb1306	Mambae	Austronesian	Papunesia	169	158	129	81.65
mand1440	Mandara	Austronesian	Papunesia	177	158	129	81.65
reng1252	Rengao	Austroasiatic	Eurasia	172	158	129	81.65
rovi1238	Roviana	Austronesian	Papunesia	161	147	120	81.63
nort2839	North Ambrym	Austronesian	Papunesia	174	157	128	81.53
lave1248	Laven	Austroasiatic	Eurasia	180	167	136	81.44
jara1266	Jarai	Austronesian	Eurasia	156	140	114	81.43
para1301	South Wa	Austroasiatic	Eurasia	185	166	135	81.33
tokp1240	Tok Pisin	Indo-European	Papunesia	184	166	135	81.33
gada1258	Ga'dang	Austronesian	Papunesia	70	64	52	81.25
maor1246	Maori	Austronesian	Papunesia	191	170	138	81.18
east2447	East Futuna	Austronesian	Papunesia	187	169	137	81.07
bara1370	Baram Kayan	Austronesian	Papunesia	143	137	111	81.02
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	137	111	81.02
taga1272	Tagabawa	Austronesian	Papunesia	161	151	122	80.79
ughe1237	Ughele	Austronesian	Papunesia	182	161	130	80.75
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	83	67	80.72
west2397	Western Bru	Austroasiatic	Eurasia	157	145	117	80.69
kens1248	Kensiu	Austroasiatic	Eurasia	164	149	120	80.54
mang1401	Mangareva	Austronesian	Papunesia	173	159	128	80.5
tolo1255	Tolomako	Austronesian	Papunesia	120	117	94	80.34
siar1238	Siar-Lak	Austronesian	Papunesia	87	81	65	80.25
sika1261	Sikaiana	Austronesian	Papunesia	173	157	126	80.25
yaka1277	Yakan	Austronesian	Papunesia	178	162	130	80.25
waim1252	Waima'a	Austronesian	Papunesia	144	136	109	80.15
neng1238	Nengone	Austronesian	Papunesia	169	156	125	80.13
futu1245	Futuna-Aniwa	Austronesian	Papunesia	192	170	136	80
idaa1241	Ida'an	Austronesian	Papunesia	93	85	68	80
jehh1245	Jeh	Austroasiatic	Eurasia	139	125	100	80
seda1262	Sedang	Austroasiatic	Eurasia	178	160	128	80
west2516	West Uvean	Austronesian	Papunesia	189	170	136	80
bwat1240	Bwatoo	Austronesian	Papunesia	188	169	135	79.88
naue1237	Nauete	Austronesian	Papunesia	183	164	131	79.88
tali1259	Talise	Austronesian	Papunesia	142	129	103	79.84
east1236	Eastern Katu	Austroasiatic	Eurasia	106	99	79	79.8
bola1250	Bola	Austronesian	Papunesia	193	173	138	79.77
tbol1240	Tboli	Austronesian	Papunesia	174	153	122	79.74
lauu1247	Lau	Austronesian	Papunesia	141	128	102	79.69
viet1252	Vietnamese	Austroasiatic	Eurasia	140	128	102	79.69
tahi1242	Tahitian	Austronesian	Papunesia	188	167	133	79.64
biha1246	Bih	Austronesian	Eurasia	182	162	129	79.63
cemu1238	Cemuhî	Austronesian	Papunesia	180	162	129	79.63
tane1237	Tanema	Austronesian	Papunesia	154	142	113	79.58
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	137	109	79.56
arig1246	Arigidi	Atlantic-Congo	Africa	142	132	105	79.55
labo1244	Ninde	Austronesian	Papunesia	122	117	93	79.49
tiga1245	Tigak	Austronesian	Papunesia	171	156	124	79.49
warj1242	War-Jaintia	Austroasiatic	Eurasia	169	156	124	79.49
bann1247	Bannoni	Austronesian	Papunesia	72	68	54	79.41
wala1266	Wala	Austronesian	Papunesia	150	136	108	79.41
hait1244	Haitian	Indo-European	North America	180	160	127	79.38
oroh1237	Oroha	Austronesian	Papunesia	118	116	92	79.31
rapa1244	Rapanui	Austronesian	Papunesia	163	145	115	79.31
kara1486	Kara (Papua New Guinea)	Austronesian	Papunesia	177	158	125	79.11
penr1237	Māngarongaro	Austronesian	Papunesia	117	110	87	79.09
chek1238	Cheke Holo	Austronesian	Papunesia	167	153	121	79.08
bela1260	Lemeting	Austronesian	Papunesia	92	86	68	79.07
hung1275	Hung	Austroasiatic	Eurasia	142	129	102	79.07
rung1259	Rungus	Austronesian	Papunesia	137	129	102	79.07
samo1305	Samoan	Austronesian	Papunesia	193	172	136	79.07
east2332	Eastern Bru	Austroasiatic	Eurasia	134	124	98	79.03
rere1240	Rerep	Austronesian	Papunesia	147	133	105	78.95
saba1263	Sabah Malay	Austronesian	Papunesia	182	166	131	78.92
hili1240	Hiligaynon	Austronesian	Papunesia	77	71	56	78.87
caac1237	Caac	Austronesian	Papunesia	151	137	108	78.83
east2563	Eastern Cham	Austronesian	Eurasia	92	85	67	78.82
vera1241	Vera'a	Austronesian	Papunesia	191	170	134	78.82
west2396	Western Lawa	Austroasiatic	Eurasia	190	170	134	78.82
bube1242	Bube	Atlantic-Congo	Africa	135	132	104	78.79
reja1241	Rejang Kayan	Austronesian	Papunesia	140	132	104	78.79
noku1237	Nokuku	Austronesian	Papunesia	156	146	115	78.77
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	155	122	78.71
gayo1244	Gayo	Austronesian	Papunesia	193	173	136	78.61
keoo1238	Kéo	Austronesian	Papunesia	187	168	132	78.57
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	44	78.57
yape1248	Yapese	Austronesian	Papunesia	170	154	121	78.57
tung1290	Tungag	Austronesian	Papunesia	178	163	128	78.53
tean1237	Teanu	Austronesian	Papunesia	147	135	106	78.52
vano1237	Lovono	Austronesian	Papunesia	146	135	106	78.52
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	172	135	78.49
phai1238	Prai	Austroasiatic	Eurasia	186	167	131	78.44
dupa1235	Dupaninan Agta	Austronesian	Papunesia	164	153	120	78.43
oldm1242	Old Mon	Austroasiatic	Eurasia	171	153	120	78.43
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	171	134	78.36
iban1264	Iban	Austronesian	Papunesia	188	171	134	78.36
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	171	134	78.36
west2560	West Coast Bajau	Austronesian	Papunesia	179	166	130	78.31
uuuu1243	U	Austroasiatic	Eurasia	139	129	101	78.29
anei1239	Aneityum	Austronesian	Papunesia	180	161	126	78.26
mere1242	Merei	Austronesian	Papunesia	183	165	129	78.18
beli1260	Belize Kriol English	Indo-European	North America	130	119	93	78.15
maan1238	Ma'anyan	Austronesian	Papunesia	163	151	118	78.15
orow1242	Orowe	Austronesian	Papunesia	160	146	114	78.08
sout2918	Southern Sama	Austronesian	Papunesia	159	146	114	78.08
mang1405	Manggarai	Austronesian	Papunesia	168	155	121	78.06
amar1272	Amara	Austronesian	Papunesia	148	136	106	77.94
mama1275	Mamanwa	Austronesian	Papunesia	149	136	106	77.94
blab1237	Blablanga	Austronesian	Papunesia	169	154	120	77.92
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	154	120	77.92
paco1243	Pacoh	Austroasiatic	Eurasia	188	172	134	77.91
romb1245	Romblomanon	Austronesian	Papunesia	155	140	109	77.86
blan1242	Blang	Austroasiatic	Eurasia	159	149	116	77.85
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	149	116	77.85
toke1240	Tokelau	Austronesian	Papunesia	178	158	123	77.85
sanm1295	San Miguel El Grande Mixtec	Otomanguean	North America	184	167	130	77.84
bitt1240	Bit	Austroasiatic	Eurasia	153	144	112	77.78
java1254	Javanese	Austronesian	Papunesia	84	81	63	77.78
nort2845	North Marquesan	Austronesian	Papunesia	178	162	126	77.78
sema1266	Semai	Austroasiatic	Eurasia	141	130	101	77.69
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	121	94	77.69
buga1247	Bugan	Austroasiatic	Eurasia	190	170	132	77.65
lihi1237	Lihir	Austronesian	Papunesia	143	134	104	77.61
zenz1235	Zenzontepec Chatino	Otomanguean	North America	134	125	97	77.6
khmu1256	Khmu	Austroasiatic	Eurasia	167	156	121	77.56
bahn1262	Bahnar	Austroasiatic	Eurasia	117	111	86	77.48
vure1239	Vurës	Austronesian	Papunesia	194	173	134	77.46
lotu1250	Lotud	Austronesian	Papunesia	132	124	96	77.42
port1285	Port Sandwich	Austronesian	Papunesia	174	155	120	77.42
