Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	66	65	98.48
west2564	West Berawan	Austronesian	Papunesia	83	60	57	95
yinc1238	Yinchia	Austroasiatic	Eurasia	65	57	54	94.74
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	52	94.55
lund1271	Lundayeh	Austronesian	Papunesia	141	109	103	94.5
seda1262	Sedang	Austroasiatic	Eurasia	178	125	118	94.4
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	124	117	94.35
tomb1244	Tombonuo	Austronesian	Papunesia	136	106	99	93.4
haro1237	Haroi	Austronesian	Eurasia	95	68	63	92.65
east2485	Eastern Penan	Austronesian	Papunesia	147	103	95	92.23
naro1251	Narom	Austronesian	Papunesia	132	103	95	92.23
nort2994	Northern Roglai	Austronesian	Eurasia	90	75	69	92
east1236	Eastern Katu	Austroasiatic	Eurasia	106	84	77	91.67
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	108	99	91.67
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	32	91.43
puoc1238	Ksingmul	Austroasiatic	Eurasia	94	70	64	91.43
oldm1242	Old Mon	Austroasiatic	Eurasia	171	123	112	91.06
iban1264	Iban	Austronesian	Papunesia	188	132	120	90.91
chra1242	Chrau	Austroasiatic	Eurasia	166	128	116	90.62
jehh1245	Jeh	Austroasiatic	Eurasia	139	95	86	90.53
biha1246	Bih	Austronesian	Eurasia	182	133	120	90.23
sapu1248	Sapuan	Austroasiatic	Eurasia	152	122	110	90.16
uuuu1243	U	Austroasiatic	Eurasia	139	101	91	90.1
paco1243	Pacoh	Austroasiatic	Eurasia	188	131	118	90.08
bahn1262	Bahnar	Austroasiatic	Eurasia	117	100	90	90
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
lotu1250	Lotud	Austronesian	Papunesia	132	99	89	89.9
koho1244	Koho	Austroasiatic	Eurasia	182	128	115	89.84
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	98	88	89.8
sooo1254	Sô	Austroasiatic	Eurasia	176	124	111	89.52
achi1257	Acehnese	Austronesian	Papunesia	192	133	119	89.47
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	132	118	89.39
west2397	Western Bru	Austroasiatic	Eurasia	157	122	109	89.34
jeha1242	Jehai	Austroasiatic	Eurasia	162	121	108	89.26
java1254	Javanese	Austronesian	Papunesia	84	65	58	89.23
bunu1267	Bunun	Austronesian	Papunesia	74	55	49	89.09
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	73	65	89.04
west2396	Western Lawa	Austroasiatic	Eurasia	190	133	118	88.72
lach1248	Lachi	Tai-Kadai	Eurasia	167	124	110	88.71
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	106	94	88.68
iran1262	Iranun	Austronesian	Papunesia	138	106	94	88.68
khmu1256	Khmu	Austroasiatic	Eurasia	167	122	108	88.52
kana1286	Kanakanavu	Austronesian	Papunesia	147	113	100	88.5
hung1275	Hung	Austroasiatic	Eurasia	142	104	92	88.46
maon1241	Maonan	Tai-Kadai	Eurasia	94	68	60	88.24
tang1347	Movono	Austronesian	Papunesia	159	119	105	88.24
hyam1245	Hyam	Atlantic-Congo	Africa	93	76	67	88.16
reng1252	Rengao	Austroasiatic	Eurasia	172	126	111	88.1
lave1249	Brao	Austroasiatic	Eurasia	122	100	88	88
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	100	88	88
gayo1244	Gayo	Austronesian	Papunesia	193	133	117	87.97
bant1288	Bantoanon	Austronesian	Papunesia	124	91	80	87.91
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	99	87	87.88
east2563	Eastern Cham	Austronesian	Eurasia	92	66	58	87.88
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	99	87	87.88
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	123	108	87.8
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	123	108	87.8
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	82	72	87.8
stan1306	Standard Malay	Austronesian	Eurasia	190	131	115	87.79
cent1992	Central Mnong	Austroasiatic	Eurasia	190	130	114	87.69
lave1248	Laven	Austroasiatic	Eurasia	180	130	114	87.69
cari1276	Caribbean Javanese	Austronesian	South America	97	73	64	87.67
jede1239	Jedek	Austroasiatic	Eurasia	112	97	85	87.63
rung1259	Rungus	Austronesian	Papunesia	137	105	92	87.62
blan1242	Blang	Austroasiatic	Eurasia	159	120	105	87.5
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	112	98	87.5
beta1252	Betawi	Austronesian	Papunesia	170	119	104	87.39
sout2918	Southern Sama	Austronesian	Papunesia	159	111	97	87.39
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	134	117	87.31
