Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
lumb1249	Lumbu	Atlantic-Congo	Africa	146	94	89	94.68
orok1266	Oroko	Atlantic-Congo	Africa	139	93	88	94.62
bomb1262	Bomboma	Atlantic-Congo	Africa	119	94	88	93.62
bond1247	Bondei	Atlantic-Congo	Africa	151	102	95	93.14
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	84	78	92.86
hehe1240	Hehe	Atlantic-Congo	Africa	144	96	89	92.71
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	95	88	92.63
bamw1238	Bamwe	Atlantic-Congo	Africa	102	79	73	92.41
sham1280	Shambala	Atlantic-Congo	Africa	118	79	73	92.41
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	52	48	92.31
liki1240	Balobo	Atlantic-Congo	Africa	99	78	72	92.31
tswa1253	Tswana	Atlantic-Congo	Africa	178	102	94	92.16
safw1238	Safwa	Atlantic-Congo	Africa	48	37	34	91.89
belu1239	Belueli	Atlantic-Congo	Africa	73	59	54	91.53
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	47	43	91.49
luya1241	Luyi	Atlantic-Congo	Africa	172	105	96	91.43
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	102	93	91.18
thar1283	Tharaka	Atlantic-Congo	Africa	101	68	62	91.18
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	67	61	91.04
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	99	90	90.91
zulu1248	Zulu	Atlantic-Congo	Africa	42	33	30	90.91
soga1242	Soga	Atlantic-Congo	Africa	181	108	98	90.74
osam1235	Osamayi	Atlantic-Congo	Africa	105	85	77	90.59
yasa1242	Yasa	Atlantic-Congo	Africa	101	74	67	90.54
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	105	95	90.48
