Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	40	97.56
ndom1245	Ndom	Kolopom	Papunesia	74	63	58	92.06
nort2972	Northern Emberá	Chocoan	South America	167	160	145	90.62
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	92	83	90.22
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	94	84	89.36
bera1262	Berau Malay	Austronesian	Papunesia	11	9	8	88.89
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	52	45	86.54
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	64	55	85.94
suru1262	Suruí	Tupian	South America	18	14	12	85.71
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	126	107	84.92
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
cogu1240	Cogui	Chibchan	South America	141	131	110	83.97
mala1522	Malayo	Chibchan	South America	157	148	124	83.78
samo1303	Samo	East Strickland	Papunesia	44	37	31	83.78
kara1499	Kalamang	West Bomberai	Papunesia	99	85	71	83.53
bada1257	Badaga	Dravidian	Eurasia	127	106	88	83.02
siaw1243	Siawi	Amto-Musan	Papunesia	123	106	88	83.02
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	82	68	82.93
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	82	68	82.93
kunz1244	Kunza		South America	72	64	53	82.81
eude1234	Eudeve	Uto-Aztecan	North America	153	133	110	82.71
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	19	82.61
pano1255	Panobo	Pano-Tacanan	South America	163	136	112	82.35
hrus1242	Hruso		Eurasia	89	79	65	82.28
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	116	95	81.9
woun1238	Woun Meu	Chocoan	South America	150	138	113	81.88
