Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	7	87.5
kima1246	Kimaama	Kolopom	Papunesia	92	72	63	87.5
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
pawa1255	Pawaia		Papunesia	110	89	76	85.39
siam1242	Siamou		Africa	134	105	89	84.76
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	26	22	84.62
hrus1242	Hruso		Eurasia	89	71	60	84.51
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	32	27	84.38
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	140	118	84.29
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	120	101	84.17
bang1369	Bangru	Sino-Tibetan	Eurasia	151	113	95	84.07
gung1248	Gungabula	Pama-Nyungan	Australia	44	37	31	83.78
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	108	90	83.33
rian1263	Riantana	Kolopom	Papunesia	112	89	74	83.15
yinc1238	Yinchia	Austroasiatic	Eurasia	65	58	48	82.76
kaur1267	Kaurna	Pama-Nyungan	Australia	48	34	28	82.35
bolg1251	Bolgo	Atlantic-Congo	Africa	78	62	51	82.26
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	11	9	81.82
awab1243	Awabakal	Pama-Nyungan	Australia	67	48	39	81.25
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	128	104	81.25
nort2994	Northern Roglai	Austronesian	Eurasia	90	69	56	81.16
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	120	97	80.83
monn1252	Mon	Austroasiatic	Eurasia	91	73	59	80.82
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	57	46	80.7
yaey1239	Yaeyama	Japonic	Eurasia	155	114	92	80.7
nina1238	Ninam	Yanomamic	South America	61	46	37	80.43
suru1261	Suruí Do Pará	Tupian	South America	68	56	45	80.36
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	117	94	80.34
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	66	53	80.3
