Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
kaur1267	Kaurna	Pama-Nyungan	Australia	48	36	33	91.67
poya1241	Poyanáwa	Pano-Tacanan	South America	50	35	31	88.57
kara1499	Kalamang	West Bomberai	Papunesia	99	80	70	87.5
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	94	81	86.17
goro1270	Gorowa	Afro-Asiatic	Africa	13	7	6	85.71
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	104	89	85.58
nyun1247	Nyunga	Pama-Nyungan	Australia	26	20	17	85
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	53	45	84.91
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	92	78	84.78
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	11	84.62
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	91	77	84.62
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	101	85	84.16
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	82	69	84.15
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	86	72	83.72
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	91	76	83.52
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	109	91	83.49
esee1247	Ese	Koiarian	Papunesia	75	54	45	83.33
hrus1242	Hruso		Eurasia	89	77	64	83.12
rumu1243	Rumu	Turama-Kikori	Papunesia	73	52	43	82.69
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	115	95	82.61
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	113	93	82.3
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	62	51	82.26
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	107	88	82.24
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	106	87	82.08
homa1239	Homa	Atlantic-Congo	Africa	14	11	9	81.82
guam1248	Guambiano	Barbacoan	South America	127	97	79	81.44
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	86	70	81.4
aime1238	Aimele	Bosavi	Papunesia	177	118	96	81.36
kalu1248	Kaluli	Bosavi	Papunesia	96	64	52	81.25
koka1244	Kokata	Pama-Nyungan	Australia	143	96	78	81.25
samo1303	Samo	East Strickland	Papunesia	44	32	26	81.25
kada1242	Kadar	Dravidian	Eurasia	156	105	85	80.95
chep1245	Chepang	Sino-Tibetan	Eurasia	163	109	88	80.73
yaey1239	Yaeyama	Japonic	Eurasia	155	109	88	80.73
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	72	58	80.56
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	87	70	80.46
cent2150	Central Tunebo	Chibchan	South America	159	106	85	80.19
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	106	85	80.19
tsha1245	Tshangla	Sino-Tibetan	Eurasia	171	111	89	80.18
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	110	88	80
ndom1245	Ndom	Kolopom	Papunesia	74	65	52	80
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	110	88	80
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	114	91	79.82
mari1440	Maricopa	Cochimi-Yuman	North America	175	113	90	79.65
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	49	39	79.59
maru1252	Marúbo	Pano-Tacanan	South America	126	88	70	79.55
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	112	89	79.46
embe1260	Emberá-Catío	Chocoan	South America	164	107	85	79.44
gung1248	Gungabula	Pama-Nyungan	Australia	44	34	27	79.41
bauz1241	Bauzi	Geelvink Bay	Papunesia	93	63	50	79.37
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	63	50	79.37
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	63	50	79.37
shan1283	Shanenawa	Pano-Tacanan	South America	171	116	92	79.31
chib1270	Chibcha	Chibchan	South America	148	101	80	79.21
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	96	76	79.17
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	67	53	79.1
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	110	87	79.09
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	110	87	79.09
yong1280	Yonggom	Nuclear Trans New Guinea	Papunesia	176	110	87	79.09
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	86	68	79.07
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	95	75	78.95
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	95	75	78.95
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	109	86	78.9
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	52	41	78.85
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	104	82	78.85
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	118	93	78.81
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	66	52	78.79
mala1463	Malavedan	Dravidian	Eurasia	163	113	89	78.76
haru1245	Haruai	Piawi	Papunesia	178	108	85	78.7
foii1241	Foi	East Kutubu	Papunesia	118	89	70	78.65
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	89	70	78.65
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	103	81	78.64
tuvi1240	Tuvinian	Turkic	Eurasia	154	103	81	78.64
yidi1250	Yidiñ	Pama-Nyungan	Australia	156	103	81	78.64
dhar1248	Dharumbal	Pama-Nyungan	Australia	74	56	44	78.57
mull1237	Mullukmulluk	Northern Daly	Australia	169	112	88	78.57
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	112	88	78.57
garo1247	Garo	Sino-Tibetan	Eurasia	164	107	84	78.5
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	65	51	78.46
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	116	91	78.45
guru1261	Gurung	Sino-Tibetan	Eurasia	174	116	91	78.45
ango1257	Angosturas Tunebo	Chibchan	South America	136	97	76	78.35
bash1264	Bashkir	Turkic	Eurasia	161	106	83	78.3
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	115	90	78.26
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	101	79	78.22
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	87	68	78.16
ulwa1239	Ulwa	Misumalpan	North America	165	105	82	78.1
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	114	89	78.07
pano1255	Panobo	Pano-Tacanan	South America	163	109	85	77.98
esee1248	Ese Ejja	Pano-Tacanan	South America	189	118	92	77.97
west2417	Western Muya	Sino-Tibetan	Eurasia	112	86	67	77.91
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	113	88	77.88
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	27	21	77.78
kunz1244	Kunza		South America	72	67	52	77.61
chot1239	Chothe	Sino-Tibetan	Eurasia	176	116	90	77.59
capa1241	Capanahua	Pano-Tacanan	South America	171	107	83	77.57
misk1235	Mískito	Misumalpan	North America	162	107	83	77.57
moun1252	Mountain Koiali	Koiarian	Papunesia	168	107	83	77.57
even1260	Even	Tungusic	Eurasia	141	98	76	77.55
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	120	93	77.5
yami1256	Yaminahua	Pano-Tacanan	South America	182	120	93	77.5
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	111	86	77.48
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	62	48	77.42
raut1239	Raute	Sino-Tibetan	Eurasia	133	93	72	77.42
amah1246	Amahuaca	Pano-Tacanan	South America	153	106	82	77.36
embe1262	Emberá-Chamí	Chocoan	South America	159	106	82	77.36
bada1257	Badaga	Dravidian	Eurasia	127	97	75	77.32
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	110	85	77.27
ubyk1235	Ubykh	Abkhaz-Adyge	Eurasia	172	110	85	77.27
yona1241	Yonaguni	Japonic	Eurasia	164	110	85	77.27
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	110	85	77.27
cent2126	Central Okinawan	Japonic	Eurasia	153	105	81	77.14
woun1238	Woun Meu	Chocoan	South America	150	105	81	77.14
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	109	84	77.06
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	109	84	77.06
tomm1242	Tommo So Dogon	Dogon	Africa	167	109	84	77.06
atam1239	Atampaya	Pama-Nyungan	Australia	87	61	47	77.05
siaw1243	Siawi	Amto-Musan	Papunesia	123	100	77	77
awtu1239	Awtuw	Sepik	Papunesia	138	91	70	76.92
cent1972	Central Kurdish	Indo-European	Eurasia	15	13	10	76.92
kona1242	Konai	East Strickland	Papunesia	188	117	90	76.92
sumi1235	Sumi Naga	Sino-Tibetan	Eurasia	185	117	90	76.92
toda1252	Toda	Dravidian	Eurasia	139	104	80	76.92
