Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cebu1242	Cebuano	Austronesian	Papunesia	84	75	65	86.67
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	15	13	86.67
nort2877	Northern Kankanay	Austronesian	Papunesia	149	130	111	85.38
boto1242	Botolan Sambal	Austronesian	Papunesia	175	151	128	84.77
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	101	85	84.16
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	117	98	83.76
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
kima1244	Kimaragang	Austronesian	Papunesia	90	77	64	83.12
mara1404	Maranao	Austronesian	Papunesia	128	108	89	82.41
hili1240	Hiligaynon	Austronesian	Papunesia	77	68	56	82.35
isin1239	Isinai	Austronesian	Papunesia	152	136	112	82.35
tiru1241	Tiruray	Austronesian	Papunesia	145	130	107	82.31
bala1311	Balangingi	Austronesian	Papunesia	153	135	111	82.22
pang1290	Pangasinan	Austronesian	Papunesia	169	145	119	82.07
agus1235	Agusan Manobo	Austronesian	Papunesia	103	88	72	81.82
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
kana1286	Kanakanavu	Austronesian	Papunesia	147	126	103	81.75
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	115	94	81.74
cent2100	Central Dusun	Austronesian	Papunesia	138	125	102	81.6
gada1258	Ga'dang	Austronesian	Papunesia	70	65	53	81.54
puyu1239	Puyuma	Austronesian	Papunesia	99	86	70	81.4
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	59	48	81.36
kank1243	Kankanaey	Austronesian	Papunesia	180	149	121	81.21
agut1237	Agutaynen	Austronesian	Papunesia	161	143	116	81.12
mari1426	Sunwadia	Austronesian	Papunesia	167	148	120	81.08
kava1241	Kavalan	Austronesian	Papunesia	148	130	105	80.77
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	31	25	80.65
nort2885	Northern Subanen	Austronesian	Papunesia	189	160	129	80.62
twan1247	Twana	Salishan	North America	87	77	62	80.52
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	87	70	80.46
taga1270	Tagalog	Austronesian	Papunesia	101	87	70	80.46
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	112	90	80.36
rovi1238	Roviana	Austronesian	Papunesia	161	142	114	80.28
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	111	89	80.18
taga1272	Tagabawa	Austronesian	Papunesia	161	141	113	80.14
limo1248	Limos Kalinga	Austronesian	Papunesia	114	100	80	80
masb1238	Masbatenyo	Austronesian	Papunesia	172	150	120	80
amis1246	Amis	Austronesian	Papunesia	151	128	102	79.69
sira1267	Sirayaic	Austronesian	Papunesia	177	152	121	79.61
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	147	117	79.59
sooo1256	Soo	Kuliak	Africa	82	78	62	79.49
dupa1235	Dupaninan Agta	Austronesian	Papunesia	164	141	112	79.43
kina1250	Kinaray-a	Austronesian	Papunesia	143	126	100	79.37
naro1251	Narom	Austronesian	Papunesia	132	116	92	79.31
gana1278	Ganai	Pama-Nyungan	Australia	53	48	38	79.17
hawa1245	Hawaiian	Austronesian	Papunesia	181	153	121	79.08
tomb1244	Tombonuo	Austronesian	Papunesia	136	119	94	78.99
bana1288	Banao Itneg	Austronesian	Papunesia	24	19	15	78.95
sapo1253	Saposa	Austronesian	Papunesia	145	133	105	78.95
iran1262	Iranun	Austronesian	Papunesia	138	118	93	78.81
emae1237	Emae	Austronesian	Papunesia	156	132	104	78.79
lotu1250	Lotud	Austronesian	Papunesia	132	113	89	78.76
isna1241	Isnag	Austronesian	Papunesia	163	141	111	78.72
east2332	Eastern Bru	Austroasiatic	Eurasia	134	117	92	78.63
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	117	92	78.63
rung1259	Rungus	Austronesian	Papunesia	137	117	92	78.63
obom1235	Obo Manobo	Austronesian	Papunesia	54	42	33	78.57
simb1256	Simbo	Austronesian	Papunesia	95	84	66	78.57
taus1251	Tausug	Austronesian	Papunesia	179	154	121	78.57
magu1243	Maguindanao	Austronesian	Papunesia	129	107	84	78.5
timu1262	Timugon Murut	Austronesian	Papunesia	153	134	105	78.36
