Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
homa1239	Homa	Atlantic-Congo	Africa	14	14	13	92.86
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	172	159	92.44
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	60	92.31
hala1252	Halang	Austroasiatic	Eurasia	82	81	74	91.36
sapu1248	Sapuan	Austroasiatic	Eurasia	152	150	134	89.33
uuuu1243	U	Austroasiatic	Eurasia	139	138	123	89.13
monn1252	Mon	Austroasiatic	Eurasia	91	90	80	88.89
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	61	88.41
humb1243	Humburi Senni Songhay	Songhay	Africa	167	161	142	88.2
mokl1243	Moklen	Austronesian	Eurasia	181	175	154	88
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	157	138	87.9
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	74	65	87.84
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	145	127	87.59
huuu1240	Hu	Austroasiatic	Eurasia	175	169	148	87.57
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	49	87.5
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	176	154	87.5
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	96	84	87.5
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	158	138	87.34
yako1252	Yakoma	Atlantic-Congo	Africa	143	142	124	87.32
moke1242	Moken	Austronesian	Eurasia	171	165	144	87.27
west2650	Western Cham	Austronesian	Eurasia	151	149	130	87.25
oldm1242	Old Mon	Austroasiatic	Eurasia	171	166	144	86.75
west2397	Western Bru	Austroasiatic	Eurasia	157	151	131	86.75
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	157	136	86.62
samb1305	Samba Leko	Atlantic-Congo	Africa	172	170	147	86.47
anuf1239	Anufo	Atlantic-Congo	Africa	162	161	139	86.34
azha1235	Azha	Sino-Tibetan	Eurasia	151	146	126	86.3
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	131	113	86.26
lave1248	Laven	Austroasiatic	Eurasia	180	174	150	86.21
piji1239	Pijin	Indo-European	Papunesia	154	152	131	86.18
phai1238	Prai	Austroasiatic	Eurasia	186	180	155	86.11
kimm1246	Kim	Atlantic-Congo	Africa	129	128	110	85.94
jehh1245	Jeh	Austroasiatic	Eurasia	139	135	116	85.93
manm1238	Man Met	Austroasiatic	Eurasia	150	148	127	85.81
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	66	85.71
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	30	85.71
haro1237	Haroi	Austronesian	Eurasia	95	91	78	85.71
aheu1239	Thavung	Austroasiatic	Eurasia	192	186	159	85.48
alor1247	Alorese	Austronesian	Papunesia	168	165	141	85.45
hait1244	Haitian	Indo-European	North America	180	178	152	85.39
ndog1248	Ndogo	Atlantic-Congo	Africa	177	171	146	85.38
kats1235	Katso	Sino-Tibetan	Eurasia	186	184	157	85.33
naue1237	Nauete	Austronesian	Papunesia	183	177	151	85.31
