Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
maga1260	Magahi	Indo-European	Eurasia	136	132	117	88.64
muth1236	Muthuvan	Dravidian	Eurasia	143	137	121	88.32
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	151	133	88.08
bada1257	Badaga	Dravidian	Eurasia	127	123	106	86.18
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	156	134	85.9
shor1247	Shor	Turkic	Eurasia	175	165	141	85.45
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	157	134	85.35
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	170	145	85.29
korr1238	Korra Koraga	Dravidian	Eurasia	133	129	110	85.27
cent2126	Central Okinawan	Japonic	Eurasia	153	148	126	85.14
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	152	129	84.87
orok1265	Orok	Tungusic	Eurasia	151	145	123	84.83
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	144	122	84.72
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	169	143	84.62
mala1463	Malavedan	Dravidian	Eurasia	163	156	132	84.62
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	123	104	84.55
shol1240	Sholaga	Dravidian	Eurasia	172	161	136	84.47
west2392	Western Mari	Uralic	Eurasia	153	147	124	84.35
tuvi1240	Tuvinian	Turkic	Eurasia	154	146	123	84.25
mill1237	Millcayac	Huarpean	South America	122	120	101	84.17
dizi1235	Dizin	Dizoid	Africa	57	56	47	83.93
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	26	83.87
mudu1239	Muduga	Dravidian	Eurasia	161	153	128	83.66
yona1241	Yonaguni	Japonic	Eurasia	164	153	128	83.66
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	158	132	83.54
nort2690	Northern Uzbek	Turkic	Eurasia	193	182	152	83.52
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	97	81	83.51
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	138	115	83.33
saur1249	Sauria Paharia	Dravidian	Eurasia	179	168	140	83.33
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	167	139	83.23
koya1251	Koya	Dravidian	Eurasia	137	131	109	83.21
koda1255	Kodava	Dravidian	Eurasia	182	172	143	83.14
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	59	83.1
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	163	135	82.82
defa1248	Defaka	Ijoid	Africa	75	75	62	82.67
kada1242	Kadar	Dravidian	Eurasia	156	150	124	82.67
