Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
ndam1251	Ndam	Afro-Asiatic	Africa	41	32	30	93.75
gala1264	Galambu	Afro-Asiatic	Africa	79	62	58	93.55
beel1236	Beele	Afro-Asiatic	Africa	52	50	46	92
paaa1242	Pa'a	Afro-Asiatic	Africa	183	64	58	90.62
cori1240	Cori	Atlantic-Congo	Africa	139	57	51	89.47
giiw1236	Giiwo	Afro-Asiatic	Africa	70	57	51	89.47
musg1254	Musgu	Afro-Asiatic	Africa	118	57	50	87.72
masa1322	Masana	Afro-Asiatic	Africa	188	66	57	86.36
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	22	19	86.36
nubi1253	Nubi	Afro-Asiatic	Africa	168	57	49	85.96
nyam1285	Nyam	Afro-Asiatic	Africa	160	56	48	85.71
bure1242	Bure	Afro-Asiatic	Africa	124	55	47	85.45
yako1252	Yakoma	Atlantic-Congo	Africa	143	60	51	85
miya1266	Miya	Afro-Asiatic	Africa	187	64	54	84.38
pate1247	Patep	Austronesian	Papunesia	142	51	43	84.31
buku1249	Bukusu	Atlantic-Congo	Africa	52	19	16	84.21
jina1244	Jina	Afro-Asiatic	Africa	161	63	53	84.13
lagw1237	Lagwan	Afro-Asiatic	Africa	164	63	53	84.13
monz1249	Monzombo	Atlantic-Congo	Africa	119	44	37	84.09
mbaa1245	Mba	Atlantic-Congo	Africa	137	56	47	83.93
sana1295	Sanaani Arabic	Afro-Asiatic	Eurasia	163	56	47	83.93
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	56	47	83.93
kafa1242	Kafa	Ta-Ne-Omotic	Africa	167	62	52	83.87
miga1249	Migaama	Afro-Asiatic	Africa	104	62	52	83.87
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	55	46	83.64
seng1281	Sengseng	Austronesian	Papunesia	100	54	45	83.33
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	65	54	83.08
tika1246	Tikar	Atlantic-Congo	Africa	192	65	54	83.08
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	53	44	83.02
yawa1261	Yawalapití	Arawakan	South America	58	35	29	82.86
noon1242	Noon	Atlantic-Congo	Africa	188	64	53	82.81
haus1257	Hausa	Afro-Asiatic	Africa	91	29	24	82.76
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	62	51	82.26
abip1241	Abipon	Guaicuruan	South America	129	56	46	82.14
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	56	46	82.14
land1256	Landoma	Atlantic-Congo	Africa	137	56	46	82.14
yaka1272	Yaka (Central African Republic)	Atlantic-Congo	Africa	140	50	41	82
laal1242	Laal		Africa	154	61	50	81.97
bagi1246	Bagirmi	Central Sudanic	Africa	167	55	45	81.82
jiba1237	Jiba	Atlantic-Congo	Africa	120	55	45	81.82
lund1266	Lunda	Atlantic-Congo	Africa	150	55	45	81.82
ngal1296	Ngala-Santandrea	Atlantic-Congo	Africa	67	22	18	81.82
waor1240	Waorani		South America	150	55	45	81.82
meta1238	Meta'	Atlantic-Congo	Africa	159	60	49	81.67
zamb1245	Zamba	Atlantic-Congo	Africa	152	60	49	81.67
mund1326	Mündü	Atlantic-Congo	Africa	120	49	40	81.63
kari1306	Kari	Atlantic-Congo	Africa	76	38	31	81.58
aoua1234	A'ou	Tai-Kadai	Eurasia	187	65	53	81.54
budu1265	Buduma	Afro-Asiatic	Africa	137	65	53	81.54
dana1252	Danau	Austroasiatic	Eurasia	179	65	53	81.54
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	65	53	81.54
mpad1242	Mpade	Afro-Asiatic	Africa	187	65	53	81.54
buhu1237	Buhutu	Austronesian	Papunesia	134	59	48	81.36
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	64	52	81.25
gude1246	Gude	Afro-Asiatic	Africa	176	64	52	81.25
huba1236	Huba	Afro-Asiatic	Africa	151	64	52	81.25
bomb1262	Bomboma	Atlantic-Congo	Africa	119	58	47	81.03
bolg1251	Bolgo	Atlantic-Congo	Africa	78	42	34	80.95
mban1263	Mbandja	Atlantic-Congo	Africa	162	63	51	80.95
shon1251	Shona	Atlantic-Congo	Africa	182	63	51	80.95
bamw1238	Bamwe	Atlantic-Congo	Africa	102	47	38	80.85
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	57	46	80.7
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	57	46	80.7
dizi1235	Dizin	Dizoid	Africa	57	31	25	80.65
haro1237	Haroi	Austronesian	Eurasia	95	31	25	80.65
hone1235	Hõne	Atlantic-Congo	Africa	177	62	50	80.65
sout2782	South Fali	Atlantic-Congo	Africa	177	62	50	80.65
abar1238	Mungbam	Atlantic-Congo	Africa	180	61	49	80.33
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	61	49	80.33
lang1320	Langi	Atlantic-Congo	Africa	174	61	49	80.33
luva1239	Luvale	Atlantic-Congo	Africa	169	61	49	80.33
melo1242	Melo	Ta-Ne-Omotic	Africa	163	61	49	80.33
gade1242	Gade	Atlantic-Congo	Africa	178	66	53	80.3
kera1255	Kera	Afro-Asiatic	Africa	178	66	53	80.3
