Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	50	90.91
ghar1239	Ghari	Austronesian	Papunesia	151	141	127	90.07
hoav1238	Hoava	Austronesian	Papunesia	176	154	137	88.96
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	154	137	88.96
simb1256	Simbo	Austronesian	Papunesia	95	89	79	88.76
bugh1239	Bughotu	Austronesian	Papunesia	131	126	111	88.1
lauu1247	Lau	Austronesian	Papunesia	141	132	116	87.88
oroh1237	Oroha	Austronesian	Papunesia	118	114	100	87.72
aros1241	Arosi	Austronesian	Papunesia	141	127	111	87.4
rovi1238	Roviana	Austronesian	Papunesia	161	146	127	86.99
ughe1237	Ughele	Austronesian	Papunesia	182	161	139	86.34
long1395	Longgu	Austronesian	Papunesia	151	136	117	86.03
tali1259	Talise	Austronesian	Papunesia	142	136	117	86.03
bann1247	Bannoni	Austronesian	Papunesia	72	71	60	84.51
maro1244	Marovo	Austronesian	Papunesia	84	83	70	84.34
leng1259	Lengo	Austronesian	Papunesia	172	153	129	84.31
koko1269	Kokota	Austronesian	Papunesia	190	162	136	83.95
siar1238	Siar-Lak	Austronesian	Papunesia	87	81	68	83.95
gela1263	Gela	Austronesian	Papunesia	181	159	133	83.65
surs1246	Sursurunga	Austronesian	Papunesia	159	146	122	83.56
mota1237	Mota	Austronesian	Papunesia	107	97	80	82.47
gada1258	Ga'dang	Austronesian	Papunesia	70	67	55	82.09
labe1239	Label	Austronesian	Papunesia	70	67	55	82.09
twan1247	Twana	Salishan	North America	87	77	63	81.82
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	93	76	81.72
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	124	101	81.45
iran1262	Iranun	Austronesian	Papunesia	138	129	105	81.4
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	96	78	81.25
mang1401	Mangareva	Austronesian	Papunesia	173	154	125	81.17
mini1251	Minigir	Austronesian	Papunesia	178	154	125	81.17
atii1237	Ati	Austronesian	Papunesia	115	106	86	81.13
zaba1237	Zabana	Austronesian	Papunesia	163	143	116	81.12
lamo1244	Lamogai	Austronesian	Papunesia	135	121	98	80.99
ramo1244	Ramoaaina	Austronesian	Papunesia	52	47	38	80.85
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	94	76	80.85
tuva1244	Tuvalu	Austronesian	Papunesia	179	154	124	80.52
saaa1240	Sa'a	Austronesian	Papunesia	145	138	111	80.43
rotu1241	Rotuman	Austronesian	Papunesia	163	143	115	80.42
cham1312	Chamorro	Austronesian	Papunesia	188	163	131	80.37
mono1273	Mono-Alu	Austronesian	Papunesia	111	107	86	80.37
piji1239	Pijin	Indo-European	Papunesia	154	142	114	80.28
tutu1241	Tutuba	Austronesian	Papunesia	184	161	129	80.12
bera1262	Berau Malay	Austronesian	Papunesia	11	10	8	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	5	4	80
kuan1248	Kuanua	Austronesian	Papunesia	174	150	120	80
mera1242	Meramera	Austronesian	Papunesia	54	50	40	80
bwat1240	Bwatoo	Austronesian	Papunesia	188	164	131	79.88
tiga1245	Tigak	Austronesian	Papunesia	171	154	123	79.87
tung1290	Tungag	Austronesian	Papunesia	178	154	123	79.87
cebu1242	Cebuano	Austronesian	Papunesia	84	79	63	79.75
rung1259	Rungus	Austronesian	Papunesia	137	128	102	79.69
wala1266	Wala	Austronesian	Papunesia	150	137	109	79.56
sata1237	Satawalese	Austronesian	Papunesia	140	132	105	79.55
moki1238	Mokilese	Austronesian	Papunesia	171	151	120	79.47
chek1238	Cheke Holo	Austronesian	Papunesia	167	146	116	79.45
hili1240	Hiligaynon	Austronesian	Papunesia	77	73	58	79.45
wall1257	East Uvean	Austronesian	Papunesia	189	164	130	79.27
kwar1239	Kwara'ae	Austronesian	Papunesia	186	159	126	79.25
taku1257	Takuu	Austronesian	Papunesia	168	149	118	79.19
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	120	95	79.17
atay1247	Atayal	Austronesian	Papunesia	129	115	91	79.13
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	115	91	79.13
bala1311	Balangingi	Austronesian	Papunesia	153	134	106	79.1
lusi1240	Lusi	Austronesian	Papunesia	144	134	106	79.1
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	124	98	79.03
anut1237	Anuta	Austronesian	Papunesia	153	143	113	79.02
java1254	Javanese	Austronesian	Papunesia	84	81	64	79.01
ibal1244	Ibaloi	Austronesian	Papunesia	169	152	120	78.95
leme1238	Lemerig	Austronesian	Papunesia	164	147	116	78.91
naka1262	Nakanai	Austronesian	Papunesia	173	147	116	78.91
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	128	101	78.91
east2332	Eastern Bru	Austroasiatic	Eurasia	134	118	93	78.81
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	66	52	78.79
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	132	104	78.79
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	136	107	78.68
timu1262	Timugon Murut	Austronesian	Papunesia	153	136	107	78.68
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	164	129	78.66
