Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
lauu1247	Lau	Austronesian	Papunesia	141	123	117	95.12
oroh1237	Oroha	Austronesian	Papunesia	118	114	106	92.98
bugh1239	Bughotu	Austronesian	Papunesia	131	126	116	92.06
aros1241	Arosi	Austronesian	Papunesia	141	128	117	91.41
gela1263	Gela	Austronesian	Papunesia	181	145	132	91.03
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	11	10	90.91
ngul1236	Nguluwan	Austronesian	Papunesia	56	54	49	90.74
gada1258	Ga'dang	Austronesian	Papunesia	70	64	58	90.62
surs1246	Sursurunga	Austronesian	Papunesia	159	134	121	90.3
ghan1242	Ghanongga	Austronesian	Papunesia	166	141	127	90.07
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
tali1259	Talise	Austronesian	Papunesia	142	130	117	90
long1395	Longgu	Austronesian	Papunesia	151	126	113	89.68
saaa1240	Sa'a	Austronesian	Papunesia	145	133	118	88.72
piji1239	Pijin	Indo-European	Papunesia	154	132	117	88.64
simb1256	Simbo	Austronesian	Papunesia	95	88	78	88.64
wala1266	Wala	Austronesian	Papunesia	150	129	114	88.37
maro1244	Marovo	Austronesian	Papunesia	84	82	72	87.8
mini1251	Minigir	Austronesian	Papunesia	178	141	123	87.23
neng1238	Nengone	Austronesian	Papunesia	169	141	123	87.23
ajie1238	Ajië	Austronesian	Papunesia	149	124	108	87.1
ughe1237	Ughele	Austronesian	Papunesia	182	147	128	87.07
tiga1245	Tigak	Austronesian	Papunesia	171	139	121	87.05
dehu1237	Dehu	Austronesian	Papunesia	150	121	105	86.78
hoav1238	Hoava	Austronesian	Papunesia	176	142	123	86.62
kwai1243	Kwaio	Austronesian	Papunesia	191	149	129	86.58
tung1290	Tungag	Austronesian	Papunesia	178	145	125	86.21
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	143	123	86.01
leng1259	Lengo	Austronesian	Papunesia	172	140	120	85.71
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	91	78	85.71
rovi1238	Roviana	Austronesian	Papunesia	161	137	117	85.4
mota1237	Mota	Austronesian	Papunesia	107	95	81	85.26
