Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
puqu1242	Puquina		South America	118	115	97	84.35
nyun1247	Nyunga	Pama-Nyungan	Australia	26	24	20	83.33
guam1248	Guambiano	Barbacoan	South America	127	123	101	82.11
dizi1235	Dizin	Dizoid	Africa	57	55	45	81.82
sout2728	Southern Qiang	Sino-Tibetan	Eurasia	192	180	147	81.67
nort2972	Northern Emberá	Chocoan	South America	167	157	128	81.53
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	91	74	81.32
bada1257	Badaga	Dravidian	Eurasia	127	122	99	81.15
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	63	80.77
yukp1241	Yukpa	Cariban	South America	106	103	83	80.58
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	107	86	80.37
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	86	69	80.23
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	96	77	80.21
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	30	24	80
kork1243	Korku	Austroasiatic	Eurasia	133	128	102	79.69
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	82	65	79.27
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	164	130	79.27
poya1241	Poyanáwa	Pano-Tacanan	South America	50	48	38	79.17
atak1252	Atakapa		North America	149	143	113	79.02
even1260	Even	Tungusic	Eurasia	141	138	109	78.99
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	180	142	78.89
kuii1252	Kui (India)	Dravidian	Eurasia	113	108	85	78.7
siaw1243	Siawi	Amto-Musan	Papunesia	123	117	92	78.63
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	163	128	78.53
nort2722	Northern Qiang	Sino-Tibetan	Eurasia	187	177	139	78.53
tuvi1240	Tuvinian	Turkic	Eurasia	154	149	117	78.52
chak1270	Chak	Sino-Tibetan	Eurasia	188	176	138	78.41
capa1241	Capanahua	Pano-Tacanan	South America	171	162	127	78.4
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	157	123	78.34
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	106	83	78.3
kore1280	Korean	Koreanic	Eurasia	185	175	137	78.29
caml1239	Camling	Sino-Tibetan	Eurasia	170	161	126	78.26
muth1236	Muthuvan	Dravidian	Eurasia	143	138	108	78.26
puma1239	Puma	Sino-Tibetan	Eurasia	172	161	126	78.26
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	161	126	78.26
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	142	111	78.17
defa1248	Defaka	Ijoid	Africa	75	73	57	78.08
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	146	114	78.08
mill1237	Millcayac	Huarpean	South America	122	118	92	77.97
kado1242	Kado	Sino-Tibetan	Eurasia	184	172	134	77.91
twan1247	Twana	Salishan	North America	87	86	67	77.91
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	140	109	77.86
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	131	102	77.86
yaey1239	Yaeyama	Japonic	Eurasia	155	149	116	77.85
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	7	77.78
suru1262	Suruí	Tupian	South America	18	18	14	77.78
garo1247	Garo	Sino-Tibetan	Eurasia	164	157	122	77.71
mala1463	Malavedan	Dravidian	Eurasia	163	156	121	77.56
maga1260	Magahi	Indo-European	Eurasia	136	129	100	77.52
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	142	110	77.46
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	142	110	77.46
shix1238	Shixing	Sino-Tibetan	Eurasia	182	173	134	77.46
bash1264	Bashkir	Turkic	Eurasia	161	155	120	77.42
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	155	120	77.42
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	124	96	77.42
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	177	137	77.4
mido1240	Midob	Nubian	Africa	55	53	41	77.36
korr1238	Korra Koraga	Dravidian	Eurasia	133	128	99	77.34
drun1238	Drung	Sino-Tibetan	Eurasia	182	172	133	77.33
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	75	58	77.33
kara1499	Kalamang	West Bomberai	Papunesia	99	97	75	77.32
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	119	92	77.31
alse1251	Alsea-Yaquina		North America	149	141	109	77.3
chep1245	Chepang	Sino-Tibetan	Eurasia	163	154	119	77.27
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	110	85	77.27
cent2126	Central Okinawan	Japonic	Eurasia	153	145	112	77.24
embe1260	Emberá-Catío	Chocoan	South America	164	153	118	77.12
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	153	118	77.12
naas1242	Naasioi	South Bougainville	Papunesia	53	48	37	77.08
crim1257	Crimean Tatar	Turkic	Eurasia	179	170	131	77.06
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	183	141	77.05
epen1239	Epena	Chocoan	South America	157	148	114	77.03
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	174	134	77.01
achu1247	Achumawi	Palaihnihan	North America	106	104	80	76.92
aton1241	Atong (India)	Sino-Tibetan	Eurasia	194	182	140	76.92
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	10	76.92
agua1253	Aguaruna	Chicham	South America	170	160	123	76.88
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	134	103	76.87
yama1264	Yámana		South America	136	134	103	76.87
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	121	93	76.86
west2417	Western Muya	Sino-Tibetan	Eurasia	112	108	83	76.85
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	155	119	76.77
kuvi1243	Kuvi	Dravidian	Eurasia	103	99	76	76.77
turk1304	Turkmen	Turkic	Eurasia	181	172	132	76.74
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	159	122	76.73
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	159	122	76.73
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	150	115	76.67
oroc1248	Oroch	Tungusic	Eurasia	162	154	118	76.62
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	171	131	76.61
idum1241	Idu	Sino-Tibetan	Eurasia	151	141	108	76.6
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	141	108	76.6
ulch1241	Ulch	Tungusic	Eurasia	164	158	121	76.58
orok1265	Orok	Tungusic	Eurasia	151	145	111	76.55
khak1248	Khakas	Turkic	Eurasia	170	162	124	76.54
