Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
homa1239	Homa	Atlantic-Congo	Africa	14	14	12	85.71
sisi1250	Sisiqa	Austronesian	Papunesia	71	59	49	83.05
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	57	46	80.7
monn1252	Mon	Austroasiatic	Eurasia	91	86	69	80.23
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	45	36	80
humb1243	Humburi Senni Songhay	Songhay	Africa	167	132	105	79.55
gura1251	Gurani	Indo-European	Eurasia	128	111	88	79.28
tolo1255	Tolomako	Austronesian	Papunesia	120	104	82	78.85
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	127	100	78.74
sher1258	Sherbro	Atlantic-Congo	Africa	118	108	85	78.7
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	42	33	78.57
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	121	95	78.51
ndam1251	Ndam	Afro-Asiatic	Africa	41	37	29	78.38
kute1248	Kutep	Atlantic-Congo	Africa	163	128	100	78.12
kimm1246	Kim	Atlantic-Congo	Africa	129	109	85	77.98
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	68	53	77.94
bara1370	Baram Kayan	Austronesian	Papunesia	143	121	94	77.69
blan1242	Blang	Austroasiatic	Eurasia	159	125	97	77.6
bert1248	Berta		Africa	119	98	76	77.55
idom1241	Idoma	Atlantic-Congo	Africa	144	124	96	77.42
chak1271	Chakali	Atlantic-Congo	Africa	191	146	113	77.4
mbay1241	Mbay	Central Sudanic	Africa	173	137	106	77.37
tera1251	Tera	Afro-Asiatic	Africa	152	128	99	77.34
berb1259	Berbice Creole Dutch	Indo-European	South America	170	135	104	77.04
fonn1241	Fon	Atlantic-Congo	Africa	189	147	113	76.87
cori1240	Cori	Atlantic-Congo	Africa	139	108	83	76.85
piji1239	Pijin	Indo-European	Papunesia	154	125	96	76.8
lave1248	Laven	Austroasiatic	Eurasia	180	142	109	76.76
cari1276	Caribbean Javanese	Austronesian	South America	97	86	66	76.74
mang1378	Mang	Austroasiatic	Eurasia	158	129	99	76.74
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	129	99	76.74
east2332	Eastern Bru	Austroasiatic	Eurasia	134	116	89	76.72
jehh1245	Jeh	Austroasiatic	Eurasia	139	111	85	76.58
nyam1285	Nyam	Afro-Asiatic	Africa	160	132	101	76.52
mamb1306	Mambae	Austronesian	Papunesia	169	136	104	76.47
uuuu1243	U	Austroasiatic	Eurasia	139	110	84	76.36
tang1347	Movono	Austronesian	Papunesia	159	135	103	76.3
naue1237	Nauete	Austronesian	Papunesia	183	143	109	76.22
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	71	54	76.06
basa1287	Basay	Austronesian	Papunesia	106	96	73	76.04
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	146	111	76.03
sasa1249	Sasak	Austronesian	Papunesia	150	121	92	76.03
tond1249	Tondi Songway Kiini	Songhay	Africa	172	137	104	75.91
bamb1269	Bambara	Mande	Africa	104	87	66	75.86
kara1499	Kalamang	West Bomberai	Papunesia	99	87	66	75.86
oroh1237	Oroha	Austronesian	Papunesia	118	99	75	75.76
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	136	103	75.74
bolg1251	Bolgo	Atlantic-Congo	Africa	78	74	56	75.68
nucl1460	Madurese	Austronesian	Papunesia	91	74	56	75.68
nali1244	Nalik	Austronesian	Papunesia	174	139	105	75.54
tief1244	Tiefo-Nyafogo-Numudara	Atlantic-Congo	Africa	186	147	111	75.51
yako1252	Yakoma	Atlantic-Congo	Africa	143	118	89	75.42
bunu1267	Bunun	Austronesian	Papunesia	74	61	46	75.41
kana1286	Kanakanavu	Austronesian	Papunesia	147	122	92	75.41
sapu1248	Sapuan	Austroasiatic	Eurasia	152	126	95	75.4
mang1405	Manggarai	Austronesian	Papunesia	168	134	101	75.37
lara1260	Larantuka Malay	Austronesian	Papunesia	169	138	104	75.36
seda1262	Sedang	Austroasiatic	Eurasia	178	142	107	75.35
tibe1274	Tibea	Atlantic-Congo	Africa	95	77	58	75.32
jiba1237	Jiba	Atlantic-Congo	Africa	120	101	76	75.25
alor1247	Alorese	Austronesian	Papunesia	168	141	106	75.18
hone1235	Hõne	Atlantic-Congo	Africa	177	145	109	75.17
avok1242	Avokaya	Central Sudanic	Africa	122	100	75	75
beel1236	Beele	Afro-Asiatic	Africa	52	48	36	75
cata1286	Catawba	Siouan	North America	125	104	78	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
dagb1246	Dagbani	Atlantic-Congo	Africa	177	144	108	75
ewee1241	Ewe	Atlantic-Congo	Africa	162	128	96	75
lach1248	Lachi	Tai-Kadai	Eurasia	167	132	99	75
maee1241	Tirax	Austronesian	Papunesia	188	148	111	75
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	112	84	75
kamm1249	Kam	Atlantic-Congo	Africa	191	147	110	74.83
paas1238	Paasaal	Atlantic-Congo	Africa	186	143	107	74.83
tokp1240	Tok Pisin	Indo-European	Papunesia	184	143	107	74.83
hait1244	Haitian	Indo-European	North America	180	139	104	74.82
tang1334	Tangut	Sino-Tibetan	Eurasia	151	119	89	74.79
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	103	77	74.76
gaaa1245	Gaa	Atlantic-Congo	Africa	79	71	53	74.65
malg1251	Malgwa	Afro-Asiatic	Africa	171	142	106	74.65
moke1242	Moken	Austronesian	Eurasia	171	138	103	74.64
leme1238	Lemerig	Austronesian	Papunesia	164	130	97	74.62
ngam1268	Ngambay	Central Sudanic	Africa	156	126	94	74.6
mafe1237	Mafea	Austronesian	Papunesia	134	114	85	74.56
siam1242	Siamou		Africa	134	110	82	74.55
bull1247	Bullom So	Atlantic-Congo	Africa	165	137	102	74.45
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	137	102	74.45
east1236	Eastern Katu	Austroasiatic	Eurasia	106	86	64	74.42
kola1285	Kola	Austronesian	Papunesia	156	129	96	74.42
lowe1427	Lower Chehalis	Salishan	North America	148	121	90	74.38
nort2994	Northern Roglai	Austronesian	Eurasia	90	78	58	74.36
bamb1270	Bambam	Austronesian	Papunesia	134	113	84	74.34
njan1240	Njanga	Atlantic-Congo	Africa	192	148	110	74.32
papu1250	Papuan Malay	Austronesian	Papunesia	191	148	110	74.32
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	144	107	74.31
mokl1243	Moklen	Austronesian	Eurasia	181	144	107	74.31
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	105	78	74.29
ndog1248	Ndogo	Atlantic-Congo	Africa	177	136	101	74.26
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	136	101	74.26
ngba1285	Ngbaka Minagende	Atlantic-Congo	Africa	168	132	98	74.24
vinm1237	Neve'ei	Austronesian	Papunesia	143	128	95	74.22
huba1236	Huba	Afro-Asiatic	Africa	151	124	92	74.19
manm1238	Man Met	Austroasiatic	Eurasia	150	120	89	74.17
aoua1234	A'ou	Tai-Kadai	Eurasia	187	147	109	74.15
iran1262	Iranun	Austronesian	Papunesia	138	112	83	74.11
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	135	100	74.07
sout2782	South Fali	Atlantic-Congo	Africa	177	135	100	74.07
nort2839	North Ambrym	Austronesian	Papunesia	174	131	97	74.05
samb1311	Samba Daka	Atlantic-Congo	Africa	158	127	94	74.02
waja1257	Wajarri	Pama-Nyungan	Australia	65	50	37	74
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	123	91	73.98
maku1277	Maku'a	Austronesian	Papunesia	29	23	17	73.91
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	115	85	73.91
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	134	99	73.88
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	111	82	73.87
bekw1242	Bekwil	Atlantic-Congo	Africa	100	88	65	73.86
pamb1243	Pambia	Atlantic-Congo	Africa	131	107	79	73.83
gebe1237	Gebe	Austronesian	Papunesia	129	103	76	73.79
laal1242	Laal		Africa	154	122	90	73.77
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	122	90	73.77
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	99	73	73.74
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	118	87	73.73
apin1244	Apinayé	Nuclear-Macro-Je	South America	181	137	101	73.72
sika1261	Sikaiana	Austronesian	Papunesia	173	137	101	73.72
jjuu1238	Jju	Atlantic-Congo	Africa	85	76	56	73.68
tomb1244	Tombonuo	Austronesian	Papunesia	136	114	84	73.68
buga1247	Bugan	Austroasiatic	Eurasia	190	148	109	73.65
kosr1238	Kosraean	Austronesian	Papunesia	188	144	106	73.61
aros1241	Arosi	Austronesian	Papunesia	141	125	92	73.6
limo1249	Limonese Creole	Indo-European	North America	143	125	92	73.6
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	68	50	73.53
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	136	100	73.53
anuf1239	Anufo	Atlantic-Congo	Africa	162	132	97	73.48
wala1266	Wala	Austronesian	Papunesia	150	132	97	73.48
mund1326	Mündü	Atlantic-Congo	Africa	120	98	72	73.47
nucl1417	Igbo	Atlantic-Congo	Africa	188	147	108	73.47
shil1265	Shilluk	Nilotic	Africa	182	147	108	73.47
jurm1239	Jur Modo	Central Sudanic	Africa	159	128	94	73.44
sapo1253	Saposa	Austronesian	Papunesia	145	128	94	73.44
west2397	Western Bru	Austroasiatic	Eurasia	157	128	94	73.44
mlab1235	Mlabri	Austroasiatic	Eurasia	182	143	105	73.43
abun1252	Abun		Papunesia	195	150	110	73.33
daka1243	Dakaka	Austronesian	Papunesia	187	150	110	73.33
mort1237	Mortlockese	Austronesian	Papunesia	141	120	88	73.33
saya1246	Saya	Afro-Asiatic	Africa	121	105	77	73.33
sekp1241	Sekpele	Atlantic-Congo	Africa	94	75	55	73.33
waim1252	Waima'a	Austronesian	Papunesia	144	120	88	73.33
iban1264	Iban	Austronesian	Papunesia	188	146	107	73.29
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	86	63	73.26
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	142	104	73.24
jama1262	Jamaican Creole English	Indo-European	North America	157	127	93	73.23
yong1270	Narua	Sino-Tibetan	Eurasia	160	127	93	73.23
kweg1241	Kwegu	Surmic	Africa	162	134	98	73.13
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	134	98	73.13
baha1260	Bahamas Creole English	Indo-European	North America	103	93	68	73.12
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	119	87	73.11
gude1246	Gude	Afro-Asiatic	Africa	176	145	106	73.1
moba1244	Moba	Atlantic-Congo	Africa	185	145	106	73.1
apma1241	Ap Ma	Keram	Papunesia	126	104	76	73.08
bara1361	Barambu	Atlantic-Congo	Africa	128	104	76	73.08
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	26	19	73.08
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	130	95	73.08
shee1238	She	Hmong-Mien	Eurasia	162	130	95	73.08
sooo1256	Soo	Kuliak	Africa	82	78	57	73.08
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	141	103	73.05
beli1260	Belize Kriol English	Indo-European	North America	130	115	84	73.04
hung1275	Hung	Austroasiatic	Eurasia	142	115	84	73.04
lito1235	Litoka	Atlantic-Congo	Africa	97	89	65	73.03
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	63	46	73.02
oldm1242	Old Mon	Austroasiatic	Eurasia	171	137	100	72.99
bafu1246	Bafut	Atlantic-Congo	Africa	190	148	108	72.97
east2563	Eastern Cham	Austronesian	Eurasia	92	74	54	72.97
paco1243	Pacoh	Austroasiatic	Eurasia	188	148	108	72.97
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	133	97	72.93
cent2058	Central Maewo	Austronesian	Papunesia	110	96	70	72.92
phai1238	Prai	Austroasiatic	Eurasia	186	144	105	72.92
saba1263	Sabah Malay	Austronesian	Papunesia	182	144	105	72.92
west2417	Western Muya	Sino-Tibetan	Eurasia	112	96	70	72.92
mand1436	Mandinka	Mande	Africa	137	107	78	72.9
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	103	75	72.82
baro1253	Barok	Austronesian	Papunesia	165	136	99	72.79
beka1241	Riuk Bekati'	Austronesian	Papunesia	179	147	107	72.79
ache1246	Aché	Tupian	South America	78	66	48	72.73
keoo1238	Kéo	Austronesian	Papunesia	187	143	104	72.73
