Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
dibo1245	Dibole	Atlantic-Congo	Africa	124	120	106	88.33
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	84	71	84.52
thar1283	Tharaka	Atlantic-Congo	Africa	101	96	81	84.38
nige1253	Hausa States Fulfulde	Atlantic-Congo	Africa	136	126	106	84.13
lamb1272	Lambya	Atlantic-Congo	Africa	132	130	109	83.85
maas1239	Maasina Fulfulde	Atlantic-Congo	Africa	133	123	103	83.74
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	41	83.67
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	53	44	83.02
belu1239	Belueli	Atlantic-Congo	Africa	73	70	58	82.86
maku1277	Maku'a	Austronesian	Papunesia	29	29	24	82.76
chim1312	Chimwiini	Atlantic-Congo	Africa	81	81	67	82.72
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	115	95	82.61
nort2864	Wemale	Austronesian	Papunesia	76	74	61	82.43
sham1280	Shambala	Atlantic-Congo	Africa	118	107	88	82.24
nalo1235	Nalögo	Austronesian	Papunesia	33	33	27	81.82
buku1249	Bukusu	Atlantic-Congo	Africa	52	49	40	81.63
pula1262	Pular	Atlantic-Congo	Africa	134	124	101	81.45
luya1241	Luyi	Atlantic-Congo	Africa	172	161	131	81.37
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	149	121	81.21
orok1266	Oroko	Atlantic-Congo	Africa	139	133	108	81.2
ndun1249	Ndunga	Atlantic-Congo	Africa	127	122	99	81.15
yaoo1241	Yao	Atlantic-Congo	Africa	137	132	107	81.06
soga1242	Soga	Atlantic-Congo	Africa	181	167	135	80.84
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	151	122	80.79
zinz1238	Zinza	Atlantic-Congo	Africa	106	103	83	80.58
elip1238	Elip	Atlantic-Congo	Africa	111	108	87	80.56
biaf1240	Biafada	Atlantic-Congo	Africa	123	118	95	80.51
soli1239	Soli	Atlantic-Congo	Africa	101	97	78	80.41
here1253	Herero	Atlantic-Congo	Africa	187	173	139	80.35
tuki1240	Tuki	Atlantic-Congo	Africa	160	146	117	80.14
nyor1246	Nyoro	Atlantic-Congo	Africa	180	166	133	80.12
gusi1247	Gusii	Atlantic-Congo	Africa	173	165	132	80
konz1239	Konzo	Atlantic-Congo	Africa	133	125	100	80
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	99	79	79.8
kagu1239	Kagulu	Atlantic-Congo	Africa	186	173	138	79.77
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	152	121	79.61
hehe1240	Hehe	Atlantic-Congo	Africa	144	137	109	79.56
ache1245	Acheron	Narrow Talodi	Africa	120	112	89	79.46
suba1238	Suba	Atlantic-Congo	Africa	111	107	85	79.44
lafo1243	Lafofa		Africa	68	68	54	79.41
molo1266	Moloko	Afro-Asiatic	Africa	109	102	81	79.41
osam1235	Osamayi	Atlantic-Congo	Africa	105	102	81	79.41
toor1238	Tooro	Atlantic-Congo	Africa	184	170	135	79.41
holo1240	Holoholo	Atlantic-Congo	Africa	144	131	104	79.39
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	135	107	79.26
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	77	61	79.22
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	173	137	79.19
pula1263	Pulaar	Atlantic-Congo	Africa	130	120	95	79.17
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	115	91	79.13
vunj1238	Vunjo	Atlantic-Congo	Africa	165	158	125	79.11
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	105	83	79.05
kwam1249	Gwama	Koman	Africa	171	157	124	78.98
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	157	124	78.98
kala1384	Kalanga	Atlantic-Congo	Africa	164	152	120	78.95
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	152	120	78.95
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	85	67	78.82
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	160	126	78.75
beem1239	Beembe	Atlantic-Congo	Africa	144	136	107	78.68
chuw1238	Chuwabu	Atlantic-Congo	Africa	180	168	132	78.57
homa1239	Homa	Atlantic-Congo	Africa	14	14	11	78.57
shon1251	Shona	Atlantic-Congo	Africa	182	168	132	78.57
saam1283	Saamia	Atlantic-Congo	Africa	134	130	102	78.46
nyan1307	Nyankole	Atlantic-Congo	Africa	185	171	134	78.36
lito1235	Litoka	Atlantic-Congo	Africa	97	92	72	78.26
gwen1239	Gweno	Atlantic-Congo	Africa	135	124	97	78.23
swah1253	Swahili	Atlantic-Congo	Africa	178	165	129	78.18
daak1235	Da'a Kaili	Austronesian	Papunesia	123	114	89	78.07
budz1238	Budza	Atlantic-Congo	Africa	166	155	121	78.06
sout2826	Southern Grebo	Kru	Africa	85	82	64	78.05
mwan1247	Mwani	Atlantic-Congo	Africa	157	150	117	78
siks1238	Siksika	Algic	North America	162	150	117	78
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	149	116	77.85
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	27	21	77.78
safw1238	Safwa	Atlantic-Congo	Africa	48	45	35	77.78
haaa1252	Ha	Atlantic-Congo	Africa	187	175	136	77.71
lika1243	Liko	Atlantic-Congo	Africa	165	152	118	77.63
fipa1238	Fipa	Atlantic-Congo	Africa	120	116	90	77.59
tote1238	Totela	Atlantic-Congo	Africa	161	151	117	77.48
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	142	110	77.46
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	155	120	77.42
nden1248	Ndengereko	Atlantic-Congo	Africa	88	84	65	77.38
elmo1238	El Molo	Afro-Asiatic	Africa	171	159	123	77.36
libi1244	Libinza	Atlantic-Congo	Africa	134	128	99	77.34
nila1242	Nilamba	Atlantic-Congo	Africa	162	154	119	77.27
umbu1257	Umbundu	Atlantic-Congo	Africa	153	145	112	77.24
bomb1262	Bomboma	Atlantic-Congo	Africa	119	114	88	77.19
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	127	98	77.17
bush1247	Bushoong	Atlantic-Congo	Africa	184	170	131	77.06
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	143	110	76.92
giiw1236	Giiwo	Afro-Asiatic	Africa	70	69	53	76.81
beng1282	Benga	Atlantic-Congo	Africa	132	125	96	76.8
pagi1243	Pagibete	Atlantic-Congo	Africa	170	159	122	76.73
nyal1250	Nyali	Atlantic-Congo	Africa	118	116	89	76.72
akoo1248	Akoose	Atlantic-Congo	Africa	185	171	131	76.61
bond1247	Bondei	Atlantic-Congo	Africa	151	145	111	76.55
lumb1249	Lumbu	Atlantic-Congo	Africa	146	140	107	76.43
mako1251	Makonde	Atlantic-Congo	Africa	164	157	120	76.43
suku1261	Sukuma	Atlantic-Congo	Africa	128	123	94	76.42
lozi1239	Lozi	Atlantic-Congo	Africa	137	131	100	76.34
bong1284	Bongili	Atlantic-Congo	Africa	102	97	74	76.29
bafi1243	Bafia	Atlantic-Congo	Africa	173	160	122	76.25
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	84	64	76.19
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	126	96	76.19
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	147	112	76.19
tswa1255	Tswa	Atlantic-Congo	Africa	162	151	115	76.16
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	176	134	76.14
mpot1240	Mpoto	Atlantic-Congo	Africa	173	159	121	76.1
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	167	127	76.05
para1316	Paraujano	Arawakan	South America	53	50	38	76
mbol1247	Mbole	Atlantic-Congo	Africa	89	83	63	75.9
kaon1241	Kaonde	Atlantic-Congo	Africa	120	112	85	75.89
saga1262	Sagalla	Atlantic-Congo	Africa	152	145	110	75.86
tima1241	Tima	Katla-Tima	Africa	61	58	44	75.86
lang1320	Langi	Atlantic-Congo	Africa	174	161	122	75.78
makw1236	Makwe	Atlantic-Congo	Africa	86	82	62	75.61
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	31	75.61
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Atlantic-Congo	Africa	138	127	96	75.59
yaka1272	Yaka (Central African Republic)	Atlantic-Congo	Africa	140	127	96	75.59
meru1245	Meru	Atlantic-Congo	Africa	162	155	117	75.48
arap1274	Arapaho	Algic	North America	188	175	132	75.43
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	134	101	75.37
moro1285	Moro	Heibanic	Africa	77	69	52	75.36
zamb1245	Zamba	Atlantic-Congo	Africa	152	146	110	75.34
ndob1238	Ndobo	Atlantic-Congo	Africa	85	81	61	75.31
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	113	85	75.22
dual1243	Duala	Atlantic-Congo	Africa	138	129	97	75.19
nsen1242	Nsenga	Atlantic-Congo	Africa	160	149	112	75.17
beel1236	Beele	Afro-Asiatic	Africa	52	52	39	75
digo1243	Digo	Atlantic-Congo	Africa	190	176	132	75
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	9	75
koti1238	Koti	Atlantic-Congo	Africa	182	168	126	75
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	108	81	75
tain1254	Taino	Arawakan	North America	4	4	3	75
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	72	54	75
tswa1253	Tswana	Atlantic-Congo	Africa	178	164	123	75
vwan1235	Vwanji	Atlantic-Congo	Africa	129	124	93	75
wood1236	Woods Cree	Algic	North America	162	148	111	75
gyel1242	Gyele	Atlantic-Congo	Africa	190	175	131	74.86
makh1264	Makhuwa	Atlantic-Congo	Africa	168	155	116	74.84
mbaa1245	Mba	Atlantic-Congo	Africa	137	131	98	74.81
chey1247	Cheyenne	Algic	North America	139	127	95	74.8
ilaa1246	Ila	Atlantic-Congo	Africa	124	119	89	74.79
musg1254	Musgu	Afro-Asiatic	Africa	118	115	86	74.78
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	107	80	74.77
yaak1241	Yaaku	Afro-Asiatic	Africa	177	166	124	74.7
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	75	56	74.67
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	150	112	74.67
luch1239	Luchazi	Atlantic-Congo	Africa	136	130	97	74.62
noon1242	Noon	Atlantic-Congo	Africa	188	173	129	74.57
bata1285	Batanga	Atlantic-Congo	Africa	113	106	79	74.53
para1311	Paraguayan Guaraní	Tupian	South America	54	51	38	74.51
sout3236	Southern Gumuz	Gumuz	Africa	161	149	111	74.5
bamw1238	Bamwe	Atlantic-Congo	Africa	102	98	73	74.49
gand1255	Ganda	Atlantic-Congo	Africa	148	137	102	74.45
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	133	99	74.44
suku1259	Suku	Atlantic-Congo	Africa	134	129	96	74.42
tien1242	Tiene	Atlantic-Congo	Africa	126	121	90	74.38
luva1239	Luvale	Atlantic-Congo	Africa	169	156	116	74.36
abua1245	Abu' Arapesh	Nuclear Torricelli	Papunesia	170	159	118	74.21
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	151	112	74.17
kips1239	Kipsigis	Nilotic	Africa	156	147	109	74.15
lund1266	Lunda	Atlantic-Congo	Africa	150	139	103	74.1
ndam1239	Ndamba	Atlantic-Congo	Africa	180	166	123	74.1
kera1248	Keerak	Atlantic-Congo	Africa	128	119	88	73.95
sele1249	Selee	Atlantic-Congo	Africa	128	119	88	73.95
bobo1255	Bobongko	Austronesian	Papunesia	73	69	51	73.91
jita1239	Jita	Atlantic-Congo	Africa	75	69	51	73.91
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	149	110	73.83
teke1275	Latege	Atlantic-Congo	Africa	180	168	124	73.81
adze1240	Adzera	Austronesian	Papunesia	158	145	107	73.79
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	164	121	73.78
loba1239	Lobala	Atlantic-Congo	Africa	98	95	70	73.68
gaaa1245	Gaa	Atlantic-Congo	Africa	79	72	53	73.61
pang1287	Pangwa	Atlantic-Congo	Africa	167	159	117	73.58
teun1241	Te'un	Austronesian	Papunesia	53	53	39	73.58
esee1247	Ese	Koiarian	Papunesia	75	68	50	73.53
okuu1243	Oku	Atlantic-Congo	Africa	110	102	75	73.53
mong1338	Mongo	Atlantic-Congo	Africa	124	117	86	73.5
akei1237	Akei	Austronesian	Papunesia	122	113	83	73.45
maba1270	Mabaale	Atlantic-Congo	Africa	118	113	83	73.45
meen1242	Me'en	Surmic	Africa	167	158	116	73.42
ines1240	Ineseño	Chumashan	North America	173	161	118	73.29
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	146	107	73.29
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	130	127	93	73.23
keda1252	Kedang	Austronesian	Papunesia	162	153	112	73.2
maka1304	Makaa	Atlantic-Congo	Africa	159	153	112	73.2
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	153	112	73.2
dege1246	Degema	Atlantic-Congo	Africa	189	175	128	73.14
pila1245	Pilagá	Guaicuruan	South America	183	171	125	73.1
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	171	125	73.1
dagi1241	Dagik	Narrow Talodi	Africa	167	156	114	73.08
matu1259	Matumbi	Atlantic-Congo	Africa	134	126	92	73.02
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	163	119	73.01
gumu1244	Northern Gumuz	Gumuz	Africa	160	148	108	72.97
plai1258	Plains Cree	Algic	North America	174	159	116	72.96
bebe1248	Bebele	Atlantic-Congo	Africa	184	170	124	72.94
land1256	Landoma	Atlantic-Congo	Africa	137	133	97	72.93
nkor1239	Nkoroo	Ijoid	Africa	54	48	35	72.92
yasa1242	Yasa	Atlantic-Congo	Africa	101	96	70	72.92
high1243	Highland Totonac	Totonacan	North America	120	118	86	72.88
otor1240	Otoro	Heibanic	Africa	88	81	59	72.84
bera1262	Berau Malay	Austronesian	Papunesia	11	11	8	72.73
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	165	120	72.73
koon1245	Koonzime	Atlantic-Congo	Africa	133	121	88	72.73
siwi1239	Siwi	Afro-Asiatic	Africa	168	154	112	72.73
liki1240	Balobo	Atlantic-Congo	Africa	99	95	69	72.63
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	183	168	122	72.62
ware1253	Warembori	Austronesian	Papunesia	170	157	114	72.61
kari1306	Kari	Atlantic-Congo	Africa	76	73	53	72.6
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	146	106	72.6
macu1259	Macushi	Cariban	South America	66	62	45	72.58
miam1252	Miami	Algic	North America	120	113	82	72.57
kweg1241	Kwegu	Surmic	Africa	162	153	111	72.55
jjuu1238	Jju	Atlantic-Congo	Africa	85	80	58	72.5
