Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
ndam1251	Ndam	Afro-Asiatic	Africa	41	40	34	85
yako1252	Yakoma	Atlantic-Congo	Africa	143	130	108	83.08
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	147	122	82.99
gbay1278	Gbayi	Atlantic-Congo	Africa	58	55	45	81.82
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	139	113	81.29
huba1236	Huba	Afro-Asiatic	Africa	151	139	113	81.29
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
geru1240	Geruma	Afro-Asiatic	Africa	66	64	52	81.25
tomb1244	Tombonuo	Austronesian	Papunesia	136	129	104	80.62
tera1251	Tera	Afro-Asiatic	Africa	152	144	116	80.56
gala1264	Galambu	Afro-Asiatic	Africa	79	77	62	80.52
monz1249	Monzombo	Atlantic-Congo	Africa	119	107	86	80.37
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	107	86	80.37
lund1271	Lundayeh	Austronesian	Papunesia	141	132	106	80.3
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	152	122	80.26
reja1241	Rejang Kayan	Austronesian	Papunesia	140	136	109	80.15
cani1243	Canichana		South America	50	50	40	80
iran1262	Iranun	Austronesian	Papunesia	138	130	104	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
lach1248	Lachi	Tai-Kadai	Eurasia	167	154	123	79.87
ughe1237	Ughele	Austronesian	Papunesia	182	168	134	79.76
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	107	85	79.44
keng1240	Kenga	Central Sudanic	Africa	124	116	92	79.31
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	42	79.25
golo1234	Golo	Atlantic-Congo	Africa	82	77	61	79.22
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	158	125	79.11
viet1252	Vietnamese	Austroasiatic	Eurasia	140	129	102	79.07
lave1248	Laven	Austroasiatic	Eurasia	180	167	132	79.04
mban1263	Mbandja	Atlantic-Congo	Africa	162	147	116	78.91
sela1259	Selaru	Austronesian	Papunesia	186	170	134	78.82
sisi1250	Sisiqa	Austronesian	Papunesia	71	66	52	78.79
oroh1237	Oroha	Austronesian	Papunesia	118	113	89	78.76
unea1237	Uneapa	Austronesian	Papunesia	87	80	63	78.75
glav1244	Glavda	Afro-Asiatic	Africa	149	141	111	78.72
reng1252	Rengao	Austroasiatic	Eurasia	172	155	122	78.71
maee1241	Tirax	Austronesian	Papunesia	188	169	133	78.7
hala1252	Halang	Austroasiatic	Eurasia	82	75	59	78.67
malg1251	Malgwa	Afro-Asiatic	Africa	171	163	128	78.53
blan1242	Blang	Austroasiatic	Eurasia	159	149	117	78.52
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	144	113	78.47
beel1236	Beele	Afro-Asiatic	Africa	52	51	40	78.43
arak1252	Araki	Austronesian	Papunesia	194	175	137	78.29
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	101	78.29
rung1259	Rungus	Austronesian	Papunesia	137	129	101	78.29
