Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	186	153	82.26
wuna1249	Wunambal	Worrorran	Australia	127	125	101	80.8
bura1267	Burarra	Maningrida	Australia	87	86	69	80.23
kwin1241	Kwini	Worrorran	Australia	160	156	125	80.13
urni1239	Urningangg	Giimbiyu	Australia	157	154	121	78.57
tiwi1244	Tiwi		Australia	102	101	79	78.22
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	32	25	78.12
gamb1251	Gambera	Worrorran	Australia	129	127	99	77.95
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	98	76	77.55
umbu1235	Umbugarla		Australia	126	123	95	77.24
lara1258	Laragia		Australia	108	104	80	76.92
ngal1292	Ngalkbun	Gunwinyguan	Australia	188	184	141	76.63
murr1258	Murriny Patha	Southern Daly	Australia	97	96	73	76.04
miwa1242	Miwa	Worrorran	Australia	130	128	97	75.78
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	86	65	75.58
maun1240	Mawng	Iwaidjan Proper	Australia	194	190	143	75.26
wila1240	Wilawila	Worrorran	Australia	127	125	94	75.2
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
pich1237	Pichis Ashéninka	Arawakan	South America	148	144	108	75
tain1254	Taino	Arawakan	North America	4	4	3	75
winj1235	Winjarumi	Worrorran	Australia	126	124	93	75
warr1258	Warrwa	Nyulnyulan	Australia	137	136	101	74.26
bard1255	Bardi	Nyulnyulan	Australia	94	93	69	74.19
sene1264	Seneca	Iroquoian	North America	174	170	126	74.12
miam1252	Miami	Algic	North America	120	117	86	73.5
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	64	47	73.44
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	90	66	73.33
loup1243	Loup A	Algic	North America	132	129	94	72.87
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	88	64	72.73
djee1236	Djeebbana	Maningrida	Australia	182	178	129	72.47
thay1249	Thayore	Pama-Nyungan	Australia	99	98	71	72.45
djin1251	Jingulu	Mirndi	Australia	166	163	118	72.39
ngar1284	Ngarinyin	Worrorran	Australia	181	177	128	72.32
daak1235	Da'a Kaili	Austronesian	Papunesia	123	119	86	72.27
wadj1254	Wadjiginy		Australia	141	137	99	72.26
budu1265	Buduma	Afro-Asiatic	Africa	137	133	96	72.18
ngar1283	Ngarnka	Mirndi	Australia	162	158	114	72.15
mara1385	Marra	Mangarrayi-Maran	Australia	94	93	67	72.04
cani1243	Canichana		South America	50	50	36	72
mang1381	Mangarrayi	Mangarrayi-Maran	Australia	192	188	135	71.81
worr1237	Worrorra	Worrorran	Australia	151	149	107	71.81
aram1253	Arammba	Yam	Papunesia	92	91	65	71.43
muru1266	Muruwari	Pama-Nyungan	Australia	157	154	110	71.43
wage1238	Wageman		Australia	175	171	122	71.35
muyu1244	Muyuw	Austronesian	Papunesia	140	136	97	71.32
ngan1295	Ngandi	Gunwinyguan	Australia	95	94	67	71.28
djam1255	Jaminjung-Ngaliwurru	Mirndi	Australia	184	180	128	71.11
nort2864	Wemale	Austronesian	Papunesia	76	76	54	71.05
mapo1242	Mapos Buang	Austronesian	Papunesia	173	169	120	71.01
reye1240	Reyesano	Pano-Tacanan	South America	139	137	97	70.8
adze1240	Adzera	Austronesian	Papunesia	158	154	109	70.78
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	29	70.73
pagu1249	Pagu	North Halmahera	Papunesia	153	150	106	70.67
yayg1236	Yaygir	Pama-Nyungan	Australia	154	150	106	70.67
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	68	48	70.59
wamb1258	Wambayan	Mirndi	Australia	103	102	72	70.59
kaya1319	Kayardild	Tangkic	Australia	96	95	67	70.53
sude1239	Sudest	Austronesian	Papunesia	159	156	110	70.51
molo1266	Moloko	Afro-Asiatic	Africa	109	105	74	70.48
nhan1238	Nhanda	Pama-Nyungan	Australia	163	159	112	70.44
ashe1272	Ashéninka Perené	Arawakan	South America	193	189	133	70.37
nezp1238	Nez Perce	Sahaptian	North America	176	172	121	70.35
mama1275	Mamanwa	Austronesian	Papunesia	149	145	102	70.34
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	165	116	70.3
gaga1251	Gaagudju		Australia	169	165	116	70.3
jjuu1238	Jju	Atlantic-Congo	Africa	85	84	59	70.24
awtu1239	Awtuw	Sepik	Papunesia	138	134	94	70.15
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	134	94	70.15
elmo1238	El Molo	Afro-Asiatic	Africa	171	167	117	70.06
ware1253	Warembori	Austronesian	Papunesia	170	167	117	70.06
matu1261	Matukar	Austronesian	Papunesia	194	190	133	70
musg1254	Musgu	Afro-Asiatic	Africa	118	116	81	69.83
naka1262	Nakanai	Austronesian	Papunesia	173	169	118	69.82
tobe1252	Tobelo	North Halmahera	Papunesia	173	169	118	69.82
pawn1254	Pawnee	Caddoan	North America	156	152	106	69.74
muss1246	Mussau-Emira	Austronesian	Papunesia	90	89	62	69.66
namb1293	Nambo	Yam	Papunesia	182	178	124	69.66
chey1247	Cheyenne	Algic	North America	139	135	94	69.63
chek1238	Cheke Holo	Austronesian	Papunesia	167	164	114	69.51
dobe1238	Dobel	Austronesian	Papunesia	145	141	98	69.5
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	141	98	69.5
