Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
awab1243	Awabakal	Pama-Nyungan	Australia	67	66	59	89.39
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	93	83	89.25
darl1243	Paakantyi	Pama-Nyungan	Australia	45	44	39	88.64
djin1253	Djinang	Pama-Nyungan	Australia	59	58	51	87.93
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
marg1253	Margany	Pama-Nyungan	Australia	144	139	121	87.05
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	14	12	85.71
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	56	48	85.71
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	150	127	84.67
thur1254	Thurawal	Pama-Nyungan	Australia	86	84	71	84.52
mayk1239	Maykulan	Pama-Nyungan	Australia	152	146	123	84.25
wanm1242	Wanman	Pama-Nyungan	Australia	132	127	107	84.25
walm1241	Walmajarri	Pama-Nyungan	Australia	57	57	48	84.21
biri1256	Biri	Pama-Nyungan	Australia	146	138	116	84.06
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	125	105	84
jaru1254	Jaru	Pama-Nyungan	Australia	61	59	49	83.05
yulp1239	Yulparija	Pama-Nyungan	Australia	156	146	120	82.19
gana1278	Ganai	Pama-Nyungan	Australia	53	50	41	82
arab1267	Arabana	Pama-Nyungan	Australia	62	61	50	81.97
nhan1238	Nhanda	Pama-Nyungan	Australia	163	154	126	81.82
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	155	126	81.29
hrus1242	Hruso		Eurasia	89	80	65	81.25
kaur1267	Kaurna	Pama-Nyungan	Australia	48	48	39	81.25
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	69	56	81.16
waru1265	Warumungu	Pama-Nyungan	Australia	173	159	129	81.13
pany1241	Panytyima	Pama-Nyungan	Australia	171	164	133	81.1
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	111	90	81.08
pano1255	Panobo	Pano-Tacanan	South America	163	153	124	81.05
warr1255	Warrgamay	Pama-Nyungan	Australia	80	78	63	80.77
jaqa1244	Jaqaru	Aymaran	South America	150	140	113	80.71
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	67	54	80.6
asur1254	Asuri	Austroasiatic	Eurasia	149	138	111	80.43
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	97	78	80.41
cent2322	Central Mansi	Uralic	Eurasia	185	173	139	80.35
kara1476	Karadjeri	Pama-Nyungan	Australia	67	66	53	80.3
dhar1247	Dhargari	Pama-Nyungan	Australia	77	76	61	80.26
warl1256	Warluwara	Pama-Nyungan	Australia	95	91	73	80.22
naru1238	Narungga	Pama-Nyungan	Australia	106	101	81	80.2
yayg1236	Yaygir	Pama-Nyungan	Australia	154	146	117	80.14
bert1248	Berta		Africa	119	115	92	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
skol1241	Skolt Saami	Uralic	Eurasia	192	175	140	80
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	169	135	79.88
amah1246	Amahuaca	Pano-Tacanan	South America	153	144	115	79.86
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	144	115	79.86
nort2952	Northeast Maidu	Maiduan	North America	161	153	122	79.74
muru1266	Muruwari	Pama-Nyungan	Australia	157	148	118	79.73
mill1237	Millcayac	Huarpean	South America	122	118	94	79.66
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	113	90	79.65
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	54	43	79.63
patt1248	Pattani	Sino-Tibetan	Eurasia	172	157	125	79.62
fore1265	Forest Enets	Uralic	Eurasia	193	175	139	79.43
kalk1246	Kalkutung	Pama-Nyungan	Australia	158	150	119	79.33
cald1236	Calderón Highland Quichua	Quechuan	South America	155	145	115	79.31
poya1241	Poyanáwa	Pano-Tacanan	South America	50	48	38	79.17
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	67	53	79.1
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	129	102	79.07
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	129	102	79.07
nara1262	Nara		Africa	132	124	98	79.03
capa1241	Capanahua	Pano-Tacanan	South America	171	157	124	78.98
nort2980	North Junín Quechua	Quechuan	South America	175	157	124	78.98
gang1267	Ganggalida	Tangkic	Australia	94	90	71	78.89
shas1239	Shasta	Shastan	North America	144	137	108	78.83
achu1248	Achuar-Shiwiar	Chicham	South America	183	170	134	78.82
wira1265	Wirangu	Pama-Nyungan	Australia	66	66	52	78.79
puqu1242	Puquina		South America	118	113	89	78.76
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	174	137	78.74
yagu1244	Yagua	Peba-Yagua	South America	170	155	122	78.71
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	159	125	78.62
voti1245	Votic	Uralic	Eurasia	169	154	121	78.57
esto1258	Estonian	Uralic	Eurasia	195	177	139	78.53
finn1318	Finnish	Uralic	Eurasia	195	177	139	78.53
pite1240	Pite Saami	Uralic	Eurasia	195	177	139	78.53
muth1236	Muthuvan	Dravidian	Eurasia	143	130	102	78.46
mart1255	Martuthunira	Pama-Nyungan	Australia	184	176	138	78.41
chim1309	Chimila	Chibchan	South America	136	129	101	78.29
surg1248	Surgut Khanty	Uralic	Eurasia	186	170	133	78.24
ludi1246	Ludian	Uralic	Eurasia	192	174	136	78.16
macu1259	Macushi	Cariban	South America	66	64	50	78.12
waga1260	Wagaya	Pama-Nyungan	Australia	134	128	100	78.12
yawu1244	Yawuru	Nyulnyulan	Australia	185	169	132	78.11
pura1257	Purari		Papunesia	158	146	114	78.08
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	82	64	78.05
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	127	99	77.95
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	136	106	77.94
erzy1239	Erzya	Uralic	Eurasia	190	172	134	77.91
para1311	Paraguayan Guaraní	Tupian	South America	54	54	42	77.78
shan1283	Shanenawa	Pano-Tacanan	South America	171	162	126	77.78
yawa1260	Yawanawa	Pano-Tacanan	South America	148	139	108	77.7
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	121	94	77.69
yind1247	Yindjibarndi	Pama-Nyungan	Australia	174	161	125	77.64
even1259	Evenki	Tungusic	Eurasia	158	143	111	77.62
pana1307	Panará	Nuclear-Macro-Je	South America	156	143	111	77.62
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	134	104	77.61
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	125	97	77.6
turk1303	Turkic Khalaj	Turkic	Eurasia	171	160	124	77.5
nort2671	North Saami	Uralic	Eurasia	167	151	117	77.48
tong1329	Tongva	Uto-Aztecan	North America	162	151	117	77.48
sius1254	Siuslaw		North America	165	150	116	77.33
veps1250	Veps	Uralic	Eurasia	188	172	133	77.33
livv1244	Liv	Uralic	Eurasia	194	176	136	77.27
piap1246	Piapoco	Arawakan	South America	59	57	44	77.19
cani1243	Canichana		South America	50	48	37	77.08
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	122	94	77.05
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	139	107	76.98
gara1269	Garrwa	Garrwan	Australia	94	91	70	76.92
moch1259	Mochica		South America	139	134	103	76.87
