Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kaur1267	Kaurna	Pama-Nyungan	Australia	48	36	33	91.67
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	119	106	89.08
muru1266	Muruwari	Pama-Nyungan	Australia	157	121	107	88.43
yayg1236	Yaygir	Pama-Nyungan	Australia	154	118	104	88.14
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	75	66	88
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
isco1239	Isconahua	Pano-Tacanan	South America	192	132	115	87.12
achu1248	Achuar-Shiwiar	Chicham	South America	183	130	112	86.15
nezp1238	Nez Perce	Sahaptian	North America	176	127	109	85.83
yawa1260	Yawanawa	Pano-Tacanan	South America	148	112	96	85.71
pano1255	Panobo	Pano-Tacanan	South America	163	117	100	85.47
marg1253	Margany	Pama-Nyungan	Australia	144	110	94	85.45
jaru1254	Jaru	Pama-Nyungan	Australia	61	41	35	85.37
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	35	85.37
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	129	110	85.27
warr1255	Warrgamay	Pama-Nyungan	Australia	80	54	46	85.19
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	47	40	85.11
gung1248	Gungabula	Pama-Nyungan	Australia	44	33	28	84.85
cani1243	Canichana		South America	50	46	39	84.78
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	11	84.62
shan1283	Shanenawa	Pano-Tacanan	South America	171	123	104	84.55
yora1241	Yora	Pano-Tacanan	South America	129	103	87	84.47
nati1243	Natioro	Atlantic-Congo	Africa	51	45	38	84.44
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	57	48	84.21
nhan1238	Nhanda	Pama-Nyungan	Australia	163	120	101	84.17
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	112	94	83.93
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	112	94	83.93
hrus1242	Hruso		Eurasia	89	74	62	83.78
wage1238	Wageman		Australia	175	123	103	83.74
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	104	87	83.65
biri1256	Biri	Pama-Nyungan	Australia	146	110	92	83.64
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	61	51	83.61
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	85	71	83.53
fasu1242	Fasu		Papunesia	120	91	76	83.52
mala1463	Malavedan	Dravidian	Eurasia	163	121	101	83.47
esee1248	Ese Ejja	Pano-Tacanan	South America	189	132	110	83.33
mats1244	Matsés	Pano-Tacanan	South America	174	126	105	83.33
ying1247	Yinggarda	Pama-Nyungan	Australia	65	48	40	83.33
cald1236	Calderón Highland Quichua	Quechuan	South America	155	113	94	83.19
dhar1247	Dhargari	Pama-Nyungan	Australia	77	47	39	82.98
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	47	39	82.98
