Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
yaou1238	Yaouré	Mande	Africa	130	127	123	96.85
mwan1250	Mwan	Mande	Africa	135	126	115	91.27
wann1242	Wan	Mande	Africa	124	116	104	89.66
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	9	8	88.89
mann1248	Mann	Mande	Africa	124	117	104	88.89
bamb1269	Bambara	Mande	Africa	104	101	89	88.12
siam1242	Siamou		Africa	134	97	85	87.63
cent1972	Central Kurdish	Indo-European	Eurasia	15	7	6	85.71
kara1476	Karadjeri	Pama-Nyungan	Australia	67	42	36	85.71
kima1246	Kimaama	Kolopom	Papunesia	92	61	52	85.25
loma1260	Loma (Liberia)	Mande	Africa	90	85	71	83.53
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	6	5	83.33
ango1257	Angosturas Tunebo	Chibchan	South America	136	95	79	83.16
busa1253	Busa	Mande	Africa	171	116	96	82.76
anuf1239	Anufo	Atlantic-Congo	Africa	162	110	91	82.73
gbay1278	Gbayi	Atlantic-Congo	Africa	58	45	37	82.22
ngul1236	Nguluwan	Austronesian	Papunesia	56	39	32	82.05
jalk1242	Jalkunan	Mande	Africa	172	116	95	81.9
toma1245	Toma	Mande	Africa	135	127	104	81.89
mend1266	Mende (Sierra Leone)	Mande	Africa	80	76	62	81.58
mand1436	Mandinka	Mande	Africa	137	128	104	81.25
teri1250	Teribe	Chibchan	North America	165	121	98	80.99
kimm1246	Kim	Atlantic-Congo	Africa	129	99	80	80.81
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	52	42	80.77
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	124	100	80.65
azha1235	Azha	Sino-Tibetan	Eurasia	151	107	86	80.37
cent2150	Central Tunebo	Chibchan	South America	159	121	97	80.17
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
ndom1245	Ndom	Kolopom	Papunesia	74	50	40	80
nkor1239	Nkoroo	Ijoid	Africa	54	50	40	80
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	100	80	80
zarm1239	Zarma	Songhay	Africa	189	128	102	79.69
defa1248	Defaka	Ijoid	Africa	75	49	39	79.59
lepc1244	Lepcha	Sino-Tibetan	Eurasia	176	122	97	79.51
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	78	62	79.49
sici1249	Sìcìté Sénoufo	Atlantic-Congo	Africa	143	97	77	79.38
cori1240	Cori	Atlantic-Congo	Africa	139	91	72	79.12
kaba1281	Kaba	Central Sudanic	Africa	166	123	97	78.86
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	113	89	78.76
dyul1238	Dyula	Mande	Africa	157	108	85	78.7
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	103	81	78.64
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	126	99	78.57
umot1240	Umotína	Bororoan	South America	73	42	33	78.57
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	65	51	78.46
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	120	94	78.33
tega1236	Tegali	Rashad	Africa	82	60	47	78.33
bugl1243	Buglere	Chibchan	North America	157	115	90	78.26
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	114	89	78.07
sini1242	Sininkere	Mande	Africa	125	118	92	77.97
soni1259	Soninke	Mande	Africa	127	118	92	77.97
yong1270	Narua	Sino-Tibetan	Eurasia	160	118	92	77.97
abad1241	Abadi	Austronesian	Papunesia	118	86	67	77.91
fonn1241	Fon	Atlantic-Congo	Africa	189	126	98	77.78
kunz1244	Kunza		South America	72	54	42	77.78
pawa1255	Pawaia		Papunesia	110	72	56	77.78
yaul1241	Ulwa (Papua New Guinea)	Keram	Papunesia	188	126	98	77.78
golo1234	Golo	Atlantic-Congo	Africa	82	76	59	77.63
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	125	97	77.6
mund1326	Mündü	Atlantic-Congo	Africa	120	80	62	77.5
