Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	7	87.5
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	74	64	86.49
kunz1244	Kunza		South America	72	66	57	86.36
suru1262	Suruí	Tupian	South America	18	18	15	83.33
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	72	60	83.33
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	59	49	83.05
natc1249	Natchez		North America	108	104	86	82.69
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	19	82.61
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	155	128	82.58
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	126	104	82.54
gang1266	Gangte	Sino-Tibetan	Eurasia	184	160	132	82.5
coch1272	Cochimi	Cochimi-Yuman	North America	89	84	69	82.14
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	84	69	82.14
puqu1242	Puquina		South America	118	107	87	81.31
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	122	99	81.15
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	135	109	80.74
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	114	92	80.7
tepe1278	Tepecano	Uto-Aztecan	North America	121	108	87	80.56
poya1241	Poyanáwa	Pano-Tacanan	South America	50	46	37	80.43
dizi1235	Dizin	Dizoid	Africa	57	55	44	80
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	99	79	79.8
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	158	126	79.75
koir1240	Koireng	Sino-Tibetan	Eurasia	155	138	110	79.71
chir1283	Chiru	Sino-Tibetan	Eurasia	170	151	120	79.47
defa1248	Defaka	Ijoid	Africa	75	68	54	79.41
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	154	122	79.22
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	158	125	79.11
saba1268	Sabanê	Nambiquaran	South America	169	148	117	79.05
tang1377	Tangam	Sino-Tibetan	Eurasia	179	157	124	78.98
