Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
uuuu1243	U	Austroasiatic	Eurasia	139	63	63	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	42	41	97.62
sooo1254	Sô	Austroasiatic	Eurasia	176	76	74	97.37
sapu1248	Sapuan	Austroasiatic	Eurasia	152	73	71	97.26
buga1247	Bugan	Austroasiatic	Eurasia	190	81	78	96.3
keoo1238	Kéo	Austronesian	Papunesia	187	80	77	96.25
huuu1240	Hu	Austroasiatic	Eurasia	175	76	73	96.05
kuyy1240	Kuy	Austroasiatic	Eurasia	174	74	71	95.95
lave1249	Brao	Austroasiatic	Eurasia	122	66	63	95.45
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	79	75	94.94
phai1238	Prai	Austroasiatic	Eurasia	186	78	74	94.87
west2397	Western Bru	Austroasiatic	Eurasia	157	76	72	94.74
bahn1262	Bahnar	Austroasiatic	Eurasia	117	56	53	94.64
shee1238	She	Hmong-Mien	Eurasia	162	73	69	94.52
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	73	69	94.52
paco1243	Pacoh	Austroasiatic	Eurasia	188	81	76	93.83
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	80	75	93.75
piji1239	Pijin	Indo-European	Papunesia	154	64	60	93.75
moke1242	Moken	Austronesian	Eurasia	171	78	73	93.59
mang1378	Mang	Austroasiatic	Eurasia	158	75	70	93.33
khmu1256	Khmu	Austroasiatic	Eurasia	167	74	69	93.24
east2485	Eastern Penan	Austronesian	Papunesia	147	56	52	92.86
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	14	13	92.86
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	69	64	92.75
aheu1239	Thavung	Austroasiatic	Eurasia	192	82	76	92.68
mokl1243	Moklen	Austronesian	Eurasia	181	82	76	92.68
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	82	76	92.68
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	82	76	92.68
west2564	West Berawan	Austronesian	Papunesia	83	41	38	92.68
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	81	75	92.59
tetu1246	Tetun Dili	Austronesian	Papunesia	183	81	75	92.59
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	80	74	92.5
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	80	74	92.5
