Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	6	6	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	20	86.96
iatm1242	Iatmul	Ndu	Papunesia	191	160	137	85.62
beel1236	Beele	Afro-Asiatic	Africa	52	49	41	83.67
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	91	74	81.32
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	150	121	80.67
tsam1247	Tsamai	Afro-Asiatic	Africa	185	151	121	80.13
waor1240	Waorani		South America	150	130	104	80
yess1239	Yessan-Mayo	Sepik	Papunesia	92	85	67	78.82
mill1237	Millcayac	Huarpean	South America	122	110	86	78.18
nucl1632	Sentani	Sentanic	Papunesia	143	118	92	77.97
muth1236	Muthuvan	Dravidian	Eurasia	143	122	95	77.87
kafa1242	Kafa	Ta-Ne-Omotic	Africa	167	140	109	77.86
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	158	123	77.85
male1284	Male (Ethiopia)	Ta-Ne-Omotic	Africa	182	157	122	77.71
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	112	87	77.68
nkor1239	Nkoroo	Ijoid	Africa	54	40	31	77.5
geru1240	Geruma	Afro-Asiatic	Africa	66	62	48	77.42
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	132	102	77.27
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	88	68	77.27
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	118	91	77.12
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	96	74	77.08
bond1245	Bondo	Austroasiatic	Eurasia	152	122	94	77.05
moun1252	Mountain Koiali	Koiarian	Papunesia	168	148	114	77.03
bord1248	Border Kuna	Chibchan	South America	162	130	100	76.92
aton1241	Atong (India)	Sino-Tibetan	Eurasia	194	160	123	76.88
mudu1239	Muduga	Dravidian	Eurasia	161	138	106	76.81
ambu1247	Ambulas	Ndu	Papunesia	91	86	66	76.74
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	133	102	76.69
cata1286	Catawba	Siouan	North America	125	111	85	76.58
