Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	8	8	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	6	6	100
bana1288	Banao Itneg	Austronesian	Papunesia	24	16	14	87.5
twan1247	Twana	Salishan	North America	87	50	43	86
bera1262	Berau Malay	Austronesian	Papunesia	11	7	6	85.71
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	40	33	82.5
papa1238	Papantla Totonac	Totonacan	North America	128	73	59	80.82
tagb1258	Tagbanwa	Austronesian	Papunesia	42	36	29	80.56
anua1242	Anuak	Nilotic	Africa	71	55	44	80
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	15	12	80
boli1256	Bolinao	Austronesian	Papunesia	60	44	35	79.55
guat1253	Guató		South America	127	70	55	78.57
marg1265	Marghi Central	Afro-Asiatic	Africa	184	96	75	78.12
sooo1256	Soo	Kuliak	Africa	82	68	53	77.94
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	54	42	77.78
moro1287	Moronene	Austronesian	Papunesia	106	58	45	77.59
umot1240	Umotína	Bororoan	South America	73	40	31	77.5
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	90	69	76.67
tima1241	Tima	Katla-Tima	Africa	61	47	36	76.6
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	46	35	76.09
gada1258	Ga'dang	Austronesian	Papunesia	70	41	31	75.61
bela1256	Belanda Bor	Nilotic	Africa	76	65	49	75.38
kolb1240	Kolbila	Atlantic-Congo	Africa	178	89	67	75.28
moch1257	Mocho	Mayan	North America	163	80	60	75
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	72	54	75
bara1369	Bara Malagasy	Austronesian	Africa	126	67	50	74.63
lama1288	Lamang	Afro-Asiatic	Africa	143	82	61	74.39
yukp1241	Yukpa	Cariban	South America	106	62	46	74.19
mamb1294	Mambai	Atlantic-Congo	Africa	168	85	63	74.12
natu1246	Natügu	Austronesian	Papunesia	96	54	40	74.07
simb1256	Simbo	Austronesian	Papunesia	95	50	37	74
high1243	Highland Totonac	Totonacan	North America	120	57	42	73.68
sier1248	Sierra Negra Nahuatl	Uto-Aztecan	North America	145	76	56	73.68
nort2994	Northern Roglai	Austronesian	Eurasia	90	53	39	73.58
gida1247	Gidar	Afro-Asiatic	Africa	80	71	52	73.24
uduk1239	Uduk	Koman	Africa	135	97	71	73.2
bant1288	Bantoanon	Austronesian	Papunesia	124	67	49	73.13
pipi1250	Pipil	Uto-Aztecan	North America	170	93	68	73.12
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	78	57	73.08
tekt1235	Tektiteko	Mayan	North America	170	89	65	73.03
yana1271	Yana		North America	91	55	40	72.73
mori1269	Mori Atas	Austronesian	Papunesia	105	62	45	72.58
bala1311	Balangingi	Austronesian	Papunesia	153	80	58	72.5
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	69	50	72.46
iwal1237	Iwal	Austronesian	Papunesia	134	76	55	72.37
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	65	47	72.31
maya1285	Mayangna	Misumalpan	North America	153	83	60	72.29
temo1245	Temoaya Otomi	Otomanguean	North America	146	79	57	72.15
mopa1243	Mopán Maya	Mayan	North America	166	86	62	72.09
tega1236	Tegali	Rashad	Africa	82	50	36	72
gaaa1245	Gaa	Atlantic-Congo	Africa	79	39	28	71.79
monz1249	Monzombo	Atlantic-Congo	Africa	119	78	56	71.79
gbay1278	Gbayi	Atlantic-Congo	Africa	58	46	33	71.74
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	53	38	71.7
elem1253	Eleme	Atlantic-Congo	Africa	140	81	58	71.6
sier1250	Sierra de Juárez Zapotec	Otomanguean	North America	162	81	58	71.6
gana1278	Ganai	Pama-Nyungan	Australia	53	28	20	71.43
clas1250	Classical Nahuatl	Uto-Aztecan	North America	185	94	67	71.28
epen1239	Epena	Chocoan	South America	157	94	67	71.28
iban1267	Ibanag	Austronesian	Papunesia	177	94	67	71.28
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	66	47	71.21
loma1260	Loma (Liberia)	Mande	Africa	90	59	42	71.19
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	90	64	71.11
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	76	54	71.05
gaam1241	Gaam	Eastern Jebel	Africa	83	69	49	71.01
tuge1241	Tugen	Nilotic	Africa	126	69	49	71.01
