Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	4	4	100
geme1244	Geme	Atlantic-Congo	Africa	6	3	3	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	1	1	100
tain1254	Taino	Arawakan	North America	4	1	1	100
miga1249	Migaama	Afro-Asiatic	Africa	104	44	38	86.36
ndam1251	Ndam	Afro-Asiatic	Africa	41	21	18	85.71
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	27	23	85.19
tula1252	Tula	Atlantic-Congo	Africa	167	60	50	83.33
mosi1247	Akie	Nilotic	Africa	167	59	49	83.05
iqui1243	Iquito	Zaparoan	South America	116	47	39	82.98
nzad1234	Nzadi	Atlantic-Congo	Africa	101	40	33	82.5
doma1260	Domaaki	Indo-European	Eurasia	144	57	47	82.46
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	34	28	82.35
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	60	49	81.67
alac1244	Alacatlatzala Mixtec	Otomanguean	North America	154	54	44	81.48
ukra1253	Ukrainian	Indo-European	Eurasia	171	59	48	81.36
papa1268	Papar	Austronesian	Papunesia	47	16	13	81.25
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	16	13	81.25
bekw1242	Bekwil	Atlantic-Congo	Africa	100	37	30	81.08
okoe1238	Oko-Eni-Osayen	Atlantic-Congo	Africa	102	37	30	81.08
akan1250	Akan	Atlantic-Congo	Africa	57	21	17	80.95
yawa1261	Yawalapití	Arawakan	South America	58	26	21	80.77
maba1270	Mabaale	Atlantic-Congo	Africa	118	51	41	80.39
noon1243	Noone	Atlantic-Congo	Africa	172	61	49	80.33
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	30	24	80
baba1266	Babanki	Atlantic-Congo	Africa	159	59	47	79.66
siwu1238	Siwu	Atlantic-Congo	Africa	87	34	27	79.41
giiw1236	Giiwo	Afro-Asiatic	Africa	70	24	19	79.17
waja1259	Waja	Atlantic-Congo	Africa	133	48	38	79.17
icel1247	Icelandic	Indo-European	Eurasia	184	57	45	78.95
mend1266	Mende (Sierra Leone)	Mande	Africa	80	38	30	78.95
sida1246	Sidamo	Afro-Asiatic	Africa	104	37	29	78.38
