Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	23	22	95.65
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	93	88	94.62
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	97	90	92.78
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	92	84	91.3
shee1238	She	Hmong-Mien	Eurasia	162	89	81	91.01
lave1249	Brao	Austroasiatic	Eurasia	122	65	59	90.77
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	85	77	90.59
lach1248	Lachi	Tai-Kadai	Eurasia	167	89	80	89.89
bahn1262	Bahnar	Austroasiatic	Eurasia	117	59	53	89.83
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	97	87	89.69
laoo1244	Lao	Tai-Kadai	Eurasia	99	97	87	89.69
beli1260	Belize Kriol English	Indo-European	North America	130	77	69	89.61
yinc1238	Yinchia	Austroasiatic	Eurasia	65	38	34	89.47
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	94	84	89.36
uuuu1243	U	Austroasiatic	Eurasia	139	81	72	88.89
phak1238	Phake	Tai-Kadai	Eurasia	101	98	87	88.78
thai1261	Thai	Tai-Kadai	Eurasia	101	98	87	88.78
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	97	86	88.66
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	95	84	88.42
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	34	30	88.24
jara1266	Jarai	Austronesian	Eurasia	156	83	73	87.95
maon1241	Maonan	Tai-Kadai	Eurasia	94	91	80	87.91
aheu1239	Thavung	Austroasiatic	Eurasia	192	99	87	87.88
aito1238	Aiton	Tai-Kadai	Eurasia	102	99	87	87.88
huuu1240	Hu	Austroasiatic	Eurasia	175	90	79	87.78
kuyy1240	Kuy	Austroasiatic	Eurasia	174	89	78	87.64
biha1246	Bih	Austronesian	Eurasia	182	97	85	87.63
haro1237	Haroi	Austronesian	Eurasia	95	56	49	87.5
azha1235	Azha	Sino-Tibetan	Eurasia	151	78	68	87.18
tsat1238	Tsat	Austronesian	Eurasia	183	92	80	86.96
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	99	86	86.87
baba1267	Baba Malay	Austronesian	Eurasia	191	98	85	86.73
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	98	85	86.73
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	98	85	86.73
aoua1234	A'ou	Tai-Kadai	Eurasia	187	97	84	86.6
rade1240	Rade	Austronesian	Eurasia	167	89	77	86.52
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	96	83	86.46
east2485	Eastern Penan	Austronesian	Papunesia	147	81	70	86.42
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	95	82	86.32
hani1248	Hani	Sino-Tibetan	Eurasia	186	95	82	86.32
phai1238	Prai	Austroasiatic	Eurasia	186	95	82	86.32
east2332	Eastern Bru	Austroasiatic	Eurasia	134	73	63	86.3
chra1242	Chrau	Austroasiatic	Eurasia	166	87	75	86.21
berb1259	Berbice Creole Dutch	Indo-European	South America	170	93	80	86.02
mokl1243	Moklen	Austronesian	Eurasia	181	93	80	86.02
west2396	Western Lawa	Austroasiatic	Eurasia	190	99	85	85.86
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	91	78	85.71
cent2314	Central Chong	Austroasiatic	Eurasia	187	98	84	85.71
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	98	84	85.71
khmu1256	Khmu	Austroasiatic	Eurasia	167	91	78	85.71
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	98	84	85.71
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	98	84	85.71
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	97	83	85.57
waim1252	Waima'a	Austronesian	Papunesia	144	76	65	85.53
cent1992	Central Mnong	Austroasiatic	Eurasia	190	96	82	85.42
lave1248	Laven	Austroasiatic	Eurasia	180	96	82	85.42
blan1242	Blang	Austroasiatic	Eurasia	159	82	70	85.37
manm1238	Man Met	Austroasiatic	Eurasia	150	82	70	85.37
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	88	75	85.23
hung1275	Hung	Austroasiatic	Eurasia	142	88	75	85.23
jama1262	Jamaican Creole English	Indo-European	North America	157	88	75	85.23
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	88	75	85.23
noku1237	Nokuku	Austronesian	Papunesia	156	81	69	85.19
keoo1238	Kéo	Austronesian	Papunesia	187	94	80	85.11
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	94	80	85.11
para1301	South Wa	Austroasiatic	Eurasia	185	94	80	85.11
west2650	Western Cham	Austronesian	Eurasia	151	80	68	85
khan1274	Kháng	Austroasiatic	Eurasia	168	93	79	84.95
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	93	79	84.95
sana1297	San Andres Creole English	Indo-European	North America	168	93	79	84.95
west2397	Western Bru	Austroasiatic	Eurasia	157	73	62	84.93
moke1242	Moken	Austronesian	Eurasia	171	92	78	84.78
naue1237	Nauete	Austronesian	Papunesia	183	92	78	84.78
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	72	61	84.72
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	98	83	84.69
boly1239	Bolyu	Austroasiatic	Eurasia	166	91	77	84.62
buga1247	Bugan	Austroasiatic	Eurasia	190	97	82	84.54
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	97	82	84.54
enuu1235	Enu	Sino-Tibetan	Eurasia	193	97	82	84.54
ndog1248	Ndogo	Atlantic-Congo	Africa	177	90	76	84.44
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	77	65	84.42
paco1243	Pacoh	Austroasiatic	Eurasia	188	96	81	84.38
viet1252	Vietnamese	Austroasiatic	Eurasia	140	70	59	84.29
sooo1254	Sô	Austroasiatic	Eurasia	176	89	75	84.27
maru1249	Maru	Sino-Tibetan	Eurasia	191	95	80	84.21
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	57	48	84.21
seda1262	Sedang	Austroasiatic	Eurasia	178	88	74	84.09
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	94	79	84.04
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	94	79	84.04
ahom1240	Ahom	Tai-Kadai	Eurasia	178	93	78	83.87
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	99	83	83.84
pela1242	Pela	Sino-Tibetan	Eurasia	194	99	83	83.84
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	99	83	83.84
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	80	67	83.75
hala1252	Halang	Austroasiatic	Eurasia	82	43	36	83.72
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	92	77	83.7
leme1238	Lemerig	Austronesian	Papunesia	164	92	77	83.7
louu1245	Lou	Austronesian	Papunesia	176	92	77	83.7
gobu1238	Gobu	Atlantic-Congo	Africa	141	79	66	83.54
yong1270	Narua	Sino-Tibetan	Eurasia	160	85	71	83.53
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	84	70	83.33
ngul1236	Nguluwan	Austronesian	Papunesia	56	30	25	83.33
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	89	74	83.15
bitt1240	Bit	Austroasiatic	Eurasia	153	83	69	83.13
sapu1248	Sapuan	Austroasiatic	Eurasia	152	83	69	83.13
kimm1246	Kim	Atlantic-Congo	Africa	129	77	64	83.12
bang1369	Bangru	Sino-Tibetan	Eurasia	151	71	59	83.1
saba1263	Sabah Malay	Austronesian	Papunesia	182	94	78	82.98
east2563	Eastern Cham	Austronesian	Eurasia	92	88	73	82.95
lara1260	Larantuka Malay	Austronesian	Papunesia	169	88	73	82.95
nica1252	Nicaragua Creole English	Indo-European	North America	157	88	73	82.95
mort1237	Mortlockese	Austronesian	Papunesia	141	82	68	82.93
naro1251	Narom	Austronesian	Papunesia	132	76	63	82.89
fonn1241	Fon	Atlantic-Congo	Africa	189	99	82	82.83
bekw1242	Bekwil	Atlantic-Congo	Africa	100	58	48	82.76
oldm1242	Old Mon	Austroasiatic	Eurasia	171	87	72	82.76
piji1239	Pijin	Indo-European	Papunesia	154	87	72	82.76
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	58	48	82.76
golo1234	Golo	Atlantic-Congo	Africa	82	46	38	82.61
kupa1239	Kupang Malay	Austronesian	Papunesia	168	90	74	82.22
