Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tsat1238	Tsat	Austronesian	Eurasia	183	158	143	90.51
azha1235	Azha	Sino-Tibetan	Eurasia	151	140	126	90
enuu1235	Enu	Sino-Tibetan	Eurasia	193	164	147	89.63
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	164	144	87.8
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	147	129	87.76
hani1248	Hani	Sino-Tibetan	Eurasia	186	160	140	87.5
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	136	119	87.5
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	149	130	87.25
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	122	106	86.89
sapu1248	Sapuan	Austroasiatic	Eurasia	152	143	124	86.71
uuuu1243	U	Austroasiatic	Eurasia	139	126	109	86.51
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	162	140	86.42
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	161	139	86.34
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	139	120	86.33
shee1238	She	Hmong-Mien	Eurasia	162	146	126	86.3
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	160	138	86.25
cent2314	Central Chong	Austroasiatic	Eurasia	187	159	137	86.16
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	137	118	86.13
sani1269	Sani	Sino-Tibetan	Eurasia	168	151	130	86.09
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	129	111	86.05
hala1252	Halang	Austroasiatic	Eurasia	82	78	67	85.9
ahom1240	Ahom	Tai-Kadai	Eurasia	178	154	132	85.71
lave1249	Brao	Austroasiatic	Eurasia	122	112	96	85.71
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	48	85.71
naro1251	Narom	Austronesian	Papunesia	132	125	107	85.6
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	104	89	85.58
west2417	Western Muya	Sino-Tibetan	Eurasia	112	104	89	85.58
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	159	136	85.53
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	159	136	85.53
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	159	136	85.53
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	164	140	85.37
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	164	140	85.37
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	163	139	85.28
bang1369	Bangru	Sino-Tibetan	Eurasia	151	129	110	85.27
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	156	133	85.26
lach1248	Lachi	Tai-Kadai	Eurasia	167	155	132	85.16
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	141	120	85.11
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	161	137	85.09
buga1247	Bugan	Austroasiatic	Eurasia	190	161	137	85.09
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	154	131	85.06
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	154	131	85.06
phai1238	Prai	Austroasiatic	Eurasia	186	160	136	85
huuu1240	Hu	Austroasiatic	Eurasia	175	153	130	84.97
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	157	133	84.71
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	137	116	84.67
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	163	138	84.66
tang1334	Tangut	Sino-Tibetan	Eurasia	151	130	110	84.62
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	156	132	84.62
maru1249	Maru	Sino-Tibetan	Eurasia	191	162	137	84.57
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	142	120	84.51
kens1248	Kensiu	Austroasiatic	Eurasia	164	141	119	84.4
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	159	134	84.28
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	145	122	84.14
east2485	Eastern Penan	Austronesian	Papunesia	147	131	110	83.97
baba1267	Baba Malay	Austronesian	Eurasia	191	162	136	83.95
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	149	125	83.89
bara1370	Baram Kayan	Austronesian	Papunesia	143	136	114	83.82
oldm1242	Old Mon	Austroasiatic	Eurasia	171	148	124	83.78
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	46	83.64
pela1242	Pela	Sino-Tibetan	Eurasia	194	165	138	83.64
lara1260	Larantuka Malay	Austronesian	Papunesia	169	152	127	83.55
kupa1239	Kupang Malay	Austronesian	Papunesia	168	151	126	83.44
kuyy1240	Kuy	Austroasiatic	Eurasia	174	151	126	83.44
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	162	135	83.33
kara1499	Kalamang	West Bomberai	Papunesia	99	96	80	83.33
lave1248	Laven	Austroasiatic	Eurasia	180	156	130	83.33
mokl1243	Moklen	Austronesian	Eurasia	181	156	130	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
rade1240	Rade	Austronesian	Eurasia	167	149	124	83.22
lash1243	Lashi	Sino-Tibetan	Eurasia	188	160	133	83.12
saba1263	Sabah Malay	Austronesian	Papunesia	182	160	133	83.12
