Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
tean1237	Teanu	Austronesian	Papunesia	147	126	117	92.86
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	63	92.65
labu1248	Labu	Austronesian	Papunesia	154	133	121	90.98
tane1237	Tanema	Austronesian	Papunesia	154	134	121	90.3
vano1237	Lovono	Austronesian	Papunesia	146	126	112	88.89
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	111	98	88.29
karn1252	Karnai	Austronesian	Papunesia	142	119	105	88.24
lamo1244	Lamogai	Austronesian	Papunesia	135	119	105	88.24
tuml1238	Tumleo	Austronesian	Papunesia	103	93	82	88.17
mani1235	Sougb	East Bird's Head	Papunesia	122	105	92	87.62
hata1243	Hatam	Hatam-Mansim	Papunesia	96	79	69	87.34
yabe1254	Yabem	Austronesian	Papunesia	95	78	68	87.18
adze1240	Adzera	Austronesian	Papunesia	158	129	112	86.82
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	128	111	86.72
alor1247	Alorese	Austronesian	Papunesia	168	141	122	86.52
adon1237	Adonara	Austronesian	Papunesia	165	140	121	86.43
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	132	114	86.36
labo1244	Ninde	Austronesian	Papunesia	122	108	93	86.11
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	127	109	85.83
gaaa1245	Gaa	Atlantic-Congo	Africa	79	77	66	85.71
west2650	Western Cham	Austronesian	Eurasia	151	132	113	85.61
kair1263	Kairiru	Austronesian	Papunesia	73	62	53	85.48
haro1237	Haroi	Austronesian	Eurasia	95	82	70	85.37
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	116	99	85.34
bolg1251	Bolgo	Atlantic-Congo	Africa	78	75	64	85.33
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	122	104	85.25
leme1238	Lemerig	Austronesian	Papunesia	164	142	121	85.21
matb1237	Matbat	Austronesian	Papunesia	154	135	115	85.19
amar1272	Amara	Austronesian	Papunesia	148	128	109	85.16
midd1327	Middle Watut	Austronesian	Papunesia	140	120	102	85
phai1238	Prai	Austroasiatic	Eurasia	186	153	130	84.97
kimm1246	Kim	Atlantic-Congo	Africa	129	113	96	84.96
arop1243	Arop-Lokep	Austronesian	Papunesia	161	132	112	84.85
gese1240	Geser-Gorom	Austronesian	Papunesia	69	66	56	84.85
west2600	West Makian	North Halmahera	Papunesia	151	132	112	84.85
lote1237	Lote	Austronesian	Papunesia	178	145	123	84.83
meya1236	Meyah	East Bird's Head	Papunesia	96	79	67	84.81
uuuu1243	U	Austroasiatic	Eurasia	139	118	100	84.75
muso1238	Musom	Austronesian	Papunesia	150	124	105	84.68
akei1237	Akei	Austronesian	Papunesia	122	117	99	84.62
whit1269	Whitesands	Austronesian	Papunesia	167	143	121	84.62
kuyy1240	Kuy	Austroasiatic	Eurasia	174	149	126	84.56
sout2896	Eastern Atadei	Austronesian	Papunesia	116	103	87	84.47
waro1242	Waropen	Austronesian	Papunesia	137	122	103	84.43
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	121	102	84.3
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	114	96	84.21
woii1237	Woi	Austronesian	Papunesia	191	158	133	84.18
mapo1242	Mapos Buang	Austronesian	Papunesia	173	145	122	84.14
sioo1240	Sio	Austronesian	Papunesia	175	145	122	84.14
kaba1281	Kaba	Central Sudanic	Africa	166	137	115	83.94
kren1239	Krenak	Nuclear-Macro-Je	South America	111	99	83	83.84
waig1244	Waigeo	Austronesian	Papunesia	176	148	124	83.78
tita1241	Titan	Austronesian	Papunesia	173	154	129	83.77
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	141	118	83.69
pate1247	Patep	Austronesian	Papunesia	142	116	97	83.62
jurm1239	Jur Modo	Central Sudanic	Africa	159	134	112	83.58
reng1252	Rengao	Austroasiatic	Eurasia	172	146	122	83.56
lewo1244	Lewotobi	Austronesian	Papunesia	189	158	132	83.54
anem1249	Anem		Papunesia	91	78	65	83.33
hung1275	Hung	Austroasiatic	Eurasia	142	120	100	83.33
aree1239	Are	Austronesian	Papunesia	157	137	114	83.21
blan1242	Blang	Austroasiatic	Eurasia	159	137	114	83.21
iwal1237	Iwal	Austronesian	Papunesia	134	113	94	83.19
biak1248	Biak	Austronesian	Papunesia	100	83	69	83.13
ngam1268	Ngambay	Central Sudanic	Africa	156	130	108	83.08
mpur1239	Mpur		Papunesia	185	153	127	83.01
mban1263	Mbandja	Atlantic-Congo	Africa	162	135	112	82.96
meng1267	Mengen	Austronesian	Papunesia	98	82	68	82.93
kaul1240	Kaulong	Austronesian	Papunesia	90	76	63	82.89
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	140	116	82.86
yinc1238	Yinchia	Austroasiatic	Eurasia	65	58	48	82.76
tido1248	Tidore	North Halmahera	Papunesia	96	81	67	82.72
rade1240	Rade	Austronesian	Eurasia	167	144	119	82.64
ware1253	Warembori	Austronesian	Papunesia	170	144	119	82.64
nati1244	Nati	Austronesian	Papunesia	127	109	90	82.57
malu1245	Malua Bay	Austronesian	Papunesia	173	143	118	82.52
iama1237	Iamalele	Austronesian	Papunesia	107	97	80	82.47
kove1237	Kove	Austronesian	Papunesia	180	148	122	82.43
sapu1248	Sapuan	Austroasiatic	Eurasia	152	136	112	82.35
