Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
achu1248	Achuar-Shiwiar	Chicham	South America	183	171	145	84.8
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	60	84.51
siaw1243	Siawi	Amto-Musan	Papunesia	123	111	93	83.78
yawa1260	Yawanawa	Pano-Tacanan	South America	148	139	116	83.45
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
yora1241	Yora	Pano-Tacanan	South America	129	127	105	82.68
yami1256	Yaminahua	Pano-Tacanan	South America	182	167	138	82.63
shua1257	Shuar	Chicham	South America	147	137	113	82.48
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	101	83	82.18
paez1247	Páez		South America	45	39	32	82.05
goro1270	Gorowa	Afro-Asiatic	Africa	13	11	9	81.82
aika1237	Aikanã		South America	90	82	67	81.71
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	76	61	80.26
mill1237	Millcayac	Huarpean	South America	122	111	89	80.18
agua1253	Aguaruna	Chicham	South America	170	160	128	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	5	4	80
cald1236	Calderón Highland Quichua	Quechuan	South America	155	144	115	79.86
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	94	75	79.79
ndom1245	Ndom	Kolopom	Papunesia	74	74	59	79.73
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	113	90	79.65
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	136	108	79.41
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	154	122	79.22
amah1246	Amahuaca	Pano-Tacanan	South America	153	143	113	79.02
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	55	43	78.18
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	32	78.05
isco1239	Isconahua	Pano-Tacanan	South America	192	177	138	77.97
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	136	106	77.94
kara1499	Kalamang	West Bomberai	Papunesia	99	94	73	77.66
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	156	121	77.56
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	142	110	77.46
umes1235	Ume Saami	Uralic	Eurasia	183	168	130	77.38
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	163	126	77.3
orok1265	Orok	Tungusic	Eurasia	151	141	109	77.3
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	132	102	77.27
mats1244	Matsés	Pano-Tacanan	South America	174	162	125	77.16
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	157	121	77.07
sanm1289	San Martín Quechua	Quechuan	South America	171	157	121	77.07
guam1248	Guambiano	Barbacoan	South America	127	122	94	77.05
sout2996	Southern Aymara	Aymaran	South America	186	174	134	77.01
bada1257	Badaga	Dravidian	Eurasia	127	126	97	76.98
nyun1247	Nyunga	Pama-Nyungan	Australia	26	26	20	76.92
mika1239	Mikasuki	Muskogean	North America	147	134	103	76.87
yana1271	Yana		North America	91	82	63	76.83
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	151	116	76.82
cusc1236	Cusco Quechua	Quechuan	South America	167	155	119	76.77
capa1241	Capanahua	Pano-Tacanan	South America	171	159	122	76.73
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	137	105	76.64
nort2980	North Junín Quechua	Quechuan	South America	175	162	124	76.54
