Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
gbay1278	Gbayi	Atlantic-Congo	Africa	58	46	41	89.13
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
basa1287	Basay	Austronesian	Papunesia	106	91	79	86.81
monz1249	Monzombo	Atlantic-Congo	Africa	119	97	84	86.6
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	119	103	86.55
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	86	74	86.05
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	7	6	85.71
kaur1267	Kaurna	Pama-Nyungan	Australia	48	42	36	85.71
jiba1237	Jiba	Atlantic-Congo	Africa	120	104	88	84.62
mamb1294	Mambai	Atlantic-Congo	Africa	168	134	113	84.33
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	127	107	84.25
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	131	110	83.97
nubi1253	Nubi	Afro-Asiatic	Africa	168	130	109	83.85
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
malg1251	Malgwa	Afro-Asiatic	Africa	171	137	114	83.21
bert1248	Berta		Africa	119	113	94	83.19
mund1326	Mündü	Atlantic-Congo	Africa	120	107	89	83.18
kara1499	Kalamang	West Bomberai	Papunesia	99	89	74	83.15
mban1263	Mbandja	Atlantic-Congo	Africa	162	141	117	82.98
magu1243	Maguindanao	Austronesian	Papunesia	129	111	92	82.88
maee1241	Tirax	Austronesian	Papunesia	188	151	125	82.78
molo1266	Moloko	Afro-Asiatic	Africa	109	87	72	82.76
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	52	43	82.69
para1311	Paraguayan Guaraní	Tupian	South America	54	46	38	82.61
sout2782	South Fali	Atlantic-Congo	Africa	177	138	114	82.61
njan1240	Njanga	Atlantic-Congo	Africa	192	149	123	82.55
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	114	94	82.46
glav1244	Glavda	Afro-Asiatic	Africa	149	131	108	82.44
lagw1237	Lagwan	Afro-Asiatic	Africa	164	131	108	82.44
dard1243	Dar Daju Daju	Dajuic	Africa	93	91	75	82.42
sooo1256	Soo	Kuliak	Africa	82	68	56	82.35
humb1243	Humburi Senni Songhay	Songhay	Africa	167	130	107	82.31
stan1306	Standard Malay	Austronesian	Eurasia	190	147	121	82.31
ping1243	Pingelapese	Austronesian	Papunesia	152	124	102	82.26
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	118	97	82.2
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	129	106	82.17
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	122	100	81.97
