Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	37	34	91.89
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	16	88.89
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	94	80	85.11
fasu1242	Fasu		Papunesia	120	101	85	84.16
gana1278	Ganai	Pama-Nyungan	Australia	53	50	42	84
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	105	88	83.81
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	122	101	82.79
kara1499	Kalamang	West Bomberai	Papunesia	99	81	67	82.72
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	104	86	82.69
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	46	38	82.61
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	68	56	82.35
west2599	West Kewa	Nuclear Trans New Guinea	Papunesia	102	73	60	82.19
ndom1245	Ndom	Kolopom	Papunesia	74	66	54	81.82
thur1254	Thurawal	Pama-Nyungan	Australia	86	71	58	81.69
capa1241	Capanahua	Pano-Tacanan	South America	171	119	97	81.51
embe1260	Emberá-Catío	Chocoan	South America	164	107	87	81.31
kalu1248	Kaluli	Bosavi	Papunesia	96	69	56	81.16
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	95	77	81.05
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	68	55	80.88
bert1248	Berta		Africa	119	93	75	80.65
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	67	54	80.6
meny1245	Menya	Angan	Papunesia	96	67	54	80.6
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	113	91	80.53
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	87	70	80.46
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	112	90	80.36
suru1262	Suruí	Tupian	South America	18	15	12	80
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	118	94	79.66
limb1266	Limbu	Sino-Tibetan	Eurasia	140	98	78	79.59
mala1522	Malayo	Chibchan	South America	157	107	85	79.44
ango1257	Angosturas Tunebo	Chibchan	South America	136	102	81	79.41
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	63	50	79.37
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	101	80	79.21
kork1243	Korku	Austroasiatic	Eurasia	133	90	71	78.89
khal1275	Khaling	Sino-Tibetan	Eurasia	168	118	93	78.81
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	66	52	78.79
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	113	89	78.76
eude1234	Eudeve	Uto-Aztecan	North America	153	108	85	78.7
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	108	85	78.7
hrus1242	Hruso		Eurasia	89	75	59	78.67
esee1247	Ese	Koiarian	Papunesia	75	56	44	78.57
wanm1242	Wanman	Pama-Nyungan	Australia	132	98	77	78.57
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	84	66	78.57
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	121	95	78.51
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	111	87	78.38
kaur1267	Kaurna	Pama-Nyungan	Australia	48	37	29	78.38
maku1277	Maku'a	Austronesian	Papunesia	29	23	18	78.26
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	92	72	78.26
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	124	97	78.23
benc1235	Bench	Ta-Ne-Omotic	Africa	82	64	50	78.12
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	82	64	78.05
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	59	46	77.97
ambu1247	Ambulas	Ndu	Papunesia	91	68	53	77.94
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	68	53	77.94
amah1246	Amahuaca	Pano-Tacanan	South America	153	108	84	77.78
mats1244	Matsés	Pano-Tacanan	South America	174	126	98	77.78
nati1243	Natioro	Atlantic-Congo	Africa	51	45	35	77.78
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	67	52	77.61
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	67	52	77.61
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	116	90	77.59
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	107	83	77.57
mill1237	Millcayac	Huarpean	South America	122	98	76	77.55
pech1241	Pech	Chibchan	North America	144	98	76	77.55
gura1251	Gurani	Indo-European	Eurasia	128	97	75	77.32
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	119	92	77.31
west2417	Western Muya	Sino-Tibetan	Eurasia	112	88	68	77.27
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	105	81	77.14
orok1265	Orok	Tungusic	Eurasia	151	105	81	77.14
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	61	47	77.05
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	74	57	77.03
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	87	67	77.01
