Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	30	25	83.33
komi1269	Komi-Permyak	Uralic	Eurasia	181	179	149	83.24
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	84	69	82.14
moch1259	Mochica		South America	139	134	109	81.34
komi1268	Komi-Zyrian	Uralic	Eurasia	186	181	146	80.66
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	76	61	80.26
turk1303	Turkic Khalaj	Turkic	Eurasia	171	166	133	80.12
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	55	44	80
alse1251	Alsea-Yaquina		North America	149	144	114	79.17
tuvi1240	Tuvinian	Turkic	Eurasia	154	152	120	78.95
ingr1248	Ingrian	Uralic	Eurasia	195	189	149	78.84
brah1256	Brahui	Dravidian	Eurasia	151	148	116	78.38
pras1239	Prasun	Indo-European	Eurasia	93	92	72	78.26
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	147	115	78.23
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	151	118	78.15
even1259	Evenki	Tungusic	Eurasia	158	155	121	78.06
maga1260	Magahi	Indo-European	Eurasia	136	131	102	77.86
moks1248	Moksha	Uralic	Eurasia	195	189	147	77.78
negi1245	Negidal	Tungusic	Eurasia	160	157	122	77.71
nara1262	Nara		Africa	132	129	100	77.52
cald1236	Calderón Highland Quichua	Quechuan	South America	155	151	117	77.48
esto1258	Estonian	Uralic	Eurasia	195	189	146	77.25
finn1318	Finnish	Uralic	Eurasia	195	189	146	77.25
erzy1239	Erzya	Uralic	Eurasia	190	184	142	77.17
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	122	94	77.05
raji1240	Raji	Sino-Tibetan	Eurasia	153	148	114	77.03
ludi1246	Ludian	Uralic	Eurasia	192	187	144	77.01
skol1241	Skolt Saami	Uralic	Eurasia	192	186	143	76.88
etru1241	Etruscan		Eurasia	130	125	96	76.8
tata1255	Tatar	Turkic	Eurasia	176	172	132	76.74
bash1264	Bashkir	Turkic	Eurasia	161	159	122	76.73
livv1243	Livvi	Uralic	Eurasia	195	189	145	76.72
lule1254	Lule Saami	Uralic	Eurasia	195	189	145	76.72
puqu1242	Puquina		South America	118	116	89	76.72
iron1242	Iron Ossetian	Indo-European	Eurasia	172	167	128	76.65
uruu1244	Uru	Uru-Chipaya	South America	170	166	127	76.51
bada1257	Badaga	Dravidian	Eurasia	127	123	94	76.42
sanm1289	San Martín Quechua	Quechuan	South America	171	165	126	76.36
even1260	Even	Tungusic	Eurasia	141	139	106	76.26
ulch1241	Ulch	Tungusic	Eurasia	164	160	122	76.25
sout2674	South Saami	Uralic	Eurasia	195	189	144	76.19
cent2322	Central Mansi	Uralic	Eurasia	185	180	137	76.11
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	35	76.09
livv1244	Liv	Uralic	Eurasia	194	188	143	76.06
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	19	76
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	179	136	75.98
nort2697	North Azerbaijani	Turkic	Eurasia	188	183	139	75.96
dizi1235	Dizin	Dizoid	Africa	57	54	41	75.93
lazz1240	Laz	Kartvelian	Eurasia	171	166	126	75.9
gura1251	Gurani	Indo-European	Eurasia	128	123	93	75.61
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	172	130	75.58
lish1245	Lishanid Noshan	Afro-Asiatic	Eurasia	177	171	129	75.44
nort2690	Northern Uzbek	Turkic	Eurasia	193	187	141	75.4
zenz1235	Zenzontepec Chatino	Otomanguean	North America	134	130	98	75.38
juan1238	Juang	Austroasiatic	Eurasia	150	146	110	75.34
saur1249	Sauria Paharia	Dravidian	Eurasia	179	174	131	75.29
yukp1241	Yukpa	Cariban	South America	106	105	79	75.24
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	161	121	75.16
yaqu1251	Yaqui	Uto-Aztecan	North America	162	157	118	75.16
pite1240	Pite Saami	Uralic	Eurasia	195	189	142	75.13
