Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	175	171	97.71
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	169	164	97.04
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	174	168	96.55
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	171	165	96.49
hala1252	Halang	Austroasiatic	Eurasia	82	76	73	96.05
uuuu1243	U	Austroasiatic	Eurasia	139	126	121	96.03
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	174	167	95.98
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	170	163	95.88
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	172	164	95.35
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	61	95.31
shee1238	She	Hmong-Mien	Eurasia	162	153	145	94.77
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	175	164	93.71
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	175	164	93.71
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	154	144	93.51
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	168	157	93.45
mokl1243	Moklen	Austronesian	Eurasia	181	163	152	93.25
aheu1239	Thavung	Austroasiatic	Eurasia	192	173	161	93.06
buga1247	Bugan	Austroasiatic	Eurasia	190	172	160	93.02
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	69	64	92.75
chas1234	Chashan	Sino-Tibetan	Eurasia	169	156	144	92.31
haro1237	Haroi	Austronesian	Eurasia	95	90	83	92.22
tsat1238	Tsat	Austronesian	Eurasia	183	165	152	92.12
bang1369	Bangru	Sino-Tibetan	Eurasia	151	138	127	92.03
manm1238	Man Met	Austroasiatic	Eurasia	150	138	127	92.03
pela1242	Pela	Sino-Tibetan	Eurasia	194	174	160	91.95
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	173	159	91.91
lave1249	Brao	Austroasiatic	Eurasia	122	111	102	91.89
west2397	Western Bru	Austroasiatic	Eurasia	157	141	129	91.49
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	174	159	91.38
sapu1248	Sapuan	Austroasiatic	Eurasia	152	139	127	91.37
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	173	158	91.33
laoo1244	Lao	Tai-Kadai	Eurasia	99	91	83	91.21
kuyy1240	Kuy	Austroasiatic	Eurasia	174	159	145	91.19
paco1243	Pacoh	Austroasiatic	Eurasia	188	169	154	91.12
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	175	159	90.86
bitt1240	Bit	Austroasiatic	Eurasia	153	142	129	90.85
oldm1242	Old Mon	Austroasiatic	Eurasia	171	153	139	90.85
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	174	158	90.8
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	172	156	90.7
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	161	146	90.68
sooo1254	Sô	Austroasiatic	Eurasia	176	160	145	90.62
boly1239	Bolyu	Austroasiatic	Eurasia	166	149	135	90.6
west2650	Western Cham	Austronesian	Eurasia	151	138	125	90.58
hung1275	Hung	Austroasiatic	Eurasia	142	134	121	90.3
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	134	121	90.3
enuu1235	Enu	Sino-Tibetan	Eurasia	193	174	157	90.23
moke1242	Moken	Austronesian	Eurasia	171	153	138	90.2
wuch1236	Wu Chinese	Sino-Tibetan	Eurasia	192	173	156	90.17
