Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	61	95.31
haro1237	Haroi	Austronesian	Eurasia	95	91	85	93.41
east2485	Eastern Penan	Austronesian	Papunesia	147	145	134	92.41
east2332	Eastern Bru	Austroasiatic	Eurasia	134	132	120	90.91
keri1250	Kerinci	Austronesian	Papunesia	127	126	114	90.48
mala1479	Colloquial Malay	Austronesian	Eurasia	153	152	137	90.13
nort2994	Northern Roglai	Austronesian	Eurasia	90	90	81	90
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	135	121	89.63
tomb1244	Tombonuo	Austronesian	Papunesia	136	135	121	89.63
bara1370	Baram Kayan	Austronesian	Papunesia	143	142	127	89.44
sooo1254	Sô	Austroasiatic	Eurasia	176	169	151	89.35
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	74	66	89.19
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	49	89.09
piji1239	Pijin	Indo-European	Papunesia	154	151	134	88.74
lund1271	Lundayeh	Austronesian	Papunesia	141	140	124	88.57
naro1251	Narom	Austronesian	Papunesia	132	131	116	88.55
chra1242	Chrau	Austroasiatic	Eurasia	166	164	145	88.41
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	112	99	88.39
lave1249	Brao	Austroasiatic	Eurasia	122	120	106	88.33
hala1252	Halang	Austroasiatic	Eurasia	82	77	68	88.31
khmu1256	Khmu	Austroasiatic	Eurasia	167	162	143	88.27
uuuu1243	U	Austroasiatic	Eurasia	139	136	120	88.24
waim1252	Waima'a	Austronesian	Papunesia	144	142	125	88.03
buga1247	Bugan	Austroasiatic	Eurasia	190	183	161	87.98
stan1306	Standard Malay	Austronesian	Eurasia	190	183	161	87.98
west2564	West Berawan	Austronesian	Papunesia	83	83	73	87.95
lach1248	Lachi	Tai-Kadai	Eurasia	167	165	145	87.88
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	180	158	87.78
chek1238	Cheke Holo	Austronesian	Papunesia	167	163	143	87.73
lotu1250	Lotud	Austronesian	Papunesia	132	130	114	87.69
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	146	128	87.67
cari1276	Caribbean Javanese	Austronesian	South America	97	97	85	87.63
reng1252	Rengao	Austroasiatic	Eurasia	172	168	147	87.5
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	136	119	87.5
biha1246	Bih	Austronesian	Eurasia	182	175	153	87.43
jehh1245	Jeh	Austroasiatic	Eurasia	139	134	117	87.31
kaur1267	Kaurna	Pama-Nyungan	Australia	48	47	41	87.23
hyam1245	Hyam	Atlantic-Congo	Africa	93	93	81	87.1
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	136	118	86.76
oldm1242	Old Mon	Austroasiatic	Eurasia	171	166	144	86.75
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	143	124	86.71
beta1252	Betawi	Austronesian	Papunesia	170	165	143	86.67
