Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mill1237	Millcayac	Huarpean	South America	122	110	96	87.27
hrus1242	Hruso		Eurasia	89	85	74	87.06
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	75	65	86.67
ndom1245	Ndom	Kolopom	Papunesia	74	69	59	85.51
poya1241	Poyanáwa	Pano-Tacanan	South America	50	47	40	85.11
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	60	84.51
orok1265	Orok	Tungusic	Eurasia	151	126	106	84.13
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	100	84	84
mudu1239	Muduga	Dravidian	Eurasia	161	131	110	83.97
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	67	56	83.58
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	85	71	83.53
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	103	86	83.5
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	71	59	83.1
lule1238	Lule		South America	146	124	103	83.06
pawa1255	Pawaia		Papunesia	110	106	88	83.02
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	105	87	82.86
nort2952	Northeast Maidu	Maiduan	North America	161	132	109	82.58
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	142	117	82.39
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	129	106	82.17
nara1262	Nara		Africa	132	112	92	82.14
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	123	101	82.11
even1259	Evenki	Tungusic	Eurasia	158	127	104	81.89
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	127	104	81.89
tuvi1240	Tuvinian	Turkic	Eurasia	154	127	104	81.89
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	138	113	81.88
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	87	71	81.61
amah1246	Amahuaca	Pano-Tacanan	South America	153	125	102	81.6
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	65	53	81.54
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	27	22	81.48
tibe1274	Tibea	Atlantic-Congo	Africa	95	81	66	81.48
yaey1239	Yaeyama	Japonic	Eurasia	155	129	105	81.4
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	134	109	81.34
boru1252	Boruca	Chibchan	North America	117	101	82	81.19
garo1247	Garo	Sino-Tibetan	Eurasia	164	138	112	81.16
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	122	99	81.15
mala1463	Malavedan	Dravidian	Eurasia	163	132	107	81.06
toda1252	Toda	Dravidian	Eurasia	139	121	98	80.99
kalu1248	Kaluli	Bosavi	Papunesia	96	73	59	80.82
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	125	101	80.8
toto1302	Toto	Sino-Tibetan	Eurasia	155	125	101	80.8
siaw1243	Siawi	Amto-Musan	Papunesia	123	109	88	80.73
asur1254	Asuri	Austroasiatic	Eurasia	149	124	100	80.65
kada1242	Kadar	Dravidian	Eurasia	156	129	104	80.62
goli1247	Golin	Nuclear Trans New Guinea	Papunesia	88	67	54	80.6
nort2972	Northern Emberá	Chocoan	South America	167	134	108	80.6
take1257	Takelma		North America	173	134	108	80.6
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	103	83	80.58
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	72	58	80.56
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	144	116	80.56
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	149	120	80.54
korr1238	Korra Koraga	Dravidian	Eurasia	133	113	91	80.53
cata1286	Catawba	Siouan	North America	125	118	95	80.51
mido1240	Midob	Nubian	Africa	55	41	33	80.49
