Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tagb1258	Tagbanwa	Austronesian	Papunesia	42	35	31	88.57
ibal1244	Ibaloi	Austronesian	Papunesia	169	91	80	87.91
bera1262	Berau Malay	Austronesian	Papunesia	11	8	7	87.5
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	8	7	87.5
plat1254	Plateau Malagasy	Austronesian	Africa	89	86	75	87.21
tiru1241	Tiruray	Austronesian	Papunesia	145	68	59	86.76
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	29	25	86.21
lowe1412	Tanudan Kalinga	Austronesian	Papunesia	64	48	41	85.42
taga1270	Tagalog	Austronesian	Papunesia	101	94	80	85.11
bunu1267	Bunun	Austronesian	Papunesia	74	73	62	84.93
limo1248	Limos Kalinga	Austronesian	Papunesia	114	64	54	84.38
gana1278	Ganai	Pama-Nyungan	Australia	53	31	26	83.87
isin1239	Isinai	Austronesian	Papunesia	152	76	63	82.89
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	73	60	82.19
dupa1235	Dupaninan Agta	Austronesian	Papunesia	164	89	73	82.02
east2694	Eastern Subanen	Austronesian	Papunesia	109	55	45	81.82
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	70	57	81.43
kank1243	Kankanaey	Austronesian	Papunesia	180	86	70	81.4
iban1267	Ibanag	Austronesian	Papunesia	177	85	69	81.18
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	74	60	81.08
kima1244	Kimaragang	Austronesian	Papunesia	90	84	68	80.95
halk1245	Halkomelem	Salishan	North America	193	94	76	80.85
sout2976	Southeastern Tepehuan	Uto-Aztecan	North America	167	83	67	80.72
tsou1248	Tsou	Austronesian	Papunesia	99	92	74	80.43
twan1247	Twana	Salishan	North America	87	46	37	80.43
puyu1239	Puyuma	Austronesian	Papunesia	99	90	72	80
taga1272	Tagabawa	Austronesian	Papunesia	161	80	64	80
pang1290	Pangasinan	Austronesian	Papunesia	169	89	71	79.78
nort2877	Northern Kankanay	Austronesian	Papunesia	149	84	67	79.76
lill1248	Lillooet	Salishan	North America	190	93	74	79.57
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	86	68	79.07
agus1235	Agusan Manobo	Austronesian	Papunesia	103	57	45	78.95
boli1256	Bolinao	Austronesian	Papunesia	60	33	26	78.79
cent2087	Coastal-Naga Bikol	Austronesian	Papunesia	156	80	63	78.75
masb1238	Masbatenyo	Austronesian	Papunesia	172	84	66	78.57
ilon1239	Ilongot	Austronesian	Papunesia	145	69	54	78.26
kina1250	Kinaray-a	Austronesian	Papunesia	143	69	54	78.26
west2557	Western Subanon	Austronesian	Papunesia	175	87	68	78.16
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	68	53	77.94
taus1251	Tausug	Austronesian	Papunesia	179	86	67	77.91
ulit1238	Ulithian	Austronesian	Papunesia	177	86	67	77.91
caac1237	Caac	Austronesian	Papunesia	151	76	59	77.63
buol1237	Buol	Austronesian	Papunesia	117	67	52	77.61
simb1256	Simbo	Austronesian	Papunesia	95	49	38	77.55
cebu1242	Cebuano	Austronesian	Papunesia	84	80	62	77.5
moch1257	Mocho	Mayan	North America	163	84	65	77.38
mota1237	Mota	Austronesian	Papunesia	107	53	41	77.36
cemu1238	Cemuhî	Austronesian	Papunesia	180	88	68	77.27
hawa1245	Hawaiian	Austronesian	Papunesia	181	88	68	77.27
rovi1238	Roviana	Austronesian	Papunesia	161	83	64	77.11
