Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	33	80.49
voti1245	Votic	Uralic	Eurasia	169	165	129	78.18
ukra1253	Ukrainian	Indo-European	Eurasia	171	168	131	77.98
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	163	127	77.91
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	185	144	77.84
czec1258	Czech	Indo-European	Eurasia	191	185	142	76.76
plau1238	Plautdietsch	Indo-European	North America	178	175	134	76.57
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	138	105	76.09
icel1247	Icelandic	Indo-European	Eurasia	184	179	136	75.98
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	70	53	75.71
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	176	133	75.57
bana1288	Banao Itneg	Austronesian	Papunesia	24	24	18	75
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	176	132	75
nort2671	North Saami	Uralic	Eurasia	167	164	123	75
cors1241	Corsican	Indo-European	Eurasia	179	175	131	74.86
sici1248	Sicilian	Indo-European	Eurasia	179	175	131	74.86
west2354	Western Frisian	Indo-European	Eurasia	187	183	137	74.86
wels1247	Welsh	Indo-European	Eurasia	173	171	128	74.85
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	146	109	74.66
kash1277	Kashmiri	Indo-European	Eurasia	184	180	134	74.44
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	152	113	74.34
ludi1246	Ludian	Uralic	Eurasia	192	186	138	74.19
port1283	Portuguese	Indo-European	Eurasia	192	186	138	74.19
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	185	137	74.05
malt1254	Maltese	Afro-Asiatic	Eurasia	173	169	125	73.96
dard1243	Dar Daju Daju	Dajuic	Africa	93	92	68	73.91
lomb1257	Lombard	Indo-European	Eurasia	190	184	136	73.91
nort3139	North Levantine Arabic	Afro-Asiatic	Eurasia	163	161	119	73.91
veps1250	Veps	Uralic	Eurasia	188	184	136	73.91
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	157	116	73.89
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	176	130	73.86
dani1285	Danish	Indo-European	Eurasia	182	176	130	73.86
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	145	107	73.79
livv1243	Livvi	Uralic	Eurasia	195	189	139	73.54
pite1240	Pite Saami	Uralic	Eurasia	195	189	139	73.54
stan1293	English	Indo-European	Eurasia	195	189	139	73.54
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	151	111	73.51
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	147	108	73.47
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	143	105	73.43
faro1244	Faroese	Indo-European	Eurasia	194	188	138	73.4
livv1244	Liv	Uralic	Eurasia	194	188	138	73.4
cent1972	Central Kurdish	Indo-European	Eurasia	15	15	11	73.33
liby1240	Libyan Arabic	Afro-Asiatic	Africa	167	164	120	73.17
beel1236	Beele	Afro-Asiatic	Africa	52	52	38	73.08
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	63	46	73.02
stan1290	French	Indo-European	Eurasia	195	189	138	73.02
sana1295	Sanaani Arabic	Afro-Asiatic	Eurasia	163	159	116	72.96
dutc1256	Dutch	Indo-European	Eurasia	187	181	132	72.93
muth1236	Muthuvan	Dravidian	Eurasia	143	140	102	72.86
tari1263	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Afro-Asiatic	Africa	151	150	109	72.67
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	139	101	72.66
skol1241	Skolt Saami	Uralic	Eurasia	192	186	135	72.58
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	182	132	72.53
esto1258	Estonian	Uralic	Eurasia	195	189	137	72.49
ingr1248	Ingrian	Uralic	Eurasia	195	189	137	72.49
bube1242	Bube	Atlantic-Congo	Africa	135	134	97	72.39
occi1239	Occitan	Indo-European	Eurasia	187	181	131	72.38
anci1242	Ancient Greek	Indo-European	Eurasia	194	188	136	72.34
qaqe1238	Qaqet	Baining	Papunesia	55	54	39	72.22
ital1282	Italian	Indo-European	Eurasia	193	187	135	72.19
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	165	119	72.12
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	179	129	72.07
finn1318	Finnish	Uralic	Eurasia	195	189	136	71.96
mode1248	Modern Greek	Indo-European	Eurasia	195	189	136	71.96
stan1318	Standard Arabic	Afro-Asiatic	Eurasia	167	164	118	71.95
arom1237	Aromanian	Indo-European	Eurasia	165	160	115	71.88
roma1326	Romansh	Indo-European	Eurasia	178	174	125	71.84
egyp1253	Egyptian Arabic	Afro-Asiatic	Africa	166	163	117	71.78
iraq1241	Iraqw	Afro-Asiatic	Africa	116	113	81	71.68
gali1258	Galician	Indo-European	Eurasia	192	187	134	71.66
stan1289	Catalan	Indo-European	Eurasia	193	187	134	71.66
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	53	71.62
swed1254	Swedish	Indo-European	Eurasia	182	176	126	71.59
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	95	68	71.58
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	144	103	71.53
mudu1239	Muduga	Dravidian	Eurasia	161	158	113	71.52
homa1239	Homa	Atlantic-Congo	Africa	14	14	10	71.43
sout2674	South Saami	Uralic	Eurasia	195	189	135	71.43
lafo1243	Lafofa		Africa	68	66	47	71.21
gana1278	Ganai	Pama-Nyungan	Australia	53	52	37	71.15
latv1249	Latvian	Indo-European	Eurasia	184	180	128	71.11
moch1259	Mochica		South America	139	135	96	71.11
giiw1236	Giiwo	Afro-Asiatic	Africa	70	69	49	71.01
xinc1242	Xinca-Chiquimulilla	Xincan	North America	162	158	112	70.89
duru1236	Duruwa	Dravidian	Eurasia	121	120	85	70.83
ghom1257	Ghomara	Afro-Asiatic	Africa	158	154	109	70.78
waja1259	Waja	Atlantic-Congo	Africa	133	130	92	70.77
zenz1235	Zenzontepec Chatino	Otomanguean	North America	134	130	92	70.77
siwi1239	Siwi	Afro-Asiatic	Africa	168	164	116	70.73
cham1315	Chamacoco	Zamucoan	South America	143	140	99	70.71
aghe1239	Aghem	Atlantic-Congo	Africa	180	174	123	70.69
bela1254	Belarusian	Indo-European	Eurasia	190	184	130	70.65
xinc1246	Xinca-Guazacapan	Xincan	North America	164	160	113	70.62
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	170	120	70.59
dand1238	Dandami Maria	Dravidian	Eurasia	161	156	110	70.51
baba1264	Baba	Atlantic-Congo	Africa	147	142	100	70.42
abip1241	Abipon	Guaicuruan	South America	129	125	88	70.4
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	145	102	70.34
orma1241	Orma	Afro-Asiatic	Africa	128	128	90	70.31
nara1262	Nara		Africa	132	131	92	70.23
umes1235	Ume Saami	Uralic	Eurasia	183	178	125	70.22
boht1238	Gardabani Bohtan Neo-Aramaic	Afro-Asiatic	Eurasia	166	161	113	70.19
chim1309	Chimila	Chibchan	South America	136	134	94	70.15
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	174	122	70.11
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	157	110	70.06
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	140	98	70
jina1244	Jina	Afro-Asiatic	Africa	161	160	112	70
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	166	116	69.88
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	156	109	69.87
tsam1247	Tsamai	Afro-Asiatic	Africa	185	179	125	69.83
doma1260	Domaaki	Indo-European	Eurasia	144	139	97	69.78
korr1238	Korra Koraga	Dravidian	Eurasia	133	129	90	69.77
yaak1241	Yaaku	Afro-Asiatic	Africa	177	172	120	69.77
lamb1269	Lambadi	Indo-European	Eurasia	155	152	106	69.74
bret1244	Breton	Indo-European	Eurasia	189	185	129	69.73
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	142	99	69.72
