Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	64	58	90.62
ndom1245	Ndom	Kolopom	Papunesia	74	73	64	87.67
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	62	87.32
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	98	84	85.71
hrus1242	Hruso		Eurasia	89	82	69	84.15
nyun1247	Nyunga	Pama-Nyungan	Australia	26	24	20	83.33
poya1241	Poyanáwa	Pano-Tacanan	South America	50	48	40	83.33
defa1248	Defaka	Ijoid	Africa	75	71	58	81.69
kara1499	Kalamang	West Bomberai	Papunesia	99	92	75	81.52
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	138	112	81.16
nucl1595	Kwerba	Greater Kwerba	Papunesia	132	129	104	80.62
kunz1244	Kunza		South America	72	70	56	80
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	85	68	80
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	122	97	79.51
chir1283	Chiru	Sino-Tibetan	Eurasia	170	146	116	79.45
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	136	108	79.41
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	144	114	79.17
bian1252	Biangai	Goilalan	Papunesia	155	132	104	78.79
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	113	89	78.76
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	89	70	78.65
rumu1243	Rumu	Turama-Kikori	Papunesia	73	65	51	78.46
yawa1260	Yawanawa	Pano-Tacanan	South America	148	134	105	78.36
opat1246	Teguima	Uto-Aztecan	North America	120	101	79	78.22
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	151	118	78.15
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	128	100	78.12
aree1239	Are	Austronesian	Papunesia	157	137	107	78.1
yami1256	Yaminahua	Pano-Tacanan	South America	182	155	121	78.06
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	123	96	78.05
siaw1243	Siawi	Amto-Musan	Papunesia	123	118	92	77.97
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	118	92	77.97
rama1270	Rama	Chibchan	North America	145	122	95	77.87
moun1252	Mountain Koiali	Koiarian	Papunesia	168	140	109	77.86
chib1270	Chibcha	Chibchan	South America	148	126	98	77.78
natc1249	Natchez		North America	108	99	77	77.78
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	108	84	77.78
tibe1274	Tibea	Atlantic-Congo	Africa	95	81	63	77.78
teda1241	Tedaga	Saharan	Africa	160	139	108	77.7
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	139	108	77.7
aika1237	Aikanã		South America	90	85	66	77.65
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	147	114	77.55
achu1247	Achumawi	Palaihnihan	North America	106	89	69	77.53
nucl1630	Barai	Koiarian	Papunesia	168	142	110	77.46
biwa1243	Biwat	Yuat	Papunesia	153	133	103	77.44
koir1240	Koireng	Sino-Tibetan	Eurasia	155	128	99	77.34
bira1253	Ongota		Africa	163	141	109	77.3
sout2869	Southwest Tanna	Austronesian	Papunesia	166	141	109	77.3
tama1331	Tama (Chad)	Tamaic	Africa	139	123	95	77.24
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	136	105	77.21
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	57	44	77.19
mill1237	Millcayac	Huarpean	South America	122	118	91	77.12
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	109	84	77.06
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	122	94	77.05
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	148	114	77.03
iwam1256	Iwam	Sepik	Papunesia	105	100	77	77
cogu1240	Cogui	Chibchan	South America	141	125	96	76.8
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	146	112	76.71
saba1268	Sabanê	Nambiquaran	South America	169	146	112	76.71
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	150	115	76.67
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	30	23	76.67
mais1250	Maisin	Austronesian	Papunesia	176	150	115	76.67
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	59	76.62
coch1272	Cochimi	Cochimi-Yuman	North America	89	77	59	76.62
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	128	98	76.56
koit1244	Koitabu	Koiarian	Papunesia	168	149	114	76.51
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	149	114	76.51
cent2150	Central Tunebo	Chibchan	South America	159	136	104	76.47
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	123	94	76.42
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	144	110	76.39
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	127	97	76.38
mika1239	Mikasuki	Muskogean	North America	147	127	97	76.38
cata1286	Catawba	Siouan	North America	125	118	90	76.27
awtu1239	Awtuw	Sepik	Papunesia	138	122	93	76.23
arop1242	Arop-Sissano	Austronesian	Papunesia	164	143	109	76.22
kaur1267	Kaurna	Pama-Nyungan	Australia	48	46	35	76.09
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	117	89	76.07
