Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
sara1331	Saraveca	Arawakan	South America	19	18	15	83.33
pich1237	Pichis Ashéninka	Arawakan	South America	148	137	110	80.29
apol1242	Apolista	Arawakan	South America	14	14	11	78.57
ines1240	Ineseño	Chumashan	North America	173	157	123	78.34
taba1263	Tabaru	North Halmahera	Papunesia	176	157	123	78.34
seng1281	Sengseng	Austronesian	Papunesia	100	91	71	78.02
moco1246	Mocoví	Guaicuruan	South America	169	150	117	78
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	145	113	77.93
wyan1247	Huron-Wyandot	Iroquoian	North America	111	104	81	77.88
yine1238	Yine	Arawakan	South America	91	81	63	77.78
yagu1244	Yagua	Peba-Yagua	South America	170	148	115	77.7
pala1344	Palauan	Austronesian	Papunesia	184	161	124	77.02
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	126	97	76.98
iama1237	Iamalele	Austronesian	Papunesia	107	104	80	76.92
chey1247	Cheyenne	Algic	North America	139	129	99	76.74
pura1257	Purari		Papunesia	158	146	112	76.71
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	81	62	76.54
noma1263	Nomatsiguenga	Arawakan	South America	96	85	65	76.47
mach1267	Machiguenga	Arawakan	South America	96	89	68	76.4
pila1245	Pilagá	Guaicuruan	South America	183	161	123	76.4
mbya1239	Mbyá Guaraní	Tupian	South America	161	148	113	76.35
gale1259	Galela	North Halmahera	Papunesia	143	135	103	76.3
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	122	93	76.23
bant1288	Bantoanon	Austronesian	Papunesia	124	109	83	76.15
gada1258	Ga'dang	Austronesian	Papunesia	70	67	51	76.12
timu1262	Timugon Murut	Austronesian	Papunesia	153	142	108	76.06
isna1241	Isnag	Austronesian	Papunesia	163	146	111	76.03
waur1244	Waurá	Arawakan	South America	86	79	60	75.95
avac1239	Avá-Canoeiro	Tupian	South America	153	141	107	75.89
kute1249	Kutenai		North America	132	120	91	75.83
reng1252	Rengao	Austroasiatic	Eurasia	172	157	119	75.8
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	132	100	75.76
igna1246	Ignaciano	Arawakan	South America	91	82	62	75.61
west2548	West Damar	Austronesian	Papunesia	163	143	108	75.52
piap1246	Piapoco	Arawakan	South America	59	49	37	75.51
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	118	89	75.42
araw1273	Araweté	Tupian	South America	148	134	101	75.37
siks1238	Siksika	Algic	North America	162	150	113	75.33
sene1264	Seneca	Iroquoian	North America	174	158	119	75.32
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	149	112	75.17
abee1242	Abé	Atlantic-Congo	Africa	142	124	93	75
bata1289	Batak Toba	Austronesian	Papunesia	168	148	111	75
boli1256	Bolinao	Austronesian	Papunesia	60	52	39	75
east2332	Eastern Bru	Austroasiatic	Eurasia	134	128	96	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
tain1254	Taino	Arawakan	North America	4	4	3	75
toba1268	Toba-Maskoy	Lengua-Mascoy	South America	190	167	125	74.85
tobe1252	Tobelo	North Halmahera	Papunesia	173	150	112	74.67
nort2864	Wemale	Austronesian	Papunesia	76	63	47	74.6
tepe1278	Tepecano	Uto-Aztecan	North America	121	110	82	74.55
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	137	102	74.45
lotu1250	Lotud	Austronesian	Papunesia	132	113	84	74.34
tuni1252	Tunica		North America	162	144	107	74.31
aree1239	Are	Austronesian	Papunesia	157	140	104	74.29
