Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	12	92.31
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
cent1972	Central Kurdish	Indo-European	Eurasia	15	8	7	87.5
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	43	37	86.05
bamb1269	Bambara	Mande	Africa	104	100	85	85
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	21	84
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	80	67	83.75
nkor1239	Nkoroo	Ijoid	Africa	54	53	44	83.02
bent1238	Ben Tey Dogon	Dogon	Africa	170	167	138	82.63
ango1257	Angosturas Tunebo	Chibchan	South America	136	121	99	81.82
dyul1238	Dyula	Mande	Africa	157	140	114	81.43
gebe1237	Gebe	Austronesian	Papunesia	129	110	89	80.91
tomm1242	Tommo So Dogon	Dogon	Africa	167	164	132	80.49
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	161	129	80.12
mido1240	Midob	Nubian	Africa	55	55	44	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	87	69	79.31
beel1236	Beele	Afro-Asiatic	Africa	52	47	37	78.72
pawa1255	Pawaia		Papunesia	110	98	77	78.57
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	36	78.26
wann1242	Wan	Mande	Africa	124	119	93	78.15
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	32	78.05
siam1242	Siamou		Africa	134	132	103	78.03
mand1436	Mandinka	Mande	Africa	137	131	102	77.86
etru1241	Etruscan		Eurasia	130	107	83	77.57
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	98	76	77.55
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	131	101	77.1
guro1248	Guro	Mande	Africa	131	125	96	76.8
soni1259	Soninke	Mande	Africa	127	124	95	76.61
boru1252	Boruca	Chibchan	North America	117	114	87	76.32
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	97	74	76.29
even1260	Even	Tungusic	Eurasia	141	139	106	76.26
sini1242	Sininkere	Mande	Africa	125	122	93	76.23
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	164	125	76.22
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	35	76.09
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	79	60	75.95
azha1235	Azha	Sino-Tibetan	Eurasia	151	132	100	75.76
yaey1239	Yaeyama	Japonic	Eurasia	155	136	103	75.74
orma1241	Orma	Afro-Asiatic	Africa	128	127	96	75.59
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	143	108	75.52
mari1414	Maria (India)	Dravidian	Eurasia	119	102	77	75.49
duru1236	Duruwa	Dravidian	Eurasia	121	106	80	75.47
ache1246	Aché	Tupian	South America	78	65	49	75.38
hala1252	Halang	Austroasiatic	Eurasia	82	65	49	75.38
mwan1250	Mwan	Mande	Africa	135	130	98	75.38
ulwa1239	Ulwa	Misumalpan	North America	165	158	119	75.32
loma1260	Loma (Liberia)	Mande	Africa	90	85	64	75.29
siri1274	Siriano	Tucanoan	South America	122	113	85	75.22
sici1249	Sìcìté Sénoufo	Atlantic-Congo	Africa	143	121	91	75.21
cent2126	Central Okinawan	Japonic	Eurasia	153	133	100	75.19
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	129	97	75.19
qima1242	Qimant	Afro-Asiatic	Africa	166	145	109	75.17
bekw1242	Bekwil	Atlantic-Congo	Africa	100	88	66	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
mend1266	Mende (Sierra Leone)	Mande	Africa	80	80	60	75
saya1246	Saya	Afro-Asiatic	Africa	121	104	78	75
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	96	72	75
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	48	36	75
melo1242	Melo	Ta-Ne-Omotic	Africa	163	143	107	74.83
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	131	98	74.81
tang1334	Tangut	Sino-Tibetan	Eurasia	151	135	101	74.81
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	91	68	74.73
