Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
suru1262	Suruí	Tupian	South America	18	18	16	88.89
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
omii1238	Omi	Central Sudanic	Africa	18	16	13	81.25
chic1270	Chickasaw	Muskogean	North America	150	145	116	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	20	80
situ1238	Situ	Sino-Tibetan	Eurasia	185	175	140	80
apol1242	Apolista	Arawakan	South America	14	14	11	78.57
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	79	62	78.48
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	102	80	78.43
gale1259	Galela	North Halmahera	Papunesia	143	137	107	78.1
ndom1245	Ndom	Kolopom	Papunesia	74	72	56	77.78
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	183	142	77.6
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	145	112	77.24
nung1282	Nung (Myanmar)	Sino-Tibetan	Eurasia	170	161	124	77.02
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	60	76.92
assi1247	Assiniboine	Siouan	North America	185	179	137	76.54
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	144	110	76.39
limb1266	Limbu	Sino-Tibetan	Eurasia	140	135	103	76.3
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	105	80	76.19
tepe1278	Tepecano	Uto-Aztecan	North America	121	113	86	76.11
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	121	92	76.03
gily1242	Amur Nivkh	Nivkh	Eurasia	183	175	133	76
poya1241	Poyanáwa	Pano-Tacanan	South America	50	50	38	76
yukp1241	Yukpa	Cariban	South America	106	103	78	75.73
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	70	53	75.71
leco1242	Leco		South America	162	156	118	75.64
chey1247	Cheyenne	Algic	North America	139	134	101	75.37
arhu1242	Arhuaco	Chibchan	South America	156	149	112	75.17
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	160	120	75
cree1270	Creek	Muskogean	North America	185	176	132	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	156	117	75
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	120	90	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
nkor1239	Nkoroo	Ijoid	Africa	54	52	39	75
pech1241	Pech	Chibchan	North America	144	140	105	75
tain1254	Taino	Arawakan	North America	4	4	3	75
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	163	122	74.85
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	91	68	74.73
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	174	130	74.71
jama1261	Madi	Arawan	South America	170	162	121	74.69
pawa1255	Pawaia		Papunesia	110	106	79	74.53
anta1255	Antankarana Malagasy	Austronesian	Africa	102	98	73	74.49
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	70	74.47
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	129	96	74.42
mari1440	Maricopa	Cochimi-Yuman	North America	175	168	125	74.4
taba1263	Tabaru	North Halmahera	Papunesia	176	168	125	74.4
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	183	136	74.32
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	55	74.32
alab1237	Alabama	Muskogean	North America	177	171	127	74.27
dura1244	Dura	Sino-Tibetan	Eurasia	171	162	120	74.07
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	173	128	73.99
drun1238	Drung	Sino-Tibetan	Eurasia	182	173	128	73.99
puma1239	Puma	Sino-Tibetan	Eurasia	172	169	125	73.96
cata1286	Catawba	Siouan	North America	125	119	88	73.95
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	153	113	73.86
cher1273	Cherokee	Iroquoian	North America	184	176	130	73.86
puqu1242	Puquina		South America	118	114	84	73.68
shua1257	Shuar	Chicham	South America	147	140	103	73.57
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	174	128	73.56
coos1249	Hanis	Coosan	North America	176	169	124	73.37
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	120	88	73.33
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	176	129	73.3
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	138	101	73.19
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	82	60	73.17
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	164	120	73.17
mala1522	Malayo	Chibchan	South America	157	149	109	73.15
araw1273	Araweté	Tupian	South America	148	145	106	73.1
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	171	125	73.1
waya1269	Wayana	Cariban	South America	178	171	125	73.1
wint1259	Wintu	Wintuan	North America	159	152	111	73.03
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	63	46	73.02
hrus1242	Hruso		Eurasia	89	85	62	72.94
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	92	67	72.83
tang1334	Tangut	Sino-Tibetan	Eurasia	151	147	107	72.79
nang1262	Nanggu	Austronesian	Papunesia	162	158	115	72.78
atak1252	Atakapa		North America	149	143	104	72.73
bera1262	Berau Malay	Austronesian	Papunesia	11	11	8	72.73
oksa1245	Oksapmin	Nuclear Trans New Guinea	Papunesia	184	176	128	72.73
suru1261	Suruí Do Pará	Tupian	South America	68	66	48	72.73
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	161	117	72.67
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	139	101	72.66
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	128	93	72.66
kala1400	Central Kalapuya	Kalapuyan	North America	139	135	98	72.59
gang1266	Gangte	Sino-Tibetan	Eurasia	184	175	127	72.57
kana1286	Kanakanavu	Austronesian	Papunesia	147	142	103	72.54
tang1377	Tangam	Sino-Tibetan	Eurasia	179	171	124	72.51
apat1240	Apatani	Sino-Tibetan	Eurasia	170	163	118	72.39
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	105	76	72.38
ainu1240	Hokkaido Ainu	Ainu	Eurasia	176	170	123	72.35
yecu1235	Yecuatla Totonac	Totonacan	North America	172	166	120	72.29
achu1247	Achumawi	Palaihnihan	North America	106	101	73	72.28
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	137	99	72.26
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	72	52	72.22
miam1252	Miami	Algic	North America	120	115	83	72.17
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	176	127	72.16
high1276	Highland Popoluca	Mixe-Zoque	North America	186	176	127	72.16
arao1248	Araona	Pano-Tacanan	South America	193	183	132	72.13
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	165	119	72.12
iama1237	Iamalele	Austronesian	Papunesia	107	104	75	72.12
lazz1240	Laz	Kartvelian	Eurasia	171	161	116	72.05
saba1268	Sabanê	Nambiquaran	South America	169	161	116	72.05
ango1257	Angosturas Tunebo	Chibchan	South America	136	132	95	71.97
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	132	95	71.97
xava1240	Xavánte	Nuclear-Macro-Je	South America	163	157	113	71.97
caml1239	Camling	Sino-Tibetan	Eurasia	170	164	118	71.95
tima1241	Tima	Katla-Tima	Africa	61	57	41	71.93
avac1239	Avá-Canoeiro	Tupian	South America	153	146	105	71.92
elmo1238	El Molo	Afro-Asiatic	Africa	171	167	120	71.86
chim1301	Chimariko		North America	141	135	97	71.85
vinm1237	Neve'ei	Austronesian	Papunesia	143	135	97	71.85
lotu1250	Lotud	Austronesian	Papunesia	132	124	89	71.77
nyig1240	Nyigina	Nyulnyulan	Australia	128	124	89	71.77
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	177	127	71.75
nort2972	Northern Emberá	Chocoan	South America	167	159	114	71.7
west2417	Western Muya	Sino-Tibetan	Eurasia	112	106	76	71.7
tobe1252	Tobelo	North Halmahera	Papunesia	173	166	119	71.69
kore1280	Korean	Koreanic	Eurasia	185	176	126	71.59
baim1244	Baima	Sino-Tibetan	Eurasia	193	183	131	71.58
meke1243	Mekeo	Austronesian	Papunesia	192	183	131	71.58
high1243	Highland Totonac	Totonacan	North America	120	116	83	71.55
sout2729	Southern Pumi	Sino-Tibetan	Eurasia	186	179	128	71.51
akei1237	Akei	Austronesian	Papunesia	122	119	85	71.43
amar1274	Amarakaeri	Harakmbut	South America	154	147	105	71.43
siks1238	Siksika	Algic	North America	162	154	110	71.43
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	126	90	71.43
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	157	112	71.34
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	136	97	71.32
choc1276	Choctaw	Muskogean	North America	190	181	129	71.27
akun1241	Akuntsu	Tupian	South America	174	167	119	71.26
chac1249	Cha'palaa	Barbacoan	South America	91	87	62	71.26
coch1272	Cochimi	Cochimi-Yuman	North America	89	87	62	71.26
nort2994	Northern Roglai	Austronesian	Eurasia	90	87	62	71.26
koir1240	Koireng	Sino-Tibetan	Eurasia	155	146	104	71.23
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	139	99	71.22
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	118	84	71.19
huic1243	Huichol	Uto-Aztecan	North America	179	170	121	71.18
tupi1273	Tupinambá	Tupian	South America	163	156	111	71.15
mika1239	Mikasuki	Muskogean	North America	147	142	101	71.13
mapu1245	Mapudungun	Araucanian	South America	190	180	128	71.11
zagh1240	Beria	Saharan	Africa	183	173	123	71.1
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	128	91	71.09
mbya1239	Mbyá Guaraní	Tupian	South America	161	152	108	71.05
darm1243	Darma	Sino-Tibetan	Eurasia	179	169	120	71.01
boru1252	Boruca	Chibchan	North America	117	110	78	70.91
crow1244	Crow	Siouan	North America	192	182	129	70.88
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	182	129	70.88
ahin1234	Ahin-Kayapa Kalanguya	Austronesian	Papunesia	104	103	73	70.87
