Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cent1972	Central Kurdish	Indo-European	Eurasia	15	1	1	100
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
tain1254	Taino	Arawakan	North America	4	1	1	100
buku1249	Bukusu	Atlantic-Congo	Africa	52	36	33	91.67
ndob1238	Ndobo	Atlantic-Congo	Africa	85	36	33	91.67
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	28	24	85.71
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	7	6	85.71
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	18	15	83.33
okuu1243	Oku	Atlantic-Congo	Africa	110	59	49	83.05
land1256	Landoma	Atlantic-Congo	Africa	137	60	49	81.67
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	27	22	81.48
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	51	41	80.39
belu1239	Belueli	Atlantic-Congo	Africa	73	35	28	80
cori1240	Cori	Atlantic-Congo	Africa	139	58	46	79.31
gida1247	Gidar	Afro-Asiatic	Africa	80	53	42	79.25
baga1273	Baga Koga	Atlantic-Congo	Africa	104	48	38	79.17
komc1235	Kom (Cameroon)	Atlantic-Congo	Africa	158	75	59	78.67
lito1235	Litoka	Atlantic-Congo	Africa	97	46	36	78.26
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	32	25	78.12
huaa1248	East Taa	Tuu	Africa	164	76	59	77.63
koon1245	Koonzime	Atlantic-Congo	Africa	133	57	44	77.19
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	26	20	76.92
fare1241	Farefare	Atlantic-Congo	Africa	174	82	63	76.83
gese1240	Geser-Gorom	Austronesian	Papunesia	69	30	23	76.67
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	38	29	76.32
ndam1251	Ndam	Afro-Asiatic	Africa	41	21	16	76.19
baba1266	Babanki	Atlantic-Congo	Africa	159	75	57	76
bamw1238	Bamwe	Atlantic-Congo	Africa	102	50	38	76
loba1239	Lobala	Atlantic-Congo	Africa	98	50	38	76
zulu1248	Zulu	Atlantic-Congo	Africa	42	25	19	76
keme1240	Kemezung	Atlantic-Congo	Africa	135	58	44	75.86
maba1270	Mabaale	Atlantic-Congo	Africa	118	58	44	75.86
kera1248	Keerak	Atlantic-Congo	Africa	128	78	59	75.64
koro1298	Koromfé	Atlantic-Congo	Africa	191	86	65	75.58
jjuu1238	Jju	Atlantic-Congo	Africa	85	45	34	75.56
luch1239	Luchazi	Atlantic-Congo	Africa	136	65	49	75.38
noon1243	Noone	Atlantic-Congo	Africa	172	81	61	75.31
tief1244	Tiefo-Nyafogo-Numudara	Atlantic-Congo	Africa	186	85	64	75.29
bamu1253	Bamun	Atlantic-Congo	Africa	159	80	60	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
liki1240	Balobo	Atlantic-Congo	Africa	99	48	36	75
mund1328	Mundabli-Mufu	Atlantic-Congo	Africa	184	84	63	75
timn1235	Timne	Atlantic-Congo	Africa	166	80	60	75
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	76	57	75
nawu1242	Nawuri	Atlantic-Congo	Africa	182	83	62	74.7
gade1242	Gade	Atlantic-Congo	Africa	178	79	59	74.68
kaon1241	Kaonde	Atlantic-Congo	Africa	120	59	44	74.58
bong1284	Bongili	Atlantic-Congo	Africa	102	51	38	74.51
