Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	7	7	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	5	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
kima1246	Kimaama	Kolopom	Papunesia	92	39	34	87.18
anem1249	Anem		Papunesia	91	62	54	87.1
ubir1237	Ubir	Austronesian	Papunesia	149	60	52	86.67
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	58	50	86.21
lote1237	Lote	Austronesian	Papunesia	178	72	62	86.11
lamo1244	Lamogai	Austronesian	Papunesia	135	57	49	85.96
gese1240	Geser-Gorom	Austronesian	Papunesia	69	28	24	85.71
hote1245	Hote	Austronesian	Papunesia	162	62	53	85.48
kren1239	Krenak	Nuclear-Macro-Je	South America	111	48	41	85.42
lala1268	Lala	Austronesian	Papunesia	187	72	61	84.72
labu1248	Labu	Austronesian	Papunesia	154	64	54	84.38
loni1238	Loniu	Austronesian	Papunesia	185	70	59	84.29
mera1242	Meramera	Austronesian	Papunesia	54	44	37	84.09
tane1237	Tanema	Austronesian	Papunesia	154	69	58	84.06
tean1237	Teanu	Austronesian	Papunesia	147	69	58	84.06
bari1286	Bariai	Austronesian	Papunesia	176	73	61	83.56
papa1265	Papapana	Austronesian	Papunesia	188	73	61	83.56
sioo1240	Sio	Austronesian	Papunesia	175	73	61	83.56
avok1242	Avokaya	Central Sudanic	Africa	122	53	44	83.02
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	70	58	82.86
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	70	58	82.86
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	64	53	82.81
vano1237	Lovono	Austronesian	Papunesia	146	64	53	82.81
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	58	48	82.76
waro1242	Waropen	Austronesian	Papunesia	137	52	43	82.69
arop1243	Arop-Lokep	Austronesian	Papunesia	161	69	57	82.61
lusi1240	Lusi	Austronesian	Papunesia	144	67	55	82.09
kove1237	Kove	Austronesian	Papunesia	180	72	59	81.94
kris1246	I'saka	Sko	Papunesia	99	72	59	81.94
lewo1244	Lewotobi	Austronesian	Papunesia	189	72	59	81.94
guri1248	Guriaso		Papunesia	24	11	9	81.82
muss1246	Mussau-Emira	Austronesian	Papunesia	90	66	54	81.82
tiga1245	Tigak	Austronesian	Papunesia	171	71	58	81.69
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	60	49	81.67
lach1248	Lachi	Tai-Kadai	Eurasia	167	65	53	81.54
kama1367	Kamasau	Nuclear Torricelli	Papunesia	94	64	52	81.25
misi1243	Misima-Paneati	Austronesian	Papunesia	144	64	52	81.25
bann1247	Bannoni	Austronesian	Papunesia	72	63	51	80.95
gade1242	Gade	Atlantic-Congo	Africa	178	67	54	80.6
mato1252	Mato	Austronesian	Papunesia	169	72	58	80.56
mbul1263	Mbula	Austronesian	Papunesia	183	72	58	80.56
tido1248	Tidore	North Halmahera	Papunesia	96	71	57	80.28
alor1247	Alorese	Austronesian	Papunesia	168	70	56	80
gobu1238	Gobu	Atlantic-Congo	Africa	141	60	48	80
mans1260	Mansim	Hatam-Mansim	Papunesia	71	30	24	80
mono1273	Mono-Alu	Austronesian	Papunesia	111	50	40	80
rian1263	Riantana	Kolopom	Papunesia	112	50	40	80
kupa1239	Kupang Malay	Austronesian	Papunesia	168	69	55	79.71
mapo1242	Mapos Buang	Austronesian	Papunesia	173	69	55	79.71
ughe1237	Ughele	Austronesian	Papunesia	182	69	55	79.71
yong1270	Narua	Sino-Tibetan	Eurasia	160	64	51	79.69
sobe1238	Sobei	Austronesian	Papunesia	130	54	43	79.63
ramo1244	Ramoaaina	Austronesian	Papunesia	52	39	31	79.49
iliu1237	Ili'uun	Austronesian	Papunesia	168	68	54	79.41
kaul1240	Kaulong	Austronesian	Papunesia	90	68	54	79.41
yaou1238	Yaouré	Mande	Africa	130	68	54	79.41
obok1239	Obokuitai	Lakes Plain	Papunesia	157	63	50	79.37
iwal1237	Iwal	Austronesian	Papunesia	134	53	42	79.25
akei1237	Akei	Austronesian	Papunesia	122	48	38	79.17
kaba1281	Kaba	Central Sudanic	Africa	166	72	57	79.17
leng1259	Lengo	Austronesian	Papunesia	172	72	57	79.17
east2563	Eastern Cham	Austronesian	Eurasia	92	67	53	79.1
ling1265	Neverver	Austronesian	Papunesia	157	62	49	79.03
buhu1237	Buhutu	Austronesian	Papunesia	134	57	45	78.95
adon1237	Adonara	Austronesian	Papunesia	165	71	56	78.87
east2440	East Makian	Austronesian	Papunesia	95	71	56	78.87
hata1243	Hatam	Hatam-Mansim	Papunesia	96	70	55	78.57
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	14	11	78.57
awad1244	Awad Bing	Austronesian	Papunesia	162	65	51	78.46
west2600	West Makian	North Halmahera	Papunesia	151	65	51	78.46
litz1237	Naman	Austronesian	Papunesia	185	69	54	78.26
tuml1238	Tumleo	Austronesian	Papunesia	103	46	36	78.26
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	64	50	78.12
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	64	50	78.12
chib1270	Chibcha	Chibchan	South America	148	64	50	78.12
