Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	23	92
thur1254	Thurawal	Pama-Nyungan	Australia	86	82	73	89.02
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	64	56	87.5
jaru1254	Jaru	Pama-Nyungan	Australia	61	54	47	87.04
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	93	80	86.02
nhan1238	Nhanda	Pama-Nyungan	Australia	163	144	122	84.72
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	95	80	84.21
yulp1239	Yulparija	Pama-Nyungan	Australia	156	137	115	83.94
kaur1267	Kaurna	Pama-Nyungan	Australia	48	43	36	83.72
wanm1242	Wanman	Pama-Nyungan	Australia	132	120	100	83.33
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	53	44	83.02
warr1255	Warrgamay	Pama-Nyungan	Australia	80	70	58	82.86
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	86	71	82.56
mayk1239	Maykulan	Pama-Nyungan	Australia	152	138	113	81.88
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	110	90	81.82
muru1266	Muruwari	Pama-Nyungan	Australia	157	141	115	81.56
naru1238	Narungga	Pama-Nyungan	Australia	106	95	77	81.05
waru1264	Warrongo	Pama-Nyungan	Australia	72	68	55	80.88
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	115	93	80.87
maku1277	Maku'a	Austronesian	Papunesia	29	26	21	80.77
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	131	105	80.15
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	136	109	80.15
bert1248	Berta		Africa	119	100	80	80
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	4	80
darl1243	Paakantyi	Pama-Nyungan	Australia	45	44	35	79.55
kara1499	Kalamang	West Bomberai	Papunesia	99	88	70	79.55
hooo1248	Ho	Austroasiatic	Eurasia	149	126	100	79.37
guny1241	Gunya	Pama-Nyungan	Australia	177	150	119	79.33
nyig1240	Nyigina	Nyulnyulan	Australia	128	111	88	79.28
biri1256	Biri	Pama-Nyungan	Australia	146	125	99	79.2
awab1243	Awabakal	Pama-Nyungan	Australia	67	62	49	79.03
nina1238	Ninam	Yanomamic	South America	61	57	45	78.95
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	61	48	78.69
dyan1250	Dyangadi	Pama-Nyungan	Australia	190	154	121	78.57
gung1248	Gungabula	Pama-Nyungan	Australia	44	42	33	78.57
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	14	11	78.57
mola1238	Molale		North America	174	144	113	78.47
gana1278	Ganai	Pama-Nyungan	Australia	53	51	40	78.43
dard1243	Dar Daju Daju	Dajuic	Africa	93	83	65	78.31
