Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	5	5	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	6	100
omii1238	Omi	Central Sudanic	Africa	18	6	6	100
tain1254	Taino	Arawakan	North America	4	3	3	100
belu1239	Belueli	Atlantic-Congo	Africa	73	55	52	94.55
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	17	16	94.12
makw1236	Makwe	Atlantic-Congo	Africa	86	62	58	93.55
nden1248	Ndengereko	Atlantic-Congo	Africa	88	62	58	93.55
zinz1238	Zinza	Atlantic-Congo	Africa	106	73	68	93.15
fipa1238	Fipa	Atlantic-Congo	Africa	120	84	78	92.86
ndob1238	Ndobo	Atlantic-Congo	Africa	85	64	59	92.19
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	38	35	92.11
ndam1251	Ndam	Afro-Asiatic	Africa	41	31	28	90.32
buku1249	Bukusu	Atlantic-Congo	Africa	52	40	36	90
soli1239	Soli	Atlantic-Congo	Africa	101	70	63	90
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	69	62	89.86
lang1320	Langi	Atlantic-Congo	Africa	174	107	96	89.72
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	106	95	89.62
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	86	77	89.53
kala1384	Kalanga	Atlantic-Congo	Africa	164	111	99	89.19
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	101	90	89.11
mbol1247	Mbole	Atlantic-Congo	Africa	89	64	57	89.06
nsen1242	Nsenga	Atlantic-Congo	Africa	160	109	97	88.99
beem1239	Beembe	Atlantic-Congo	Africa	144	99	88	88.89
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	8	88.89
gusi1247	Gusii	Atlantic-Congo	Africa	173	106	94	88.68
tote1238	Totela	Atlantic-Congo	Africa	161	105	93	88.57
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	61	54	88.52
tien1242	Tiene	Atlantic-Congo	Africa	126	87	77	88.51
pang1287	Pangwa	Atlantic-Congo	Africa	167	104	92	88.46
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	101	89	88.12
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	92	81	88.04
tuki1240	Tuki	Atlantic-Congo	Africa	160	100	88	88
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	108	95	87.96
bush1247	Bushoong	Atlantic-Congo	Africa	184	116	102	87.93
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	91	80	87.91
haaa1252	Ha	Atlantic-Congo	Africa	187	115	101	87.83
yaoo1241	Yao	Atlantic-Congo	Africa	137	90	79	87.78
holo1240	Holoholo	Atlantic-Congo	Africa	144	98	86	87.76
sham1280	Shambala	Atlantic-Congo	Africa	118	81	71	87.65
lund1266	Lunda	Atlantic-Congo	Africa	150	105	92	87.62
gwen1239	Gweno	Atlantic-Congo	Africa	135	96	84	87.5
homa1239	Homa	Atlantic-Congo	Africa	14	8	7	87.5
