Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	114	101	88.6
bobo1255	Bobongko	Austronesian	Papunesia	73	67	59	88.06
agus1235	Agusan Manobo	Austronesian	Papunesia	103	90	78	86.67
west2557	Western Subanon	Austronesian	Papunesia	175	140	121	86.43
mara1404	Maranao	Austronesian	Papunesia	128	107	92	85.98
ilon1239	Ilongot	Austronesian	Papunesia	145	124	106	85.48
sira1267	Sirayaic	Austronesian	Papunesia	177	142	121	85.21
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	108	92	85.19
kala1388	Kalagan	Austronesian	Papunesia	150	119	101	84.87
tomb1244	Tombonuo	Austronesian	Papunesia	136	110	93	84.55
basa1287	Basay	Austronesian	Papunesia	106	96	81	84.38
west2560	West Coast Bajau	Austronesian	Papunesia	179	147	124	84.35
amis1246	Amis	Austronesian	Papunesia	151	121	102	84.3
twan1247	Twana	Salishan	North America	87	76	64	84.21
kaga1256	Kagayanen	Austronesian	Papunesia	167	135	113	83.7
limo1248	Limos Kalinga	Austronesian	Papunesia	114	98	82	83.67
mama1275	Mamanwa	Austronesian	Papunesia	149	122	102	83.61
kank1243	Kankanaey	Austronesian	Papunesia	180	134	112	83.58
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
naro1251	Narom	Austronesian	Papunesia	132	108	90	83.33
atay1247	Atayal	Austronesian	Papunesia	129	113	94	83.19
bong1289	Bonggi	Austronesian	Papunesia	150	136	113	83.09
tiru1241	Tiruray	Austronesian	Papunesia	145	117	97	82.91
nort2885	Northern Subanen	Austronesian	Papunesia	189	146	121	82.88
rata1244	Ratahan	Austronesian	Papunesia	166	134	111	82.84
taro1264	Seediq	Austronesian	Papunesia	75	58	48	82.76
isin1239	Isinai	Austronesian	Papunesia	152	132	109	82.58
cent2084	Central Cagayan Agta	Austronesian	Papunesia	174	135	111	82.22
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	118	97	82.2
boli1256	Bolinao	Austronesian	Papunesia	60	50	41	82
pamo1252	Pamona	Austronesian	Papunesia	148	111	91	81.98
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	105	86	81.9
boto1242	Botolan Sambal	Austronesian	Papunesia	175	138	113	81.88
saar1237	Saaroa	Austronesian	Papunesia	192	148	121	81.76
ibal1244	Ibaloi	Austronesian	Papunesia	169	137	112	81.75
iran1262	Iranun	Austronesian	Papunesia	138	109	89	81.65
bala1311	Balangingi	Austronesian	Papunesia	153	135	110	81.48
ivat1242	Itbayat	Austronesian	Papunesia	176	135	110	81.48
sooo1256	Soo	Kuliak	Africa	82	70	57	81.43
lund1271	Lundayeh	Austronesian	Papunesia	141	113	92	81.42
remo1247	Hatang Kayi	Austronesian	Papunesia	135	113	92	81.42
bala1315	Balantak	Austronesian	Papunesia	178	139	113	81.29
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	112	91	81.25
pala1344	Palauan	Austronesian	Papunesia	184	144	117	81.25
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	112	91	81.25
lotu1250	Lotud	Austronesian	Papunesia	132	106	86	81.13
kara1487	Karao	Austronesian	Papunesia	160	127	103	81.1
gayo1244	Gayo	Austronesian	Papunesia	193	147	119	80.95
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	110	89	80.91
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	115	93	80.87
kulo1237	Kulon-Pazeh	Austronesian	Papunesia	140	115	93	80.87
ibat1238	Ibatan	Austronesian	Papunesia	176	141	114	80.85
atii1237	Ati	Austronesian	Papunesia	115	99	80	80.81
fina1242	Finallig	Austronesian	Papunesia	164	130	105	80.77
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	31	25	80.65
sout2918	Southern Sama	Austronesian	Papunesia	159	124	100	80.65
buol1237	Buol	Austronesian	Papunesia	117	103	83	80.58
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	108	87	80.56
magu1243	Maguindanao	Austronesian	Papunesia	129	108	87	80.56
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	108	87	80.56
kina1250	Kinaray-a	Austronesian	Papunesia	143	123	99	80.49
seme1247	Semelai	Austroasiatic	Eurasia	195	148	119	80.41
