Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
mara1404	Maranao	Austronesian	Papunesia	128	115	101	87.83
boli1256	Bolinao	Austronesian	Papunesia	60	56	49	87.5
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	56	49	87.5
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	118	100	84.75
ilon1239	Ilongot	Austronesian	Papunesia	145	133	112	84.21
bala1311	Balangingi	Austronesian	Papunesia	153	141	118	83.69
tuwa1243	Tuwali Ifugao	Austronesian	Papunesia	192	167	139	83.23
gada1258	Ga'dang	Austronesian	Papunesia	70	64	53	82.81
kina1250	Kinaray-a	Austronesian	Papunesia	143	133	110	82.71
cent2100	Central Dusun	Austronesian	Papunesia	138	128	105	82.03
isin1239	Isinai	Austronesian	Papunesia	152	138	113	81.88
nort2877	Northern Kankanay	Austronesian	Papunesia	149	131	107	81.68
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	60	49	81.67
mama1275	Mamanwa	Austronesian	Papunesia	149	135	110	81.48
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	48	39	81.25
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	117	95	81.2
remo1247	Hatang Kayi	Austronesian	Papunesia	135	122	99	81.15
atay1247	Atayal	Austronesian	Papunesia	129	120	97	80.83
ying1247	Yinggarda	Pama-Nyungan	Australia	65	52	42	80.77
east2694	Eastern Subanen	Austronesian	Papunesia	109	103	83	80.58
obom1235	Obo Manobo	Austronesian	Papunesia	54	51	41	80.39
maro1244	Marovo	Austronesian	Papunesia	84	81	65	80.25
masb1238	Masbatenyo	Austronesian	Papunesia	172	157	126	80.25
tiru1241	Tiruray	Austronesian	Papunesia	145	131	105	80.15
taga1272	Tagabawa	Austronesian	Papunesia	161	146	117	80.14
ibat1238	Ibatan	Austronesian	Papunesia	176	161	129	80.12
lotu1250	Lotud	Austronesian	Papunesia	132	119	95	79.83
simb1256	Simbo	Austronesian	Papunesia	95	84	67	79.76
fina1242	Finallig	Austronesian	Papunesia	164	147	117	79.59
agus1235	Agusan Manobo	Austronesian	Papunesia	103	93	74	79.57
kank1243	Kankanaey	Austronesian	Papunesia	180	156	124	79.49
limo1248	Limos Kalinga	Austronesian	Papunesia	114	107	85	79.44
romb1245	Romblomanon	Austronesian	Papunesia	155	141	112	79.43
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	102	81	79.41
nort2885	Northern Subanen	Austronesian	Papunesia	189	165	131	79.39
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	97	77	79.38
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	130	103	79.23
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	101	80	79.21
cani1243	Canichana		South America	50	48	38	79.17
taus1251	Tausug	Austronesian	Papunesia	179	163	129	79.14
agut1237	Agutaynen	Austronesian	Papunesia	161	148	117	79.05
west2557	Western Subanon	Austronesian	Papunesia	175	157	124	78.98
bert1248	Berta		Africa	119	107	84	78.5
mono1275	Mono (USA)	Uto-Aztecan	North America	161	144	113	78.47
yoku1256	Northern Yokuts	Yokutsan	North America	173	152	119	78.29
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	101	79	78.22
timu1262	Timugon Murut	Austronesian	Papunesia	153	142	111	78.17
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	119	93	78.15
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	128	100	78.12
east2332	Eastern Bru	Austroasiatic	Eurasia	134	123	96	78.05
hrus1242	Hruso		Eurasia	89	82	64	78.05
twan1247	Twana	Salishan	North America	87	82	64	78.05
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	50	39	78
bant1288	Bantoanon	Austronesian	Papunesia	124	113	88	77.88
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	18	14	77.78
mans1262	Mansaka	Austronesian	Papunesia	127	117	91	77.78
tule1245	Tule-Kaweah Yokuts	Yokutsan	North America	172	153	119	77.78
cent2084	Central Cagayan Agta	Austronesian	Papunesia	174	156	121	77.56
moro1287	Moronene	Austronesian	Papunesia	106	98	76	77.55
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	124	96	77.42
iban1267	Ibanag	Austronesian	Papunesia	177	159	123	77.36
bana1288	Banao Itneg	Austronesian	Papunesia	24	22	17	77.27
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	132	102	77.27
caac1237	Caac	Austronesian	Papunesia	151	136	105	77.21
kava1241	Kavalan	Austronesian	Papunesia	148	136	105	77.21
mala1534	Malaweg	Austronesian	Papunesia	122	114	88	77.19
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	114	88	77.19
ibal1244	Ibaloi	Austronesian	Papunesia	169	149	115	77.18
tbol1240	Tboli	Austronesian	Papunesia	174	153	118	77.12
sali1253	Salinan		North America	141	122	94	77.05
iran1262	Iranun	Austronesian	Papunesia	138	126	97	76.98
pang1290	Pangasinan	Austronesian	Papunesia	169	152	117	76.97
cebu1242	Cebuano	Austronesian	Papunesia	84	78	60	76.92
isna1241	Isnag	Austronesian	Papunesia	163	143	110	76.92
woli1241	Wolio	Austronesian	Papunesia	182	160	123	76.88
kaga1256	Kagayanen	Austronesian	Papunesia	167	147	113	76.87
rung1259	Rungus	Austronesian	Papunesia	137	125	96	76.8
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	125	96	76.8
kaur1267	Kaurna	Pama-Nyungan	Australia	48	43	33	76.74
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	116	89	76.72
rovi1238	Roviana	Austronesian	Papunesia	161	146	112	76.71
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	103	79	76.7
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	120	92	76.67
cham1312	Chamorro	Austronesian	Papunesia	188	167	128	76.65
kala1388	Kalagan	Austronesian	Papunesia	150	137	105	76.64
sout2918	Southern Sama	Austronesian	Papunesia	159	141	108	76.6
thur1254	Thurawal	Pama-Nyungan	Australia	86	81	62	76.54
atam1240	Ata Manobo	Austronesian	Papunesia	160	149	114	76.51
mayk1239	Maykulan	Pama-Nyungan	Australia	152	136	104	76.47
atii1237	Ati	Austronesian	Papunesia	115	106	81	76.42
kawi1241	Kawi	Austronesian	Papunesia	128	118	90	76.27
fili1244	Filipino	Austronesian	Papunesia	186	163	124	76.07
sira1267	Sirayaic	Austronesian	Papunesia	177	154	117	75.97
arta1239	Arta	Austronesian	Papunesia	184	162	123	75.93
yami1254	Yami	Austronesian	Papunesia	194	170	129	75.88
bobo1255	Bobongko	Austronesian	Papunesia	73	66	50	75.76
kunz1244	Kunza		South America	72	70	53	75.71
bala1315	Balantak	Austronesian	Papunesia	178	156	118	75.64
colu1241	Columbia-Wenatchi	Salishan	North America	178	156	118	75.64
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	168	127	75.6
