Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
hala1252	Halang	Austroasiatic	Eurasia	82	80	77	96.25
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	61	93.85
uuuu1243	U	Austroasiatic	Eurasia	139	136	127	93.38
west2397	Western Bru	Austroasiatic	Eurasia	157	154	143	92.86
hung1275	Hung	Austroasiatic	Eurasia	142	136	125	91.91
lave1249	Brao	Austroasiatic	Eurasia	122	120	110	91.67
west2650	Western Cham	Austronesian	Eurasia	151	147	133	90.48
leme1238	Lemerig	Austronesian	Papunesia	164	157	142	90.45
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	185	167	90.27
alor1247	Alorese	Austronesian	Papunesia	168	161	145	90.06
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
mlab1235	Mlabri	Austroasiatic	Eurasia	182	174	156	89.66
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	51	89.47
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	177	158	89.27
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	93	83	89.25
aheu1239	Thavung	Austroasiatic	Eurasia	192	184	164	89.13
shee1238	She	Hmong-Mien	Eurasia	162	156	139	89.1
buga1247	Bugan	Austroasiatic	Eurasia	190	182	162	89.01
mokl1243	Moklen	Austronesian	Eurasia	181	174	154	88.51
lave1248	Laven	Austroasiatic	Eurasia	180	173	153	88.44
piji1239	Pijin	Indo-European	Papunesia	154	147	130	88.44
haro1237	Haroi	Austronesian	Eurasia	95	94	83	88.3
east2485	Eastern Penan	Austronesian	Papunesia	147	145	128	88.28
biha1246	Bih	Austronesian	Eurasia	182	178	157	88.2
phai1238	Prai	Austroasiatic	Eurasia	186	178	157	88.2
huuu1240	Hu	Austroasiatic	Eurasia	175	169	149	88.17
sooo1254	Sô	Austroasiatic	Eurasia	176	169	149	88.17
mang1378	Mang	Austroasiatic	Eurasia	158	152	134	88.16
lach1248	Lachi	Tai-Kadai	Eurasia	167	160	141	88.12
kuyy1240	Kuy	Austroasiatic	Eurasia	174	168	148	88.1
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	142	125	88.03
reng1252	Rengao	Austroasiatic	Eurasia	172	166	146	87.95
tane1237	Tanema	Austronesian	Papunesia	154	149	131	87.92
