Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
boly1239	Bolyu	Austroasiatic	Eurasia	166	157	149	94.9
manm1238	Man Met	Austroasiatic	Eurasia	150	146	137	93.84
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	60	93.75
bitt1240	Bit	Austroasiatic	Eurasia	153	151	141	93.38
sani1269	Sani	Sino-Tibetan	Eurasia	168	159	146	91.82
lave1249	Brao	Austroasiatic	Eurasia	122	111	101	90.99
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	50	90.91
shee1238	She	Hmong-Mien	Eurasia	162	149	135	90.6
hala1252	Halang	Austroasiatic	Eurasia	82	78	70	89.74
mang1378	Mang	Austroasiatic	Eurasia	158	156	140	89.74
west2650	Western Cham	Austronesian	Eurasia	151	135	121	89.63
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	159	142	89.31
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	158	141	89.24
buga1247	Bugan	Austroasiatic	Eurasia	190	167	149	89.22
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	152	135	88.82
mokl1243	Moklen	Austronesian	Eurasia	181	159	141	88.68
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	148	131	88.51
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	147	130	88.44
huuu1240	Hu	Austroasiatic	Eurasia	175	155	137	88.39
kuyy1240	Kuy	Austroasiatic	Eurasia	174	155	137	88.39
thai1261	Thai	Tai-Kadai	Eurasia	101	94	83	88.3
uuuu1243	U	Austroasiatic	Eurasia	139	128	113	88.28
lach1248	Lachi	Tai-Kadai	Eurasia	167	153	135	88.24
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	161	142	88.2
tsat1238	Tsat	Austronesian	Eurasia	183	160	141	88.12
lave1248	Laven	Austroasiatic	Eurasia	180	159	140	88.05
