Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tain1254	Taino	Arawakan	North America	4	3	3	100
suru1261	Suruí Do Pará	Tupian	South America	68	62	55	88.71
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	141	125	88.65
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	7	87.5
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	145	126	86.9
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	149	128	85.91
hrus1242	Hruso		Eurasia	89	85	73	85.88
mara1396	Mararit	Tamaic	Africa	92	85	73	85.88
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	97	83	85.57
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	138	118	85.51
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	88	75	85.23
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	141	120	85.11
saba1268	Sabanê	Nambiquaran	South America	169	139	118	84.89
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	72	61	84.72
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	150	127	84.67
kara1499	Kalamang	West Bomberai	Papunesia	99	91	77	84.62
kaur1267	Kaurna	Pama-Nyungan	Australia	48	39	33	84.62
gang1266	Gangte	Sino-Tibetan	Eurasia	184	149	126	84.56
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	142	120	84.51
chot1239	Chothe	Sino-Tibetan	Eurasia	176	148	125	84.46
chir1283	Chiru	Sino-Tibetan	Eurasia	170	137	115	83.94
tara1313	Tarao	Sino-Tibetan	Eurasia	166	137	115	83.94
pano1255	Panobo	Pano-Tacanan	South America	163	130	109	83.85
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	111	93	83.78
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	140	117	83.57
yawa1260	Yawanawa	Pano-Tacanan	South America	148	127	106	83.46
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	138	115	83.33
ango1257	Angosturas Tunebo	Chibchan	South America	136	113	94	83.19
etru1241	Etruscan		Eurasia	130	101	84	83.17
coch1272	Cochimi	Cochimi-Yuman	North America	89	77	64	83.12
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	100	83	83
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	29	24	82.76
ndom1245	Ndom	Kolopom	Papunesia	74	69	57	82.61
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	19	82.61
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	86	71	82.56
omii1238	Omi	Central Sudanic	Africa	18	17	14	82.35
avac1239	Avá-Canoeiro	Tupian	South America	153	124	102	82.26
cent2126	Central Okinawan	Japonic	Eurasia	153	129	106	82.17
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	122	100	81.97
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	88	72	81.82
west2548	West Damar	Austronesian	Papunesia	163	132	108	81.82
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	120	98	81.67
mill1237	Millcayac	Huarpean	South America	122	108	88	81.48
yong1270	Narua	Sino-Tibetan	Eurasia	160	124	101	81.45
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	128	104	81.25
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	144	117	81.25
yami1256	Yaminahua	Pano-Tacanan	South America	182	144	117	81.25
tama1331	Tama (Chad)	Tamaic	Africa	139	122	99	81.15
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	105	85	80.95
obok1239	Obokuitai	Lakes Plain	Papunesia	157	131	106	80.92
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	141	114	80.85
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	73	59	80.82
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	104	84	80.77
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	135	109	80.74
nkon1248	Nkonya	Atlantic-Congo	Africa	128	109	88	80.73
maru1252	Marúbo	Pano-Tacanan	South America	126	98	79	80.61
kunz1244	Kunza		South America	72	67	54	80.6
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	108	87	80.56
bada1257	Badaga	Dravidian	Eurasia	127	113	91	80.53
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	113	91	80.53
bamb1269	Bambara	Mande	Africa	104	87	70	80.46
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	133	107	80.45
teda1241	Tedaga	Saharan	Africa	160	133	107	80.45
rian1263	Riantana	Kolopom	Papunesia	112	102	82	80.39
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	136	109	80.15
asoa1238	Asoa	Central Sudanic	Africa	94	85	68	80
awab1243	Awabakal	Pama-Nyungan	Australia	67	55	44	80
dizi1235	Dizin	Dizoid	Africa	57	50	40	80
dura1244	Dura	Sino-Tibetan	Eurasia	171	145	116	80
