Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	63	88.73
moun1252	Mountain Koiali	Koiarian	Papunesia	168	148	131	88.51
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	140	120	85.71
nara1262	Nara		Africa	132	117	100	85.47
dizi1235	Dizin	Dizoid	Africa	57	55	47	85.45
apma1241	Ap Ma	Keram	Papunesia	126	113	96	84.96
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	152	129	84.87
esee1247	Ese	Koiarian	Papunesia	75	72	61	84.72
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	143	121	84.62
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	154	130	84.42
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	83	70	84.34
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	51	43	84.31
kara1499	Kalamang	West Bomberai	Papunesia	99	95	80	84.21
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	99	83	83.84
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	83	69	83.13
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	78	82.98
nukn1238	Nukna	Nuclear Trans New Guinea	Papunesia	183	157	130	82.8
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	145	120	82.76
nkor1239	Nkoroo	Ijoid	Africa	54	46	38	82.61
ndom1245	Ndom	Kolopom	Papunesia	74	74	61	82.43
mill1237	Millcayac	Huarpean	South America	122	118	97	82.2
siaw1243	Siawi	Amto-Musan	Papunesia	123	118	97	82.2
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	146	120	82.19
