Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bush1247	Bushoong	Atlantic-Congo	Africa	184	127	125	98.43
suba1238	Suba	Atlantic-Congo	Africa	111	98	96	97.96
nyan1307	Nyankole	Atlantic-Congo	Africa	185	131	128	97.71
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	120	117	97.5
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	127	123	96.85
soli1239	Soli	Atlantic-Congo	Africa	101	80	77	96.25
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	118	113	95.76
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	109	104	95.41
nyor1246	Nyoro	Atlantic-Congo	Africa	180	130	124	95.38
belu1239	Belueli	Atlantic-Congo	Africa	73	64	61	95.31
luya1241	Luyi	Atlantic-Congo	Africa	172	128	122	95.31
tote1238	Totela	Atlantic-Congo	Africa	161	126	120	95.24
koti1238	Koti	Atlantic-Congo	Africa	182	130	123	94.62
yaoo1241	Yao	Atlantic-Congo	Africa	137	105	99	94.29
zinz1238	Zinza	Atlantic-Congo	Africa	106	84	79	94.05
soga1242	Soga	Atlantic-Congo	Africa	181	130	122	93.85
kala1384	Kalanga	Atlantic-Congo	Africa	164	123	115	93.5
pang1287	Pangwa	Atlantic-Congo	Africa	167	122	114	93.44
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	72	67	93.06
haaa1252	Ha	Atlantic-Congo	Africa	187	128	119	92.97
gwen1239	Gweno	Atlantic-Congo	Africa	135	112	104	92.86
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	69	64	92.75
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	108	100	92.59
gusi1247	Gusii	Atlantic-Congo	Africa	173	121	112	92.56
here1253	Herero	Atlantic-Congo	Africa	187	132	122	92.42
tuki1240	Tuki	Atlantic-Congo	Africa	160	129	119	92.25
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	74	68	91.89
swah1253	Swahili	Atlantic-Congo	Africa	178	122	112	91.8
nsen1242	Nsenga	Atlantic-Congo	Africa	160	121	111	91.74
bond1247	Bondei	Atlantic-Congo	Africa	151	108	99	91.67
loba1239	Lobala	Atlantic-Congo	Africa	98	84	77	91.67
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	119	109	91.6
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	94	86	91.49
lito1235	Litoka	Atlantic-Congo	Africa	97	82	75	91.46
hehe1240	Hehe	Atlantic-Congo	Africa	144	112	102	91.07
mako1251	Makonde	Atlantic-Congo	Africa	164	121	110	90.91
liki1240	Balobo	Atlantic-Congo	Africa	99	86	78	90.7
mbol1247	Mbole	Atlantic-Congo	Africa	89	64	58	90.62
sham1280	Shambala	Atlantic-Congo	Africa	118	96	87	90.62
mpot1240	Mpoto	Atlantic-Congo	Africa	173	126	114	90.48
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	115	104	90.43
elip1238	Elip	Atlantic-Congo	Africa	111	94	85	90.43
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	124	112	90.32
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	133	120	90.23
mong1338	Mongo	Atlantic-Congo	Africa	124	92	83	90.22
holo1240	Holoholo	Atlantic-Congo	Africa	144	101	91	90.1
libi1244	Libinza	Atlantic-Congo	Africa	134	101	91	90.1
bomb1262	Bomboma	Atlantic-Congo	Africa	119	100	90	90
homa1239	Homa	Atlantic-Congo	Africa	14	10	9	90
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	119	107	89.92
kagu1239	Kagulu	Atlantic-Congo	Africa	186	128	115	89.84
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	107	96	89.72
jita1239	Jita	Atlantic-Congo	Africa	75	68	61	89.71
makw1236	Makwe	Atlantic-Congo	Africa	86	67	60	89.55
budz1238	Budza	Atlantic-Congo	Africa	166	124	111	89.52
osam1235	Osamayi	Atlantic-Congo	Africa	105	93	83	89.25
toor1238	Tooro	Atlantic-Congo	Africa	184	130	116	89.23
lumb1249	Lumbu	Atlantic-Congo	Africa	146	111	99	89.19
