Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
osam1235	Osamayi	Atlantic-Congo	Africa	105	79	73	92.41
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	43	39	90.7
yasa1242	Yasa	Atlantic-Congo	Africa	101	84	76	90.48
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	27	24	88.89
orok1266	Oroko	Atlantic-Congo	Africa	139	104	92	88.46
elip1238	Elip	Atlantic-Congo	Africa	111	85	75	88.24
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	51	45	88.24
bekw1242	Bekwil	Atlantic-Congo	Africa	100	84	74	88.1
buku1249	Bukusu	Atlantic-Congo	Africa	52	42	37	88.1
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	84	74	88.1
maka1304	Makaa	Atlantic-Congo	Africa	159	109	96	88.07
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	116	102	87.93
suba1238	Suba	Atlantic-Congo	Africa	111	91	80	87.91
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	121	106	87.6
bond1247	Bondei	Atlantic-Congo	Africa	151	102	89	87.25
libi1244	Libinza	Atlantic-Congo	Africa	134	91	79	86.81
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	59	51	86.44
tsog1243	Tsogo	Atlantic-Congo	Africa	167	118	102	86.44
lumb1249	Lumbu	Atlantic-Congo	Africa	146	102	88	86.27
yinc1238	Yinchia	Austroasiatic	Eurasia	65	51	44	86.27
meru1245	Meru	Atlantic-Congo	Africa	162	109	94	86.24
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	107	92	85.98
lika1243	Liko	Atlantic-Congo	Africa	165	114	98	85.96
bafu1246	Bafut	Atlantic-Congo	Africa	190	133	114	85.71
belu1239	Belueli	Atlantic-Congo	Africa	73	63	54	85.71
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	6	85.71
jjuu1238	Jju	Atlantic-Congo	Africa	85	63	54	85.71
lito1235	Litoka	Atlantic-Congo	Africa	97	70	60	85.71
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	105	90	85.71
papa1268	Papar	Austronesian	Papunesia	47	28	24	85.71
tune1261	Tunen	Atlantic-Congo	Africa	98	70	60	85.71
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	83	71	85.54
