Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
etru1241	Etruscan		Eurasia	130	121	105	86.78
melo1242	Melo	Ta-Ne-Omotic	Africa	163	148	128	86.49
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	133	113	84.96
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	160	135	84.38
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	134	113	84.33
siaw1243	Siawi	Amto-Musan	Papunesia	123	114	96	84.21
qima1242	Qimant	Afro-Asiatic	Africa	166	156	131	83.97
korr1238	Korra Koraga	Dravidian	Eurasia	133	124	104	83.87
defa1248	Defaka	Ijoid	Africa	75	68	57	83.82
nara1262	Nara		Africa	132	117	98	83.76
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	114	95	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
chen1255	Chenchu	Dravidian	Eurasia	180	165	137	83.03
nkor1239	Nkoroo	Ijoid	Africa	54	47	39	82.98
even1260	Even	Tungusic	Eurasia	141	129	107	82.95
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	162	134	82.72
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	172	142	82.56
kota1263	Kota (India)	Dravidian	Eurasia	158	143	118	82.52
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	171	141	82.46
tulu1258	Tulu	Dravidian	Eurasia	163	148	122	82.43
dime1235	Dime	South Omotic	Africa	52	51	42	82.35
muth1236	Muthuvan	Dravidian	Eurasia	143	130	107	82.31
dizi1235	Dizin	Dizoid	Africa	57	56	46	82.14
mari1414	Maria (India)	Dravidian	Eurasia	119	112	92	82.14
mala1463	Malavedan	Dravidian	Eurasia	163	153	125	81.7
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	158	129	81.65
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	141	115	81.56
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	157	128	81.53
toda1252	Toda	Dravidian	Eurasia	139	128	104	81.25
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	154	125	81.17
tama1331	Tama (Chad)	Tamaic	Africa	139	122	99	81.15
shol1240	Sholaga	Dravidian	Eurasia	172	159	129	81.13
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	127	103	81.1
dand1238	Dandami Maria	Dravidian	Eurasia	161	148	120	81.08
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	95	77	81.05
tuvi1240	Tuvinian	Turkic	Eurasia	154	137	111	81.02
skol1241	Skolt Saami	Uralic	Eurasia	192	172	139	80.81
umes1235	Ume Saami	Uralic	Eurasia	183	165	133	80.61
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	139	112	80.58
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	175	141	80.57
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	159	128	80.5
tata1255	Tatar	Turkic	Eurasia	176	159	128	80.5
mudu1239	Muduga	Dravidian	Eurasia	161	153	123	80.39
maga1260	Magahi	Indo-European	Eurasia	136	117	94	80.34
koya1251	Koya	Dravidian	Eurasia	137	122	98	80.33
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	66	53	80.3
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	147	118	80.27
yona1241	Yonaguni	Japonic	Eurasia	164	151	121	80.13
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	140	112	80
even1259	Evenki	Tungusic	Eurasia	158	145	116	80
negi1245	Negidal	Tungusic	Eurasia	160	145	116	80
saur1249	Sauria Paharia	Dravidian	Eurasia	179	160	128	80
sout2674	South Saami	Uralic	Eurasia	195	175	140	80
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	164	131	79.88
koda1255	Kodava	Dravidian	Eurasia	182	164	131	79.88
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	63	79.75
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	132	105	79.55
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	83	66	79.52
garo1247	Garo	Sino-Tibetan	Eurasia	164	145	115	79.31
