Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	40	86.96
cori1240	Cori	Atlantic-Congo	Africa	139	137	118	86.13
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	51	43	84.31
sici1249	Sìcìté Sénoufo	Atlantic-Congo	Africa	143	141	117	82.98
fare1241	Farefare	Atlantic-Congo	Africa	174	173	143	82.66
dagb1246	Dagbani	Atlantic-Congo	Africa	177	175	144	82.29
hala1252	Halang	Austroasiatic	Eurasia	82	82	67	81.71
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	162	132	81.48
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
baga1273	Baga Koga	Atlantic-Congo	Africa	104	104	84	80.77
mpad1242	Mpade	Afro-Asiatic	Africa	187	185	149	80.54
humb1243	Humburi Senni Songhay	Songhay	Africa	167	164	132	80.49
saya1246	Saya	Afro-Asiatic	Africa	121	121	97	80.17
sele1249	Selee	Atlantic-Congo	Africa	128	126	101	80.16
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	165	132	80
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	167	133	79.64
dyul1238	Dyula	Mande	Africa	157	157	125	79.62
waim1252	Waima'a	Austronesian	Papunesia	144	144	114	79.17
sini1242	Sininkere	Mande	Africa	125	124	98	79.03
bekw1242	Bekwil	Atlantic-Congo	Africa	100	99	78	78.79
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	174	137	78.74
tond1249	Tondi Songway Kiini	Songhay	Africa	172	169	133	78.7
land1256	Landoma	Atlantic-Congo	Africa	137	136	107	78.68
homa1239	Homa	Atlantic-Congo	Africa	14	14	11	78.57
loba1239	Lobala	Atlantic-Congo	Africa	98	98	77	78.57
soni1259	Soninke	Mande	Africa	127	126	99	78.57
nati1243	Natioro	Atlantic-Congo	Africa	51	51	40	78.43
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	190	149	78.42
abar1238	Mungbam	Atlantic-Congo	Africa	180	176	138	78.41
dege1246	Degema	Atlantic-Congo	Africa	189	185	145	78.38
keme1240	Kemezung	Atlantic-Congo	Africa	135	134	105	78.36
esim1238	Esimbi	Atlantic-Congo	Africa	154	152	119	78.29
chak1271	Chakali	Atlantic-Congo	Africa	191	187	146	78.07
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	187	146	78.07
abun1252	Abun		Papunesia	195	191	149	78.01
berb1259	Berbice Creole Dutch	Indo-European	South America	170	167	130	77.84
gade1242	Gade	Atlantic-Congo	Africa	178	176	137	77.84
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	189	147	77.78
nawu1242	Nawuri	Atlantic-Congo	Africa	182	180	140	77.78
mamb1306	Mambae	Austronesian	Papunesia	169	166	129	77.71
tumu1242	Tumulung Sisaala	Atlantic-Congo	Africa	95	94	73	77.66
ndob1238	Ndobo	Atlantic-Congo	Africa	85	85	66	77.65
noon1243	Noone	Atlantic-Congo	Africa	172	170	132	77.65
sout2826	Southern Grebo	Kru	Africa	85	85	66	77.65
siam1242	Siamou		Africa	134	134	104	77.61
bang1363	Bangime		Africa	127	125	97	77.6
kute1248	Kutep	Atlantic-Congo	Africa	163	160	124	77.5
anuf1239	Anufo	Atlantic-Congo	Africa	162	159	123	77.36
fonn1241	Fon	Atlantic-Congo	Africa	189	185	143	77.3
gaaa1245	Gaa	Atlantic-Congo	Africa	79	79	61	77.22
mund1326	Mündü	Atlantic-Congo	Africa	120	118	91	77.12
jjuu1238	Jju	Atlantic-Congo	Africa	85	83	64	77.11
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	131	101	77.1
siwu1238	Siwu	Atlantic-Congo	Africa	87	87	67	77.01
tsog1243	Tsogo	Atlantic-Congo	Africa	167	165	127	76.97
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	26	20	76.92
maba1277	Maba (Chad)	Maban	Africa	172	169	130	76.92
moba1244	Moba	Atlantic-Congo	Africa	185	182	140	76.92
zarm1239	Zarma	Songhay	Africa	189	185	142	76.76
kimm1246	Kim	Atlantic-Congo	Africa	129	129	99	76.74
bafu1246	Bafut	Atlantic-Congo	Africa	190	189	145	76.72
lika1243	Liko	Atlantic-Congo	Africa	165	163	125	76.69
masa1322	Masana	Afro-Asiatic	Africa	188	184	141	76.63
baba1266	Babanki	Atlantic-Congo	Africa	159	157	120	76.43
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	157	120	76.43
bure1242	Bure	Afro-Asiatic	Africa	124	123	94	76.42
tafi1243	Tafi	Atlantic-Congo	Africa	93	93	71	76.34
bent1238	Ben Tey Dogon	Dogon	Africa	170	169	129	76.33
kolc1235	Kol (Cameroon)	Atlantic-Congo	Africa	170	169	129	76.33
west2397	Western Bru	Austroasiatic	Eurasia	157	156	119	76.28
maba1270	Mabaale	Atlantic-Congo	Africa	118	118	90	76.27
mend1266	Mende (Sierra Leone)	Mande	Africa	80	80	61	76.25
timn1235	Timne	Atlantic-Congo	Africa	166	164	125	76.22
aoua1234	A'ou	Tai-Kadai	Eurasia	187	184	140	76.09
sekp1241	Sekpele	Atlantic-Congo	Africa	94	92	70	76.09
rade1240	Rade	Austronesian	Eurasia	167	163	124	76.07
vunj1238	Vunjo	Atlantic-Congo	Africa	165	163	124	76.07
lave1249	Brao	Austroasiatic	Eurasia	122	121	92	76.03
ndun1249	Ndunga	Atlantic-Congo	Africa	127	125	95	76
buga1247	Bugan	Austroasiatic	Eurasia	190	187	142	75.94
molo1266	Moloko	Afro-Asiatic	Africa	109	108	82	75.93
limo1249	Limonese Creole	Indo-European	North America	143	141	107	75.89
cici1237	Cicipu	Atlantic-Congo	Africa	172	170	129	75.88
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	170	129	75.88
gyel1242	Gyele	Atlantic-Congo	Africa	190	186	141	75.81
gebe1237	Gebe	Austronesian	Papunesia	129	128	97	75.78
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	169	128	75.74
sout2782	South Fali	Atlantic-Congo	Africa	177	173	131	75.72
ache1245	Acheron	Narrow Talodi	Africa	120	119	90	75.63
ewee1241	Ewe	Atlantic-Congo	Africa	162	160	121	75.62
avat1244	Avatime	Atlantic-Congo	Africa	130	127	96	75.59
kagf1238	Ut-Main	Atlantic-Congo	Africa	86	86	65	75.58
viet1252	Vietnamese	Austroasiatic	Eurasia	140	139	105	75.54
iqui1243	Iquito	Zaparoan	South America	116	114	86	75.44
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	114	86	75.44
ngas1240	Ngas	Afro-Asiatic	Africa	176	175	132	75.43
naue1237	Nauete	Austronesian	Papunesia	183	179	135	75.42
paaa1242	Pa'a	Afro-Asiatic	Africa	183	179	135	75.42
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	49	75.38
belu1239	Belueli	Atlantic-Congo	Africa	73	73	55	75.34
bamu1253	Bamun	Atlantic-Congo	Africa	159	158	119	75.32
kweg1241	Kwegu	Surmic	Africa	162	158	119	75.32
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	162	122	75.31
huaa1248	East Taa	Tuu	Africa	164	162	122	75.31
