Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	23	20	86.96
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	70	60	85.71
chac1249	Cha'palaa	Barbacoan	South America	91	40	34	85
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	73	61	83.56
misk1235	Mískito	Misumalpan	North America	162	79	66	83.54
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
opat1246	Teguima	Uto-Aztecan	North America	120	65	54	83.08
esee1247	Ese	Koiarian	Papunesia	75	41	34	82.93
avok1242	Avokaya	Central Sudanic	Africa	122	64	53	82.81
koit1244	Koitabu	Koiarian	Papunesia	168	84	69	82.14
sile1255	Sirva	Nuclear Trans New Guinea	Papunesia	157	77	63	81.82
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	71	58	81.69
mund1326	Mündü	Atlantic-Congo	Africa	120	75	61	81.33
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	80	65	81.25
bond1245	Bondo	Austroasiatic	Eurasia	152	73	59	80.82
eude1234	Eudeve	Uto-Aztecan	North America	153	78	63	80.77
monn1252	Mon	Austroasiatic	Eurasia	91	52	42	80.77
shua1257	Shuar	Chicham	South America	147	78	63	80.77
tere1278	Terei	South Bougainville	Papunesia	60	36	29	80.56
woun1238	Woun Meu	Chocoan	South America	150	72	58	80.56
geda1237	Gedaged	Austronesian	Papunesia	151	82	66	80.49
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	82	66	80.49
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	46	37	80.43
kark1258	Karkar-Yuri	Pauwasi	Papunesia	132	71	57	80.28
epen1239	Epena	Chocoan	South America	157	76	61	80.26
ngab1239	Ngäbere	Chibchan	North America	165	81	65	80.25
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	81	65	80.25
mais1250	Maisin	Austronesian	Papunesia	176	86	69	80.23
juho1239	South-Eastern Ju	Kxa	Africa	57	25	20	80
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	50	40	80
nkor1239	Nkoroo	Ijoid	Africa	54	20	16	80
nucl1630	Barai	Koiarian	Papunesia	168	80	64	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	20	16	80
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	85	68	80
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	15	12	80
naru1238	Narungga	Pama-Nyungan	Australia	106	59	47	79.66
bela1256	Belanda Bor	Nilotic	Africa	76	49	39	79.59
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	49	39	79.59
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	49	39	79.59
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	49	39	79.59
nukn1238	Nukna	Nuclear Trans New Guinea	Papunesia	183	83	66	79.52
embe1260	Emberá-Catío	Chocoan	South America	164	78	62	79.49
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	43	34	79.07
moun1252	Mountain Koiali	Koiarian	Papunesia	168	81	64	79.01
pima1248	Pima Bajo	Uto-Aztecan	North America	163	81	64	79.01
yaka1277	Yakan	Austronesian	Papunesia	178	81	64	79.01
iaai1238	Iaai	Austronesian	Papunesia	178	85	67	78.82
suru1261	Suruí Do Pará	Tupian	South America	68	33	26	78.79
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	80	63	78.75
lule1238	Lule		South America	146	80	63	78.75
ngul1236	Nguluwan	Austronesian	Papunesia	56	47	37	78.72
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	47	37	78.72
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	75	59	78.67
nort2972	Northern Emberá	Chocoan	South America	167	79	62	78.48
yare1248	Yareba	Yareban	Papunesia	159	79	62	78.48
apma1241	Ap Ma	Keram	Papunesia	126	65	51	78.46
dard1243	Dar Daju Daju	Dajuic	Africa	93	65	51	78.46
marg1265	Marghi Central	Afro-Asiatic	Africa	184	88	69	78.41
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	83	65	78.31
gara1269	Garrwa	Garrwan	Australia	94	46	36	78.26
raut1239	Raute	Sino-Tibetan	Eurasia	133	69	54	78.26
iatm1242	Iatmul	Ndu	Papunesia	191	87	68	78.16
bilb1241	Bilibil	Austronesian	Papunesia	141	73	57	78.08
tera1251	Tera	Afro-Asiatic	Africa	152	73	57	78.08
lugb1240	Lugbara	Central Sudanic	Africa	165	82	64	78.05
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	68	53	77.94
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	68	53	77.94
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	77	60	77.92
orok1265	Orok	Tungusic	Eurasia	151	77	60	77.92
yaqu1251	Yaqui	Uto-Aztecan	North America	162	86	67	77.91
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	72	56	77.78
maku1277	Maku'a	Austronesian	Papunesia	29	18	14	77.78
