Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	159	142	89.31
humb1243	Humburi Senni Songhay	Songhay	Africa	167	157	140	89.17
tond1249	Tondi Songway Kiini	Songhay	Africa	172	162	142	87.65
cent1972	Central Kurdish	Indo-European	Eurasia	15	8	7	87.5
ngul1236	Nguluwan	Austronesian	Papunesia	56	46	40	86.96
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	38	33	86.84
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
mans1260	Mansim	Hatam-Mansim	Papunesia	71	61	52	85.25
homa1239	Homa	Atlantic-Congo	Africa	14	13	11	84.62
dyul1238	Dyula	Mande	Africa	157	135	114	84.44
yako1252	Yakoma	Atlantic-Congo	Africa	143	121	102	84.3
hala1252	Halang	Austroasiatic	Eurasia	82	68	57	83.82
kimm1246	Kim	Atlantic-Congo	Africa	129	123	103	83.74
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
siam1242	Siamou		Africa	134	126	105	83.33
sini1242	Sininkere	Mande	Africa	125	119	99	83.19
bamb1269	Bambara	Mande	Africa	104	101	84	83.17
anuf1239	Anufo	Atlantic-Congo	Africa	162	141	117	82.98
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	127	105	82.68
mend1266	Mende (Sierra Leone)	Mande	Africa	80	75	62	82.67
soni1259	Soninke	Mande	Africa	127	121	100	82.64
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	23	19	82.61
cani1243	Canichana		South America	50	46	38	82.61
beli1260	Belize Kriol English	Indo-European	North America	130	120	99	82.5
mort1237	Mortlockese	Austronesian	Papunesia	141	136	112	82.35
mand1436	Mandinka	Mande	Africa	137	130	107	82.31
west2397	Western Bru	Austroasiatic	Eurasia	157	135	111	82.22
oldm1243	Old Malay	Austronesian	Papunesia	119	101	83	82.18
abun1252	Abun		Papunesia	195	168	138	82.14
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	134	110	82.09
nati1243	Natioro	Atlantic-Congo	Africa	51	44	36	81.82
nawu1242	Nawuri	Atlantic-Congo	Africa	182	159	130	81.76
waim1252	Waima'a	Austronesian	Papunesia	144	126	103	81.75
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	76	62	81.58
oroh1237	Oroha	Austronesian	Papunesia	118	103	84	81.55
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	167	136	81.44
mund1326	Mündü	Atlantic-Congo	Africa	120	102	83	81.37
kima1246	Kimaama	Kolopom	Papunesia	92	80	65	81.25
kren1239	Krenak	Nuclear-Macro-Je	South America	111	96	78	81.25
busa1253	Busa	Mande	Africa	171	149	121	81.21
bolg1251	Bolgo	Atlantic-Congo	Africa	78	74	60	81.08
buhu1237	Buhutu	Austronesian	Papunesia	134	116	94	81.03
cori1240	Cori	Atlantic-Congo	Africa	139	121	98	80.99
fonn1241	Fon	Atlantic-Congo	Africa	189	162	131	80.86
zarm1239	Zarma	Songhay	Africa	189	162	131	80.86
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	141	114	80.85
bang1363	Bangime		Africa	127	120	97	80.83
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	139	112	80.58
noon1243	Noone	Atlantic-Congo	Africa	172	153	123	80.39
yinc1238	Yinchia	Austroasiatic	Eurasia	65	51	41	80.39
bagi1246	Bagirmi	Central Sudanic	Africa	167	158	127	80.38
daka1243	Dakaka	Austronesian	Papunesia	187	163	131	80.37
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	167	134	80.24
furu1242	Furu	Central Sudanic	Africa	127	111	89	80.18
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	126	101	80.16
tera1251	Tera	Afro-Asiatic	Africa	152	131	105	80.15
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
koro1298	Koromfé	Atlantic-Congo	Africa	191	165	132	80
maku1277	Maku'a	Austronesian	Papunesia	29	25	20	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	150	120	80
bafu1246	Bafut	Atlantic-Congo	Africa	190	164	131	79.88
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	129	103	79.84
lule1238	Lule		South America	146	129	103	79.84
mann1248	Mann	Mande	Africa	124	119	95	79.83
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	109	87	79.82
tagw1240	Tagwana Senoufo	Atlantic-Congo	Africa	115	104	83	79.81
west2417	Western Muya	Sino-Tibetan	Eurasia	112	104	83	79.81
cent1989	Central Khmer	Austroasiatic	Eurasia	177	153	122	79.74
kens1248	Kensiu	Austroasiatic	Eurasia	164	148	118	79.73
moki1238	Mokilese	Austronesian	Papunesia	171	148	118	79.73
oldm1242	Old Mon	Austroasiatic	Eurasia	171	148	118	79.73
limo1249	Limonese Creole	Indo-European	North America	143	133	106	79.7
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	128	102	79.69
ewee1241	Ewe	Atlantic-Congo	Africa	162	152	121	79.61
nort3047	North Giziga	Afro-Asiatic	Africa	176	152	121	79.61
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	132	105	79.55
cent2150	Central Tunebo	Chibchan	South America	159	151	120	79.47
lauu1247	Lau	Austronesian	Papunesia	141	121	96	79.34
jalk1242	Jalkunan	Mande	Africa	172	150	119	79.33
ngba1285	Ngbaka Minagende	Atlantic-Congo	Africa	168	145	115	79.31
