Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	8	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	4	4	100
gung1248	Gungabula	Pama-Nyungan	Australia	44	33	31	93.94
suru1262	Suruí	Tupian	South America	18	14	13	92.86
avok1242	Avokaya	Central Sudanic	Africa	122	73	66	90.41
para1311	Paraguayan Guaraní	Tupian	South America	54	30	27	90
west2417	Western Muya	Sino-Tibetan	Eurasia	112	72	64	88.89
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	87	76	87.36
umot1240	Umotína	Bororoan	South America	73	63	55	87.3
buhu1237	Buhutu	Austronesian	Papunesia	134	92	80	86.96
mani1235	Sougb	East Bird's Head	Papunesia	122	84	73	86.9
west2600	West Makian	North Halmahera	Papunesia	151	99	86	86.87
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	91	79	86.81
kove1237	Kove	Austronesian	Papunesia	180	106	92	86.79
mans1260	Mansim	Hatam-Mansim	Papunesia	71	60	52	86.67
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	44	38	86.36
chib1270	Chibcha	Chibchan	South America	148	87	75	86.21
kari1311	Karitiâna	Tupian	South America	160	101	87	86.14
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	72	62	86.11
matb1237	Matbat	Austronesian	Papunesia	154	99	85	85.86
lusi1240	Lusi	Austronesian	Papunesia	144	91	78	85.71
rian1263	Riantana	Kolopom	Papunesia	112	84	72	85.71
bari1286	Bariai	Austronesian	Papunesia	176	103	88	85.44
siri1273	Sirionó	Tupian	South America	169	103	88	85.44
kair1263	Kairiru	Austronesian	Papunesia	73	48	41	85.42
kima1246	Kimaama	Kolopom	Papunesia	92	74	63	85.14
kara1476	Karadjeri	Pama-Nyungan	Australia	67	40	34	85
luan1263	Luang	Austronesian	Papunesia	173	100	85	85
tane1237	Tanema	Austronesian	Papunesia	154	93	79	84.95
papa1265	Papapana	Austronesian	Papunesia	188	105	89	84.76
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	11	84.62
macu1259	Macushi	Cariban	South America	66	39	33	84.62
mato1252	Mato	Austronesian	Papunesia	169	103	87	84.47
coah1252	Coahuilteco		North America	129	90	76	84.44
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	45	38	84.44
cent2058	Central Maewo	Austronesian	Papunesia	110	64	54	84.38
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	96	81	84.38
guri1248	Guriaso		Papunesia	24	19	16	84.21
waja1257	Wajarri	Pama-Nyungan	Australia	65	38	32	84.21
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	106	89	83.96
yukp1241	Yukpa	Cariban	South America	106	81	68	83.95
