Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kaur1267	Kaurna	Pama-Nyungan	Australia	48	47	44	93.62
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	28	90.32
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	57	51	89.47
nyun1247	Nyunga	Pama-Nyungan	Australia	26	26	23	88.46
awab1243	Awabakal	Pama-Nyungan	Australia	67	66	58	87.88
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	72	63	87.5
gung1248	Gungabula	Pama-Nyungan	Australia	44	44	38	86.36
wira1265	Wirangu	Pama-Nyungan	Australia	66	65	56	86.15
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	135	116	85.93
jaru1254	Jaru	Pama-Nyungan	Australia	61	60	51	85
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	78	66	84.62
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	90	76	84.44
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	69	58	84.06
arab1267	Arabana	Pama-Nyungan	Australia	62	62	52	83.87
kara1476	Karadjeri	Pama-Nyungan	Australia	67	67	56	83.58
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
pana1305	Panamint	Uto-Aztecan	North America	41	40	33	82.5
alya1239	Alyawarr	Pama-Nyungan	Australia	68	68	56	82.35
dizi1235	Dizin	Dizoid	Africa	57	56	46	82.14
bula1255	Bularnu	Pama-Nyungan	Australia	114	114	93	81.58
djin1253	Djinang	Pama-Nyungan	Australia	59	59	48	81.36
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	75	61	81.33
thur1254	Thurawal	Pama-Nyungan	Australia	86	85	69	81.18
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	154	125	81.17
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	153	124	81.05
gana1278	Ganai	Pama-Nyungan	Australia	53	52	42	80.77
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	149	120	80.54
