Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
apol1242	Apolista	Arawakan	South America	14	14	11	78.57
dobe1238	Dobel	Austronesian	Papunesia	145	132	101	76.52
guat1253	Guató		South America	127	122	93	76.23
ughe1237	Ughele	Austronesian	Papunesia	182	167	127	76.05
toab1237	To'abaita	Austronesian	Papunesia	193	173	131	75.72
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	106	80	75.47
yavi1244	Yavitero-Pareni	Arawakan	South America	117	106	80	75.47
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	56	42	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
stan1318	Standard Arabic	Afro-Asiatic	Eurasia	167	152	114	75
mudu1242	Muduapa	Austronesian	Papunesia	186	168	125	74.4
abip1241	Abipon	Guaicuruan	South America	129	121	90	74.38
ndam1251	Ndam	Afro-Asiatic	Africa	41	39	29	74.36
high1243	Highland Totonac	Totonacan	North America	120	113	84	74.34
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	31	23	74.19
leng1259	Lengo	Austronesian	Papunesia	172	155	115	74.19
rovi1238	Roviana	Austronesian	Papunesia	161	153	113	73.86
piap1246	Piapoco	Arawakan	South America	59	53	39	73.58
sali1253	Salinan		North America	141	121	89	73.55
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	132	97	73.48
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	11	73.33
hoav1238	Hoava	Austronesian	Papunesia	176	165	121	73.33
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	172	126	73.26
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	93	68	73.12
bwat1240	Bwatoo	Austronesian	Papunesia	188	170	124	72.94
para1316	Paraujano	Arawakan	South America	53	48	35	72.92
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	166	121	72.89
nort2864	Wemale	Austronesian	Papunesia	76	70	51	72.86
nang1262	Nanggu	Austronesian	Papunesia	162	151	110	72.85
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	151	110	72.85
moni1237	Mangue	Otomanguean	North America	84	81	59	72.84
bana1288	Banao Itneg	Austronesian	Papunesia	24	22	16	72.73
tekt1235	Tektiteko	Mayan	North America	170	154	112	72.73
gela1263	Gela	Austronesian	Papunesia	181	168	122	72.62
wood1236	Woods Cree	Algic	North America	162	146	106	72.6
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	113	82	72.57
wari1268	Wari'	Chapacuran	South America	184	164	119	72.56
auuu1241	Au	Nuclear Torricelli	Papunesia	159	149	108	72.48
malt1254	Maltese	Afro-Asiatic	Eurasia	173	156	113	72.44
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	130	94	72.31
lauu1247	Lau	Austronesian	Papunesia	141	130	94	72.31
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	166	120	72.29
ghar1239	Ghari	Austronesian	Papunesia	151	144	104	72.22
timu1262	Timugon Murut	Austronesian	Papunesia	153	140	101	72.14
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	165	119	72.12
kwai1243	Kwaio	Austronesian	Papunesia	191	172	124	72.09
reye1240	Reyesano	Pano-Tacanan	South America	139	129	93	72.09
egyp1253	Egyptian Arabic	Afro-Asiatic	Africa	166	150	108	72
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	125	90	72
kili1267	Kilivila	Austronesian	Papunesia	187	171	123	71.93
pila1245	Pilagá	Guaicuruan	South America	183	167	120	71.86
uppe1439	Upper Chehalis	Salishan	North America	164	149	107	71.81
mini1251	Minigir	Austronesian	Papunesia	178	163	117	71.78
buki1249	Bukiyip	Nuclear Torricelli	Papunesia	90	85	61	71.76
koko1269	Kokota	Austronesian	Papunesia	190	170	122	71.76
tama1365	Tamasheq	Afro-Asiatic	Africa	186	170	122	71.76
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	138	99	71.74
mamm1241	Mam	Mayan	North America	179	159	114	71.7
wayu1243	Wayuu	Arawakan	South America	117	106	76	71.7
acha1250	Achagua	Arawakan	South America	124	113	81	71.68
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	127	91	71.65
limo1249	Limonese Creole	Indo-European	North America	143	134	96	71.64
moco1246	Mocoví	Guaicuruan	South America	169	148	106	71.62
surs1246	Sursurunga	Austronesian	Papunesia	159	148	106	71.62
tong1308	Maniq	Austroasiatic	Eurasia	163	148	106	71.62
sooo1256	Soo	Kuliak	Africa	82	81	58	71.6
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	151	108	71.52
jeha1242	Jehai	Austroasiatic	Eurasia	162	151	108	71.52
sand1278	San Dionisio del Mar Huave	Huavean	North America	184	165	118	71.52
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	140	100	71.43
ilaa1246	Ila	Atlantic-Congo	Africa	124	112	80	71.43
tari1263	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Afro-Asiatic	Africa	151	140	100	71.43
papa1238	Papantla Totonac	Totonacan	North America	128	122	87	71.31
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	132	94	71.21
lamo1244	Lamogai	Austronesian	Papunesia	135	125	89	71.2
chiq1248	Lomeriano-Ignaciano Chiquitano	Chiquitano	South America	166	149	106	71.14
loup1243	Loup A	Algic	North America	132	121	86	71.07
chek1238	Cheke Holo	Austronesian	Papunesia	167	152	108	71.05
liby1240	Libyan Arabic	Afro-Asiatic	Africa	167	152	108	71.05
taha1241	Tahaggart Tamahaq	Afro-Asiatic	Africa	176	162	115	70.99
siwi1239	Siwi	Afro-Asiatic	Africa	168	151	107	70.86
mbya1239	Mbyá Guaraní	Tupian	South America	161	144	102	70.83
cham1312	Chamorro	Austronesian	Papunesia	188	171	121	70.76
sout2896	Eastern Atadei	Austronesian	Papunesia	116	106	75	70.75
lave1248	Laven	Austroasiatic	Eurasia	180	164	116	70.73
long1395	Longgu	Austronesian	Papunesia	151	140	99	70.71
murl1244	Murle	Surmic	Africa	175	157	111	70.7
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	133	94	70.68
yuca1254	Yucatec Maya	Mayan	North America	189	170	120	70.59
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	153	108	70.59
tenn1246	Tennet	Surmic	Africa	158	146	103	70.55
saki1248	Mekens	Tupian	South America	139	129	91	70.54
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	122	86	70.49
movi1243	Movima		South America	167	149	105	70.47
nort3139	North Levantine Arabic	Afro-Asiatic	Eurasia	163	149	105	70.47
temi1246	Temiar	Austroasiatic	Eurasia	167	149	105	70.47
mada1285	Madak	Austronesian	Papunesia	176	159	112	70.44
seve1240	Severn Ojibwa	Algic	North America	176	159	112	70.44
belu1239	Belueli	Atlantic-Congo	Africa	73	71	50	70.42
paco1243	Pacoh	Austroasiatic	Eurasia	188	169	119	70.41
penr1237	Māngarongaro	Austronesian	Papunesia	117	108	76	70.37
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	118	83	70.34
kaby1243	Kabyle	Afro-Asiatic	Africa	65	64	45	70.31
akoo1248	Akoose	Atlantic-Congo	Africa	185	165	116	70.3
pala1344	Palauan	Austronesian	Papunesia	184	165	116	70.3
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	138	97	70.29
maco1239	Maco	Saliban	South America	163	148	104	70.27
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	148	104	70.27
high1276	Highland Popoluca	Mixe-Zoque	North America	186	168	118	70.24
niua1240	Niuafo'ou	Austronesian	Papunesia	182	168	118	70.24
niva1238	Nivaclé	Matacoan	South America	188	168	118	70.24
ghan1242	Ghanongga	Austronesian	Papunesia	166	151	106	70.2
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	151	106	70.2
west2516	West Uvean	Austronesian	Papunesia	189	171	120	70.18
yuch1247	Yuchi		North America	175	154	108	70.13
miam1252	Miami	Algic	North America	120	107	75	70.09
hung1275	Hung	Austroasiatic	Eurasia	142	130	91	70
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	170	119	70
mati1250	Matigsalug Manobo	Austronesian	Papunesia	177	160	112	70
mont1268	Montagnais	Algic	North America	134	120	84	70
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	100	70	70
ngam1268	Ngambay	Central Sudanic	Africa	156	143	100	69.93
teda1241	Tedaga	Saharan	Africa	160	153	107	69.93
reng1252	Rengao	Austroasiatic	Eurasia	172	156	109	69.87
tane1237	Tanema	Austronesian	Papunesia	154	146	102	69.86
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	51	69.86
tuva1244	Tuvalu	Austronesian	Papunesia	179	159	111	69.81
rapo1238	Rapoisi	North Bougainville	Papunesia	101	96	67	69.79
kuma1276	Nêlêmwa-Nixumwak	Austronesian	Papunesia	189	172	120	69.77
tung1290	Tungag	Austronesian	Papunesia	178	162	113	69.75
kips1239	Kipsigis	Nilotic	Africa	156	142	99	69.72
haio1238	Hai//om-Akhoe	Khoe-Kwadi	Africa	35	33	23	69.7
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	165	115	69.7
anei1239	Aneityum	Austronesian	Papunesia	180	168	117	69.64
lewo1244	Lewotobi	Austronesian	Papunesia	189	168	117	69.64
mort1237	Mortlockese	Austronesian	Papunesia	141	135	94	69.63
tiga1245	Tigak	Austronesian	Papunesia	171	158	110	69.62
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	125	87	69.6
bobo1255	Bobongko	Austronesian	Papunesia	73	69	48	69.57
seme1247	Semelai	Austroasiatic	Eurasia	195	174	121	69.54
tojo1241	Tojolabal	Mayan	North America	195	174	121	69.54
lamb1273	Lamboya	Austronesian	Papunesia	139	128	89	69.53
kove1237	Kove	Austronesian	Papunesia	180	164	114	69.51
kola1285	Kola	Austronesian	Papunesia	156	141	98	69.5
phoe1239	Phoenician	Afro-Asiatic	Eurasia	153	141	98	69.5
puni1241	Punic	Afro-Asiatic	Africa	153	141	98	69.5
orow1242	Orowe	Austronesian	Papunesia	160	154	107	69.48
cham1315	Chamacoco	Zamucoan	South America	143	131	91	69.47
molo1266	Moloko	Afro-Asiatic	Africa	109	95	66	69.47
assi1247	Assiniboine	Siouan	North America	185	167	116	69.46
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	144	100	69.44
tbol1240	Tboli	Austronesian	Papunesia	174	157	109	69.43
toba1268	Toba-Maskoy	Lengua-Mascoy	South America	190	170	118	69.41
keig1242	Keiga	Kadugli-Krongo	Africa	148	134	93	69.4
cani1243	Canichana		South America	50	49	34	69.39
keda1252	Kedang	Austronesian	Papunesia	162	147	102	69.39
waro1242	Waropen	Austronesian	Papunesia	137	124	86	69.35
ajie1238	Ajië	Austronesian	Papunesia	149	137	95	69.34
bata1289	Batak Toba	Austronesian	Papunesia	168	150	104	69.33
bugh1239	Bughotu	Austronesian	Papunesia	131	127	88	69.29
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	127	88	69.29
buna1276	Bunama	Austronesian	Papunesia	125	117	81	69.23
ghad1239	Ghadames	Afro-Asiatic	Africa	160	143	99	69.23
kupa1239	Kupang Malay	Austronesian	Papunesia	168	156	108	69.23
mari1428	Marik	Austronesian	Papunesia	153	143	99	69.23
nyig1240	Nyigina	Nyulnyulan	Australia	128	117	81	69.23
ashe1272	Ashéninka Perené	Arawakan	South America	193	172	119	69.19
moch1257	Mocho	Mayan	North America	163	146	101	69.18
pana1307	Panará	Nuclear-Macro-Je	South America	156	146	101	69.18
tali1259	Talise	Austronesian	Papunesia	142	133	92	69.17
temo1245	Temoaya Otomi	Otomanguean	North America	146	133	92	69.17
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	136	94	69.12
matb1237	Matbat	Austronesian	Papunesia	154	139	96	69.06
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	84	58	69.05
zaba1237	Zabana	Austronesian	Papunesia	163	155	107	69.03
apur1254	Apurinã	Arawakan	South America	155	142	98	69.01
bank1256	Bankon	Atlantic-Congo	Africa	78	71	49	69.01
piji1239	Pijin	Indo-European	Papunesia	154	142	98	69.01
gade1242	Gade	Atlantic-Congo	Africa	178	158	109	68.99
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	129	89	68.99
pich1237	Pichis Ashéninka	Arawakan	South America	148	129	89	68.99
uuuu1243	U	Austroasiatic	Eurasia	139	129	89	68.99
bare1279	Barain	Afro-Asiatic	Africa	125	116	80	68.97
isna1241	Isnag	Austronesian	Papunesia	163	145	100	68.97
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	132	91	68.94
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	164	113	68.9
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	164	113	68.9
mpur1239	Mpur		Papunesia	185	164	113	68.9
ulit1238	Ulithian	Austronesian	Papunesia	177	164	113	68.9
agut1237	Agutaynen	Austronesian	Papunesia	161	151	104	68.87
keoo1238	Kéo	Austronesian	Papunesia	187	167	115	68.86
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	53	68.83
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	93	64	68.82
pamo1252	Pamona	Austronesian	Papunesia	148	141	97	68.79
mali1284	Mali	Baining	Papunesia	102	96	66	68.75
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	144	99	68.75
coos1249	Hanis	Coosan	North America	176	163	112	68.71
nisg1240	Nisga'a	Tsimshian	North America	162	147	101	68.71
sana1295	Sanaani Arabic	Afro-Asiatic	Eurasia	163	147	101	68.71
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	131	90	68.7
cemu1238	Cemuhî	Austronesian	Papunesia	180	166	114	68.67
maja1242	Majang	Surmic	Africa	163	150	103	68.67
gada1258	Ga'dang	Austronesian	Papunesia	70	67	46	68.66
tiru1241	Tiruray	Austronesian	Papunesia	145	134	92	68.66
nort2961	Northwestern Ojibwa	Algic	North America	189	169	116	68.64
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	51	35	68.63
beng1282	Benga	Atlantic-Congo	Africa	132	121	83	68.6
papu1250	Papuan Malay	Austronesian	Papunesia	191	172	118	68.6
alac1244	Alacatlatzala Mixtec	Otomanguean	North America	154	140	96	68.57
bala1316	Balade	Austronesian	Papunesia	152	140	96	68.57
sant1410	Santali	Austroasiatic	Eurasia	155	140	96	68.57
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	140	96	68.57
simb1256	Simbo	Austronesian	Papunesia	95	89	61	68.54
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	127	87	68.5
xinc1246	Xinca-Guazacapan	Xincan	North America	164	146	100	68.49
miga1249	Migaama	Afro-Asiatic	Africa	104	92	63	68.48
east2690	Eastern Egyptian Bedawi Arabic	Afro-Asiatic	Eurasia	147	130	89	68.46
achi1257	Acehnese	Austronesian	Papunesia	192	171	117	68.42
pipi1250	Pipil	Uto-Aztecan	North America	170	152	104	68.42
ines1240	Ineseño	Chumashan	North America	173	155	106	68.39
motl1237	Mwotlap	Austronesian	Papunesia	195	174	119	68.39
kala1388	Kalagan	Austronesian	Papunesia	150	136	93	68.38
nopa1235	Nopala Chatino	Otomanguean	North America	179	158	108	68.35
sapo1253	Saposa	Austronesian	Papunesia	145	139	95	68.35
thur1254	Thurawal	Pama-Nyungan	Australia	86	79	54	68.35
djee1236	Djeebbana	Maningrida	Australia	182	161	110	68.32
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	142	97	68.31
hawa1245	Hawaiian	Austronesian	Papunesia	181	164	112	68.29
tokp1240	Tok Pisin	Indo-European	Papunesia	184	167	114	68.26
coat1243	Coatlán Zapotec	Otomanguean	North America	166	148	101	68.24
tern1247	Ternate	North Halmahera	Papunesia	190	170	116	68.24
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	151	103	68.21
wage1238	Wageman		Australia	175	154	105	68.18
port1285	Port Sandwich	Austronesian	Papunesia	174	157	107	68.15
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	113	77	68.14
liki1240	Balobo	Atlantic-Congo	Africa	99	91	62	68.13
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	160	109	68.12
bari1286	Bariai	Austronesian	Papunesia	176	163	111	68.1
idun1242	Iduna	Austronesian	Papunesia	179	163	111	68.1
labo1244	Ninde	Austronesian	Papunesia	122	116	79	68.1
lote1237	Lote	Austronesian	Papunesia	178	163	111	68.1
nyal1254	Belep	Austronesian	Papunesia	180	163	111	68.1
adze1240	Adzera	Austronesian	Papunesia	158	141	96	68.09
phai1238	Prai	Austroasiatic	Eurasia	186	166	113	68.07
tutu1241	Tutuba	Austronesian	Papunesia	184	166	113	68.07
wala1266	Wala	Austronesian	Papunesia	150	144	98	68.06
itza1241	Itzá	Mayan	North America	188	169	115	68.05
mota1237	Mota	Austronesian	Papunesia	107	97	66	68.04
aulu1238	Aulua	Austronesian	Papunesia	160	147	100	68.03
konz1239	Konzo	Atlantic-Congo	Africa	133	122	83	68.03
basa1287	Basay	Austronesian	Papunesia	106	100	68	68
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	150	102	68
sude1239	Sudest	Austronesian	Papunesia	159	150	102	68
elmo1238	El Molo	Afro-Asiatic	Africa	171	153	104	67.97
lara1260	Larantuka Malay	Austronesian	Papunesia	169	156	106	67.95
noon1243	Noone	Atlantic-Congo	Africa	172	159	108	67.92
asur1254	Asuri	Austroasiatic	Eurasia	149	134	91	67.91
oloo1241	Olo	Nuclear Torricelli	Papunesia	178	162	110	67.9
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	165	112	67.88
pohn1238	Pohnpeian	Austronesian	Papunesia	182	165	112	67.88
kwar1239	Kwara'ae	Austronesian	Papunesia	186	168	114	67.86
urni1239	Urningangg	Giimbiyu	Australia	157	140	95	67.86
daak1235	Da'a Kaili	Austronesian	Papunesia	123	115	78	67.83
rita1239	Ritarungo	Pama-Nyungan	Australia	93	87	59	67.82
atam1240	Ata Manobo	Austronesian	Papunesia	160	146	99	67.81
hote1245	Hote	Austronesian	Papunesia	162	149	101	67.79
mopa1243	Mopán Maya	Mayan	North America	166	149	101	67.79
east2332	Eastern Bru	Austroasiatic	Eurasia	134	121	82	67.77
quil1240	Quileute	Chimakuan	North America	165	152	103	67.76
yagu1244	Yagua	Peba-Yagua	South America	170	152	103	67.76
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	62	42	67.74
blab1237	Blablanga	Austronesian	Papunesia	169	155	105	67.74
rotu1241	Rotuman	Austronesian	Papunesia	163	155	105	67.74
waga1260	Wagaya	Pama-Nyungan	Australia	134	124	84	67.74
acol1236	Acoli	Nilotic	Africa	179	158	107	67.72
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	127	86	67.72
dual1243	Duala	Atlantic-Congo	Africa	138	127	86	67.72
gobu1238	Gobu	Atlantic-Congo	Africa	141	127	86	67.72
kiow1266	Kiowa	Kiowa-Tanoan	North America	177	158	107	67.72
kari1254	Kariri		South America	177	161	109	67.7
kulo1237	Kulon-Pazeh	Austronesian	Papunesia	140	130	88	67.69
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	99	67	67.68
lusi1240	Lusi	Austronesian	Papunesia	144	133	90	67.67
daza1242	Dazaga	Saharan	Africa	180	167	113	67.66
maee1241	Tirax	Austronesian	Papunesia	188	167	113	67.66
bong1289	Bonggi	Austronesian	Papunesia	150	136	92	67.65
otta1242	Ottawa	Algic	North America	190	170	115	67.65
jita1239	Jita	Atlantic-Congo	Africa	75	71	48	67.61
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	142	96	67.61
sout2895	South Nuaulu	Austronesian	Papunesia	158	142	96	67.61
cent2087	Coastal-Naga Bikol	Austronesian	Papunesia	156	145	98	67.59
achi1256	Achi	Mayan	North America	164	151	102	67.55
mosi1247	Akie	Nilotic	Africa	167	151	102	67.55
adon1237	Adonara	Austronesian	Papunesia	165	154	104	67.53
gilb1244	Gilbertese	Austronesian	Papunesia	171	154	104	67.53
mang1405	Manggarai	Austronesian	Papunesia	168	154	104	67.53
pulu1242	Puluwatese	Austronesian	Papunesia	166	154	104	67.53
sout2976	Southeastern Tepehuan	Uto-Aztecan	North America	167	154	104	67.53
huas1242	Huastec	Mayan	North America	176	160	108	67.5
saam1283	Saamia	Atlantic-Congo	Africa	134	120	81	67.5
seda1262	Sedang	Austroasiatic	Eurasia	178	160	108	67.5
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	120	81	67.5
cent1992	Central Mnong	Austroasiatic	Eurasia	190	169	114	67.46
gaan1243	Ga'anda	Afro-Asiatic	Africa	140	126	85	67.46
malo1243	Tamambo	Austronesian	Papunesia	189	169	114	67.46
patp1243	Patpatar	Austronesian	Papunesia	187	169	114	67.46
saar1237	Saaroa	Austronesian	Papunesia	192	172	116	67.44
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	172	116	67.44
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	132	89	67.42
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	92	62	67.39
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	138	93	67.39
lele1267	Lelepa	Austronesian	Papunesia	149	141	95	67.38
mori1269	Mori Atas	Austronesian	Papunesia	105	95	64	67.37
sier1250	Sierra de Juárez Zapotec	Otomanguean	North America	162	147	99	67.35
kens1248	Kensiu	Austroasiatic	Eurasia	164	150	101	67.33
berb1259	Berbice Creole Dutch	Indo-European	South America	170	153	103	67.32
thao1240	Thao	Austronesian	Papunesia	170	153	103	67.32
bata1285	Batanga	Atlantic-Congo	Africa	113	104	70	67.31
mbay1241	Mbay	Central Sudanic	Africa	173	156	105	67.31
ukra1253	Ukrainian	Indo-European	Eurasia	171	156	105	67.31
ware1253	Warembori	Austronesian	Papunesia	170	156	105	67.31
kuan1248	Kuanua	Austronesian	Papunesia	174	159	107	67.3
sioo1240	Sio	Austronesian	Papunesia	175	159	107	67.3
zoog1238	Zoogocho Zapotec	Otomanguean	North America	176	159	107	67.3
jede1239	Jedek	Austroasiatic	Eurasia	112	107	72	67.29
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	162	109	67.28
male1297	Maléku Jaíka	Chibchan	North America	188	168	113	67.26
unua1237	Unua	Austronesian	Papunesia	192	171	115	67.25
wall1257	East Uvean	Austronesian	Papunesia	189	171	115	67.25
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	119	80	67.23
