Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
boli1256	Bolinao	Austronesian	Papunesia	60	46	41	89.13
haro1237	Haroi	Austronesian	Eurasia	95	70	61	87.14
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	104	90	86.54
gada1258	Ga'dang	Austronesian	Papunesia	70	57	49	85.96
lave1249	Brao	Austroasiatic	Eurasia	122	87	74	85.06
mans1260	Mansim	Hatam-Mansim	Papunesia	71	60	51	85
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	33	28	84.85
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	84	71	84.52
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	60	50	83.33
bant1288	Bantoanon	Austronesian	Papunesia	124	94	78	82.98
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	41	34	82.93
east2332	Eastern Bru	Austroasiatic	Eurasia	134	103	85	82.52
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	120	99	82.5
lotu1250	Lotud	Austronesian	Papunesia	132	97	80	82.47
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	90	74	82.22
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	112	92	82.14
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	100	82	82
ughe1237	Ughele	Austronesian	Papunesia	182	126	103	81.75
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	119	97	81.51
remo1247	Hatang Kayi	Austronesian	Papunesia	135	108	88	81.48
tomb1244	Tombonuo	Austronesian	Papunesia	136	102	83	81.37
baba1268	Babatana	Austronesian	Papunesia	138	107	87	81.31
sout2782	South Fali	Atlantic-Congo	Africa	177	123	100	81.3
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	48	39	81.25
tiru1241	Tiruray	Austronesian	Papunesia	145	105	85	80.95
bolg1251	Bolgo	Atlantic-Congo	Africa	78	68	55	80.88
buna1276	Bunama	Austronesian	Papunesia	125	99	80	80.81
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	104	84	80.77
reja1241	Rejang Kayan	Austronesian	Papunesia	140	104	84	80.77
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	83	67	80.72
damp1237	Dampelas	Austronesian	Papunesia	159	114	92	80.7
basa1282	Basa (Nigeria)	Atlantic-Congo	Africa	115	93	75	80.65
leng1259	Lengo	Austronesian	Papunesia	172	124	100	80.65
lamo1244	Lamogai	Austronesian	Papunesia	135	98	79	80.61
kaga1256	Kagayanen	Austronesian	Papunesia	167	113	91	80.53
nort2877	Northern Kankanay	Austronesian	Papunesia	149	113	91	80.53
pawa1255	Pawaia		Papunesia	110	87	70	80.46
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	97	78	80.41
iran1262	Iranun	Austronesian	Papunesia	138	102	82	80.39
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	102	82	80.39
yinc1238	Yinchia	Austroasiatic	Eurasia	65	51	41	80.39
sout2918	Southern Sama	Austronesian	Papunesia	159	112	90	80.36
chra1242	Chrau	Austroasiatic	Eurasia	166	117	94	80.34
kweg1241	Kwegu	Surmic	Africa	162	122	98	80.33
reng1252	Rengao	Austroasiatic	Eurasia	172	122	98	80.33
west2397	Western Bru	Austroasiatic	Eurasia	157	111	89	80.18
chip1241	Chippewa	Algic	North America	171	116	93	80.17
cani1243	Canichana		South America	50	40	32	80
chas1234	Chashan	Sino-Tibetan	Eurasia	169	120	96	80
hala1252	Halang	Austroasiatic	Eurasia	82	55	44	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	5	4	80
rung1259	Rungus	Austronesian	Papunesia	137	105	84	80
ubir1237	Ubir	Austronesian	Papunesia	149	110	88	80
ines1240	Ineseño	Chumashan	North America	173	123	98	79.67
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	113	90	79.65
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	108	86	79.63
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	103	82	79.61
naro1251	Narom	Austronesian	Papunesia	132	98	78	79.59
sabu1255	Hawu	Austronesian	Papunesia	172	122	97	79.51
isna1241	Isnag	Austronesian	Papunesia	163	117	93	79.49
para1316	Paraujano	Arawakan	South America	53	39	31	79.49
mara1404	Maranao	Austronesian	Papunesia	128	102	81	79.41
mpur1239	Mpur		Papunesia	185	131	104	79.39
gilb1244	Gilbertese	Austronesian	Papunesia	171	116	92	79.31
lund1271	Lundayeh	Austronesian	Papunesia	141	106	84	79.25
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	101	80	79.21
woli1241	Wolio	Austronesian	Papunesia	182	125	99	79.2
bahn1262	Bahnar	Austroasiatic	Eurasia	117	91	72	79.12
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	110	87	79.09
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	110	87	79.09
atii1237	Ati	Austronesian	Papunesia	115	86	68	79.07
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	81	64	79.01
west2632	Western Keres	Keresan	North America	161	114	90	78.95
kawi1241	Kawi	Austronesian	Papunesia	128	99	78	78.79
seng1281	Sengseng	Austronesian	Papunesia	100	80	63	78.75
daak1235	Da'a Kaili	Austronesian	Papunesia	123	94	74	78.72
abad1241	Abadi	Austronesian	Papunesia	118	89	70	78.65
bang1369	Bangru	Sino-Tibetan	Eurasia	151	103	81	78.64
cent2100	Central Dusun	Austronesian	Papunesia	138	103	81	78.64
take1257	Takelma		North America	173	126	99	78.57
basa1287	Basay	Austronesian	Papunesia	106	93	73	78.49
taga1272	Tagabawa	Austronesian	Papunesia	161	116	91	78.45
huuu1240	Hu	Austroasiatic	Eurasia	175	120	94	78.33
rovi1238	Roviana	Austronesian	Papunesia	161	120	94	78.33
gaaa1244	Ga	Atlantic-Congo	Africa	133	106	83	78.3
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	129	101	78.29
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	46	36	78.26
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	92	72	78.26
seda1262	Sedang	Austroasiatic	Eurasia	178	124	97	78.23
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	101	79	78.22
penr1237	Māngarongaro	Austronesian	Papunesia	117	87	68	78.16
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	119	93	78.15
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	96	75	78.12
mlab1235	Mlabri	Austroasiatic	Eurasia	182	128	100	78.12
stan1306	Standard Malay	Austronesian	Eurasia	190	128	100	78.12
tbol1240	Tboli	Austronesian	Papunesia	174	128	100	78.12
east2485	Eastern Penan	Austronesian	Papunesia	147	105	82	78.1
tina1248	Tinà Sambal	Austronesian	Papunesia	141	105	82	78.1
kima1246	Kimaama	Kolopom	Papunesia	92	73	57	78.08
alor1247	Alorese	Austronesian	Papunesia	168	123	96	78.05
atay1247	Atayal	Austronesian	Papunesia	129	100	78	78
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	109	85	77.98
bann1247	Bannoni	Austronesian	Papunesia	72	59	46	77.97
taji1246	Tajio	Austronesian	Papunesia	184	127	99	77.95
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	68	53	77.94
baha1260	Bahamas Creole English	Indo-European	North America	103	86	67	77.91
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	104	81	77.88
homa1239	Homa	Atlantic-Congo	Africa	14	9	7	77.78
kimm1246	Kim	Atlantic-Congo	Africa	129	99	77	77.78
nort2828	North Moluccan Malay	Austronesian	Papunesia	164	117	91	77.78
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	108	84	77.78
sali1253	Salinan		North America	141	99	77	77.78
tuml1238	Tumleo	Austronesian	Papunesia	103	81	63	77.78
cham1312	Chamorro	Austronesian	Papunesia	188	130	101	77.69
mamb1306	Mambae	Austronesian	Papunesia	169	121	94	77.69
oldm1242	Old Mon	Austroasiatic	Eurasia	171	121	94	77.69
sanm1295	San Miguel El Grande Mixtec	Otomanguean	North America	184	130	101	77.69
bala1311	Balangingi	Austronesian	Papunesia	153	112	87	77.68
blan1242	Blang	Austroasiatic	Eurasia	159	112	87	77.68
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	67	52	77.61
hrus1242	Hruso		Eurasia	89	67	52	77.61
araw1273	Araweté	Tupian	South America	148	107	83	77.57
iray1237	Iraya	Austronesian	Papunesia	113	89	69	77.53
nuuu1241	N||ng-Danster !Ui	Tuu	Africa	160	120	93	77.5
mund1320	Mundari	Austroasiatic	Eurasia	156	111	86	77.48
tswa1255	Tswa	Atlantic-Congo	Africa	162	111	86	77.48
hote1245	Hote	Austronesian	Papunesia	162	115	89	77.39
pang1290	Pangasinan	Austronesian	Papunesia	169	115	89	77.39
toto1302	Toto	Sino-Tibetan	Eurasia	155	115	89	77.39
west2644	Western Highland Chatino	Otomanguean	North America	188	128	99	77.34
sher1258	Sherbro	Atlantic-Congo	Africa	118	97	75	77.32
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	110	85	77.27
pamo1252	Pamona	Austronesian	Papunesia	148	110	85	77.27
romb1245	Romblomanon	Austronesian	Papunesia	155	110	85	77.27
